"Action","Action"
"Actions","Acties"
"Add email","E-mail toevoegen"
"Add Rule","Add Rule"
"Advanced newsletter","Advanced newsletter"
"After","After"
"All groups","All groups"
"All links","All links"
"All types","All types"
"Are you sure?","Are you sure?"
"Are you sure you want do this?","Are you sure you want do this?"
"Are you sure you want to delete the email ?","Are you sure you want to delete the email ?"
"Are you sure you want to delete the email?","Are you sure you want to delete the email?"
"Are you sure you want to send the email immediately ?","Are you sure you want to send the email immediately ?"
"before","before"
"Before","Before"
"Cancel","Cancel"
"Cancellation events","Cancellation events"
"Cancelled","Cancelled"
"Cannot find data to save","Cannot find data to save"
"Can\'t load coupon by given ID","Can\'t load coupon by given ID"
"Can\'t remove primary coupon","Can\'t remove primary coupon"
"Cart ID","Cart ID"
"Change status","Change status"
"Close window","Close window"
"Complete abandoned carts (order placed)","Complete abandoned carts (order placed)"
"Could not send the email","Could not send the email"
"Could not unsubscribe %s","Could not unsubscribe %s"
"Coupon Code","Coupon Code"
"Coupon Code Prefix","Coupon Code Prefix"
"Coupon expire days value can\'t be less than 1","Coupon expire days value can\'t be less than 1"
"Coupon expire days value must be integer and equals or greater than 1","Coupon expire days value must be integer and equals or greater than 1"
"Coupon expires after, days","Coupon expires after, days"
"Coupons","Coupons"
"Coupon ""%s"" successfully removed","Coupon ""%s"" successfully removed"
"Created at","Created at"
"Customer birthday","Customer birthday"
"Customer came back by link sent","Customer came back by link sent"
"Customer email","Customer email"
"Customer group changed","Customer group changed"
"Customer groups","Customer groups"
"Customer ID","Customer ID"
"Customer last activity","Customer last activity"
"Customer logged in","Customer logged in"
"Customer placed a new order","Customer placed a new order"
"day(s)","day(s)"
"Days","Days"
"Delete","Delete"
"Delete Rule","Delete Rule"
"Disabled","Disabled"
"Display statistics","Display statistics"
"Doesn\'t matter","Doesn\'t matter"
"Edit","Edit"
"Edit Rule '%s'","Edit Rule '%s'"
"Email chain","Email chain"
"Email does not longer exist","Email does not longer exist"
"Email %s was successfully unsubscribed","Email %s was successfully unsubscribed"
"Email Templates","Email Templates"
"Email was successfully cancelled","Email was successfully cancelled"
"Email was successfully deleted","Email was successfully deleted"
"Email was successfully sent","Email was successfully sent"
"Enable coupons for this rule","Enable coupons for this rule"
"Enabled","Enabled"
"Enable logging","Logs inschakelen"
"Equals or greater than","Equals or greater than"
"Equals or less than","Equals or less than"
"Equals to","Equals to"
"Error sending test message","Error sending test message"
"Error: %s","Error: %s"
"Event","Event"
"Event type","Event type"
"Excluded Categories","Excluded Categories"
"Expiration Date","Expiration Date"
"Failed","Failed"
"Follow Up Email","Follow Up Email"
"Follow Up Email Link Tracking","Follow Up Email Link Tracking"
"Follow Up Email Preview","Follow Up Email Preview"
"Follow Up Email Queue","Follow Up Email Queue"
"Follow Up Email template variables demo","Follow Up Email template variables demo"
"Follow Up Rules Manager","Follow Up Rules Manager"
"FUE Generated Coupons","FUE Generated Coupons"
"General","General"
"General settings","General settings"
"Greater than","Greater than"
"hour(s)","hour(s)"
"Hours","Hours"
"id","id"
"ID isn\'t specified","ID isn\'t specified"
"If \'No\' is selected, email will be sent to recipients specified in the 'Send copy to email\' field only","If \'No\' is selected, email will be sent to recipients specified in the \'Send copy to email\' field only"
"Incomplete abandoned carts (order not placed)","Incomplete abandoned carts (order not placed)"
"Item was successfully saved","Item was successfully saved"
"Less than","Less than"
"Link visited at","Link visited at"
"Loading...","Loading..."
"Manage Coupons","Manage Coupons"
"Market Segmentation Suite","Market Segmentation Suite"
"Market Segmentation Suite Rule","Market Segmentation Suite Rule"
"Minutes","Minutes"
"minutes(s)","minutes(s)"
"New abandoned cart appeared","New abandoned cart appeared"
"New customer signup","New customer signup"
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter Templates","Newsletter Templates"
"No","No"
"No resume code cpecified","No resume code cpecified"
"Not equals to","Not equals to"
"Not registered","Not registered"
"Not sent yet","Not sent yet"
"Once selected event(s) happen they cancel email sending for the object","Once selected event(s) happen they cancel email sending for the object"
"Only active MSS rules are listed here","Only active MSS rules are listed here"
"Order Grand Total","Order Grand Total"
"Order is active","Order is active"
"Order No","Order No"
"Order obtained '%s' status","Order obtained '%s' status"
"Order #","Order #"
"Please select item(s)","Please select item(s)"
"Please select template","Please select template"
"Preview","Preview"
"Product ID","Product ID"
"Product type","Product type"
"Product was added to wishlist","Product was added to wishlist"
"Quote created at","Quote created at"
"Quote grand total","Quote grand total"
"Ready to go","Ready to go"
"Recipient email","Recipient email"
"Recipient name","Recipient name"
"Redefines sender for this rule. Sender from the general settings is used by default","Redefines sender for this rule. Sender from the general settings is used by default"
"Resume code","Resume code"
"right after","right after"
"Rule Information","Rule Information"
"Rule","Rule"
"Sale amount","Sale amount"
"Save And Continue Edit","Save And Continue Edit"
"Save And Send Test Email","Save And Send Test Email"
"Save Rule","Save Rule"
"Scheduled at","Scheduled at"
"Select statistics type","Select statistics type"
"--- Select Template ---","--- Select Template ---"
"Send Copy","Stuur kopie"
"Send copy to email","Stuur kopie naar email"
"Sender Details","Details zender"
"Sender email","Email zender"
"Sender name","Naam zender"
"Sender","Zender"
"Send now","Send now"
"Send only to newsletter subscribers","Send only to newsletter subscribers"
"Send only to subscribers of segments","Send only to subscribers of segments"
"Send","Send"
"Send Test Email","Send Test Email"
"Send test email to","Send test email to"
"Sent at","Sent at"
"Sent","Sent"
"Separate e-mails by spaces, commas, or semicolons","Separate e-mails by spaces, commas, or semicolons"
"Separate multiple SKUs by commas","Separate multiple SKUs by commas"
"Seq. No","Seq. No"
"Set the email status to \'Cancelled\' ?","Set the email status to \'Cancelled\' ?"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Sign Up for Newsletter","Sign Up for Newsletter"
"SKUs doesn\'t match","SKUs doesn\'t match"
"SKU","Artikelnummer"
"Status","Status"
"Stores & Product Types","Stores & Product Types"
"Store","Store"
"Store View","Store View"
"Template","Template"
"Test email was successfully sent","Test email was successfully sent"
"Test object IDs","Test object IDs"
"Test recipient","Test recipient"
"The email of the customer","The email of the customer"
"The following symbols are allowed to be used in the \'Coupon Code Prefix\' field: a-z 0-9","The following symbols are allowed to be used in the \'Coupon Code Prefix\' field: a-z 0-9"
"The ID of the cart","The ID of the cart"
"The ID of the customer","The ID of the customer"
"The ID of the product","The ID of the product"
"The ID of the wishlist","The ID of the wishlist"
"The Increment ID of the order","The Increment ID of the order"
"The owner of this cart is not a registered customer","The owner of this cart is not a registered customer"
"The quantity of days in the chain is not a number","The quantity of days in the chain is not a number"
"There is no registered customer with email","There is no registered customer with email"
"The resume code is used to authorize the customer when he/she comes back by the link sent in email","The resume code is used to authorize the customer when he/she comes back by the link sent in email"
"There was a problem with the newsletter subscription","There was a problem with the newsletter subscription"
