"Bottom","Onder"
"Display at home page","Weergeven op homepage"
"Enabled","Ingeschakeld"
"General Settings","Algemene instellingen"
"Grid","Raster"
"Home Tabs Pro","Home tabs Pro"
"Just Added","Zojuist toegevoegd"
"Just Added Settings","Zojuist toegevoegde instellingen"
"List","Lijst"
"Loader image","Afbeelding laadprogramma"
"Loader text","Tekst laadprogramma"
"Loading...","Bezig met laden..."
"Mode","Modus"
"Most Reviewed","Meest herzien"
"Most Reviewed Settings","Meest herziene instellingen"
"Order","Bestellen"
"Position at home page","Positie op homepage"
"Products","Producten"
"Title","Titel"
"Top","Boven"
"Top Rated","Best gewaardeerd"
"Top Rated Settings","Best gewaardeerde instellingen"
"Top Sellers","Best verkochte artikelen"
"Top Sellers Settings","Instellingen best verkochte artikelen"
"Top Viewed","Best bekeken"
"Top Viewed Settings","Best bekeken instellingen"
"Wish List Top","Top verlanglijst"
"Wish List Top Settings","Instellingen top verlanglijst"
