"About This Order:","Over deze bestelling:"
"Actions","Acties"
"Add Comment","Nieuwe opmerking"
"Additional Information","Extra informatie"
"Add New RMA","Nieuwe RMA aanvragen"
"Admin Notes","Admin notities"
"Admin only","Enkel admin"
"All","Alle"
"Allow guests to request RMA","Niet geregistreerde gebruikers kunnen RMA aanvragen"
"Allow per-order item RMA","Sta RMA aanvraag toe per besteld product"
"Allow to request RMA after order completion, days","RMA aanvraag toestaat tot dagen na bestelling"
"All RMA","Alle RMA's"
"Approved","Goedgekeurd"
"Approvement Code:","Goedgekeurde code:"
"Approvement Code","Goedgekeurde code"
"Are you sure you want do this?","Zeker weten?"
"Are you sure you would like to cancel this RMA?","Weet u zeker dat u deze RMA wilt annuleren?"
"Attachment","Bijlage"
"AW RMA Base template for admin","AW RMA Standaard template voor admin"
"AW RMA Base template for customer","AW RMA Standaard template voor klant"
"Back","Terug"
"Base template for admin","Standaard template voor admin"
"Base template for customer","Standaard template voor klant"
"Basic Request Information","Algemene informatie"
"Basic RMA Information","Algemene RMA informatie"
"Billing Address","Factuuradres"
"Can't load comment","Kan bericht niet laden"
"Can't load order","Kan bestelling niet laden"
"Can't load RMA by given ID","Kan geen RMA laden met gegeven ID"
"Can't load RMA by specified ID","Kan geen RMA laden met gegeven ID"
"Can't load RMA request","Kan geen RMA aanvraag laden"
"Can't load status by given ID","Kan geen status laden met gegeven ID"
"Can't load type by given ID","Kan geen type laden met gegeven ID"
"Cancel","Annuleren"
"City","Woonplaats"
"Comment ID isn't specified","ID van bericht niet gespecificeerd"
"Comment successfully added","Bericht succesvol toegevoegd"
"Comment text can't be empty","Bericht is verplicht"
"Comment Text","Bericht"
"Company","Bedrijf"
"Confirm Shipping","Verzending bevestigen"
"Confirm Shipping popup text","Confirm Shipping popup text"
"Contact Information","Contact Information"
"Contacts","Contacts"
"Couldn't load order by given order ID","Kon geen bestelling laden met gegeven ID"
"Couldn't load order","Kon bestelling niet laden"
"Count","Aantal"
"Country","Land"
"Customer Address","Klant adres"
"Customer Email","Klant e-mail"
"Customer isn't owner of the given order","Klant is niet eigenaar van de gegeven order"
"Customer Name","Klantnaam"
"Customer only","Alleen klanten"
"Date:","Datum: "
"Date","Datum"
"Delete","Delete"
