"Voor Afterpay zijn extra gegevens noodzakelijk.","Voor AfterPay zijn extra gegevens noodzakelijk."
"Start Procedure","Start Procedure"
"Afterpay - de veilige achteraf betaal methode","AfterPay - de veilige achteraf betaal methode"
"U moet eerst de Afterpay procedure voltooien","U moet eerst de AfterPay procedure voltooien"
"Afterpay - Algemene Voorwaarden","AfterPay - Algemene Voorwaarden"
"Algemene voorwaarden","Algemene voorwaarden"
"Afterpay - Wijze van Betalen","AfterPay - Wijze van Betalen"
"Wijze van betalen","Wijze van betalen"
"Naam","Naam"
"Email","Email"
"Telefoon","Telefoon"
"Mobiel","Mobiel"
"Geboortedatum","Mobiel"
"Bankrekeningnummer","Mobiel"
"Straat/Huisnr./Toev.","Mobiel"
"Controleer Beschikbaarheid","Mobiel"
"Afterpay kosten","Mobiel"
"U kunt de bestelling alleen afronden door een andere betaalmethode te selecteren.","Mobiel"
"Uw aanvraag om op rekening te betalen is door AfterPay B.V. geaccepteerd.","Mobiel"
"Voltooi nu de bestelling om met Afterpay af te rekenen.","Mobiel"
"U kunt dit venster nu <a href=""javascript: Modalbox.hide();"">sluiten</a>.","Mobiel"
"Het spijt ons u te moeten mededelen dat uw aanvraag om uw bestelling op rekening te betalen niet door AfterPay B.V. is geaccepteerd.","Mobiel"
"Het kan zijn dat u onjuiste gegevens heeft ingevoerd of dat u nog een of meerdere vorderingen heeft uitstaan bij AfterPay B.V.","Mobiel"
"Voor vragen over uw afwijzing kunt u contact opnemen met AfterPay B.V. te Zwolle,","Mobiel"
"telefoonnummer (038) 4264803.","Mobiel"
"Desgewenst kunt u voor een andere betaalmethode kiezen om uw bestelling af te ronden.","Mobiel"
"Omgeving","Mobiel"
"Relatie Id","Mobiel"
"Portfolio Id","Portfolio Id"
"Added costs","Mobiel"
"Bedrag van doorbelasting aan de klant (per bestelling);""The amount to charge the customer for Afterpay usage (per order)""",""
"Order #%1$s (%2$s)","Order #%1$s (%2$s)"
"Order datum","Mobiel"
"Order status","Order status"
"Bestelling","Mobiel"
"Order niet voltooid","Mobiel"
"Klant Email","Mobiel"
"Rekening nr.","Mobiel"
"Telefoonnummer","Mobiel"
"Tel:","Mobiel"
"Mob:","Mobiel"
"IP adres","Mobiel"
"Factuur adres","Mobiel"
"Verzend adres","Mobiel"
"Adres","Mobiel"
"Order regels","Mobiel"
"Artikel","Mobiel"
"Prijs Excl Btw","Mobiel"
"Prijs Incl Btw","Mobiel"
"Aantal","Mobiel"
"Subtotaal Excl Btw","Mobiel"
"Btw bedrag","Mobiel"
"Btw code","Mobiel"
"Totaal","Mobiel"
"Aanvraag Resultaat","Mobiel"
"SessieID","Mobiel"
"StatusCode","StatusCode"
"ResultaatCode","Mobiel"
"AfwijzingCode","Mobiel"
"Fout:","Mobiel"
"Factuur Totalen","Mobiel"
"Totaal Excl Btw","Mobiel"
"Btw hoog","Mobiel"
"Btw laag","Mobiel"
"Btw totaal","Mobiel"
"Nr","Nr"
"Mobielnummer","Mobiel"
"Rekeningnummer","Rekeningnummer"
"Status","Status"
"Datum","Mobiel"
"Incl","Incl"
"Excl","Excl"
"Btw","Mobiel"
"Actie","Actie"
"Best.","Best."
"Verwijderen","Mobiel"
"Weet u het zeker?","Mobiel"
"Status wijzigen","Mobiel"
"Afwijzen","Mobiel"
"Vrijgeven","Mobiel"
"Afterpay Orders","AfterPay Orders"
"Sales","Sales"
"Afterpay","AfterPay"
"Deze bestelling is verwijderd.","Mobiel"
"Deze aanvraag is niet tot een bestelling gekomen.","Mobiel"
"Sommige aanvragen konden niet worden gevonden.","Mobiel"
"Sommige aamvragem konden niet worden verwijderd.","Mobiel"
"Aanvragen zijn verwijderd.","Mobiel"
"Sommige aanvragen konden niet worden aangepast.","Mobiel"
"Aanvragen zijn aangepast.","Mobiel"
"De status van de aanvraag is aangepast naar Afgewezen.","Mobiel"
"De status van de aanvraag is aangepast naar Vrijgegeven.","Mobiel"
"De aanvraag is verwijderd.","Mobiel"
"_empty_",""
"; Model system/environment.php",""
"Test","Test"
"Acceptatie","Mobiel"
"Productie","Mobiel"
"; Model api.php",""
"INITIAL","Mobiel"
"ACCEPTED","Mobiel"
"WAITING_FOR_RELEASE","Mobiel"
"RELEASED","Mobiel"
"WAITING_FOR_DECLINE","Mobiel"
"DECLINED","Mobiel"
"FAILED","Mobiel"
"COMPLETED_OTHERWISE","Mobiel"
"U kunt dit venster nu <a href=javascript: Modalbox.hide();>sluiten</a>.","U kunt dit venster nu <a href=javascript: Modalbox.hide();>sluiten</a>."
