"Shortcuts","Sneltoetsen"
"Admin Improvements","Admin Panel verbeteringen"
"Keymaster","Keymaster"
"'Available shortcuts'-dialog shortcut","Sneltoets voor 'Beschikbare sneltoetsen'-dialoog"
"Show 'Available scope shortcuts'-dialog when entering scope?","Toon 'Beschikbaare shortcuts voor huidig bereik'-dialoog wanneer een bereik wordt geactiveerd."
"Return to global scope shortcut","Keer terug naar algemene sneltoets bereik"
"Scope","Bereik"
"Description","Beschrijving"
"Shortcut","Sneltoets"
"Available shortcuts for <code>%s</code>","Beschikbare sneltoetsen voor <code>%s</code>"
"First","Eerst"
"then","dan"
"Global Shortcuts","Algemene sneltoetsen"
