"Enable LightBox","Enable LightBox"
"Maximum size of big image","Maximale afmeting grote afbeelding"
"Maximum size of base image","Maximale afmeting standaard afbeelding"
"Maximum size of thumbnails","Maximale afmeting voor thumbnails"
"Effects","Effecten"
"Fade-in duration","Fade-in tijd"
"Fade-out duration","Fade-out tijd"
"Image swap duration","Tijd wisselen afbeeldingen"
"Display","Display"
"Background opacity","Background opacity"
"Background color","Background color"
"Imagebox opacity","Imagebox opacity"
"Imagebox color","Imagebox color"
"Toolbar opacity","Toolbar opacity"
"Toolbar color","Toolbar color"
"Toolbar text color","Toolbar text color"
"Toolbar text font","Toolbar text font"
"Toolbar text size","Toolbar text size"
"Padding size","Padding size"
"Outer border size","Outer border size"
"Outer border color","Outer border color"
"Size in pixels (e.g.: 800x600)","Size in pixels (e.g.: 800x600)"
"Size in pixels (e.g.: 256x256)","Size in pixels (e.g.: 256x256)"
"Size in pixels (e.g.: 60x60)","Size in pixels (e.g.: 60x60)"
"Value between 0.0 and 1.0","Value between 0.0 and 1.0"
"HTML color format (e.g.: #000000)","HTML color format (e.g.: #000000)"
"HTML color format (e.g.: #909090)","HTML color format (e.g.: #909090)"
"Text size in pixels (e.g.: 12)","Text size in pixels (e.g.: 12)"
"Size in pixels (e.g.: 10)","Size in pixels (e.g.: 10)"
"Size in pixels (e.g.: 1)","Size in pixels (e.g.: 1)"
"Font name (e.g.: Verdana)","Font name (e.g.: Verdana)"
"Value in seconds (e.g.: 1.5)","Value in seconds (e.g.: 1.5)"
"Photo %d of %d","Afbeelding %d of %d"
