"Paymentmethods","Betaalmethoden"
"Filter paymentmethods on customer billing country","Filter de betaalmethoden op het betaaladres van de klant"
"Configure ICEPAY paymentmethods [STORE VIEW]","Configureer ICEPAY Betaalmethoden, dit kunt u doen per Store View (winkel overzicht)"
"SOAP webservices available","SOAP webservices zijn beschikbaar"
"SOAP was not found on this server","SOAP is niet gevonden op deze server"
"%s paymentmethods in database","%s betaalmethoden in database"
"%s paymentmethods stored for this Store view","%s betaalmethoden opgeslagen voor dit winkel overzicht"
"%s paymentmethods stored in Default settings","%s betaalmethoden opgeslagen bij de standaard instellingen"
"No active paymentmethods found","Geen betaalmethoden gevonden"
"SOAP connection established","SOAP connectie gemaakt"
"%s active paymentmethods found","%s actieve betaalmethoden gevonden"
"Configure","Instellen"
"Title","Titel"
"Settings","Instellingen"
"Settings for","Instellingen voor"
"Sort order","Sorteer volgorde"
"Get paymentmethods","Haal de betaalmethoden op"
"Paymentmethod","Betaalmethode"
"Save Config to configure","Sla de wijzigingen op om de betaalmethode verder in te stellen"
"Please read the advanced manual","<a href="http://www.icepay.com/downloads/pdf/manuals/magento/icepay-manual-magento-advanced.pdf" target="blank" class="btn-manual"></a> <a href="http://www.icepay.nl/webshop-modules/ideal-voor-magento-advanced" target="blank" class="btn-movie"></a><BR/><BR/><BR/><span class="manual-comment">Heeft u hulp nodig bij het instellen? Raadpleeg onze handleiding of installatie video.</span>
"Some payment methods allow customized descriptions on the transaction statement. If left empty the Magento Order ID is used. (Max 100 char.)","Enkele betaalmethoden ondersteunen een omschrijving in het transactie overzicht van de klant. Indien leeg gelaten wordt het Magento Bestel ID gebruikt."
"Description displayed in checkout","Omschrijving tijdens het afrekenen."
"Save settings","Instellingen opslaan"
"Cancel","Annuleer"
"Use CTRL to activate/deactivate specific issuers","Gebruik CTRL om specifieke issuers aan- of uit te schakelen. Minimaal 1 issuer dient geselecteerd te zijn."
"Use CTRL to select specific countries","Gebruik CTRL om specifieke landen te selecteren."
"Please select an issuer","Maak uw keuze"
"Please select a country","Maak uw keuze uit"

