"Enable Currency Pricing","Valuta prijzen inschakelen"
"You can set a custom product price for each currency separately if the option is enabled.","U kunt een prijs instellen voor elke valuta apart als deze optie ingeschakeld is."
"Price per Currency","Prijs per valuta"
"Price by Rate","Prijs per rate"
"Price","Prijs"
"[GLOBAL]","[GLOBAAL]"
"[STORE VIEW]","[WINKEL ZICHT]"
"Currency","Valuta"
"Store View","Winkel Zicht"
"The price was not found.","De is is niet gevonden."
"The price has been saved.","De prijs is opgeslagen."
"An error occurred while saving the price: %s.","Er is een fout opgetreden bij het opslaan van de prijs: %s."
"The price was not found.","De prijs is niet gevonden."
"The price has been deleted.","De prijs is verwijderd."
"Add Price","Prijs toevoegen"
"Fixed","Vast"
"Percent","Procent"
"Amount","Hoeveelheid"
"Apply","Toepassen"
"Action","Actie"
"Edit","Wijzig"
"Delete","Verwijder"
"Are you sure you want to delete price?","Weet u zeker dat u deze prijs wilt verwijderen??"
"Submit","Opslaan"
"Duplicated price.","Prijs gedupliceerd."
"Zone Prices","Zone prijs"
"Enable Zone Pricing","Zone prijzen inschakelen"
"You can set product discounts by zones is enabled.","U kunt productkortingen per zone is ingeschakeld."
