"Customer Locator","Klant locatie detector"
"Your location has been saved.","Uw locatie is opgeslagen."
"Options","Opties"
"Allow a customer to modify a location","Sta een klant toe om zijn locatie aan te passen."
"Apply default shipping address","Pas standaard verzendadres toe."
"Region/State is required","Staat is verplicht"
"ZIP/Postal Code is required","Postcode is verplicht"
"City is required","Plaats is verplicht"
"Default Location","Standaard locatie"
"Country","Land"
"Region/State","Staat"
"Zip/Postal Code","Postcode"
"City","Plaats"
"Your Location","Uw locatie"
"State/Province","Staat"
"Please select region","Selecteer regio"
"Apply","Toepassen"
