"Actions","Acties"
"An error occurred while marking notification as read.","Er is iets misgegaan bij het markeren als gelezen."
"An error occurred while marking the messages as read.","Er is iets misgegaan bij het markeren als gelezen."
"An error occurred while removing messages.","Er is iets misgegaan bij het verwijderen van de notificaties"
"An error occurred while removing the message.","Er is iets misgegaan bij het verwijderen van de notificatie"
"Are you sure?","Weet u het zeker?"
"Date Added","Datum toegevoegd"
"Error while marking as read. Please try again later.","Fout tijdens het markeren als gelezen. Probeer het later nog een keer."
"Error while marking. Please try again later.","Fout tijdens het markeren. Probeer het later nog een keer."
"Error while removing. Please try again later.","Fout tijdens het verwijderen. Probeer het later nog een keer."
"Last Update","Laatste wijziging"
"Mark as Read","Markeren als gelezen"
"Mark as read","Mark as read"
"Message","Bericht"
"Message was successfully marked as read","Bericht is gemarkeerd als gelezen"
"Message was successfully removed","Bericht is  verwijderd."
"Messages Inbox","Berichteninbox"
"Notifications","Meldingen"
"Please select messages","Selecteer berichten a.u.b."
"Please select messages.","Selecteer de notificaties"
"Read Details","Details lezen"
"Remove","Verwijderen"
"Severity","Ernst"
"Show List","Lijst tonen"
"Show Toolbar","Toolbar tonen"
"The message has been marked as read.","De notificatie is gemarkeerd als gelezen."
"The message has been removed.","De notificatie is verwijderd"
"Total of %d record(s) have been marked as read.","In totaal %d notificatie(s) zijn gemarkeerd als gelezen"
"Total of %d record(s) have been removed.","In totaal %d notificatie(s) zijn verwijderd"
"Total of %d record(s) were successfully marked as read","In totaal %d record(s) zijn gemarkeerd als gelezen."
"Total of %d record(s) were successfully removed","Totaal van % record(s) verwijdered"
"Unable to proceed. Please, try again","Kan niet doorgaan. Probeer het nog een keer.a.u.b."
"Unable to proceed. Please, try again.","Probeer het opnieuw"
"Update Frequency","Update-frequentie"
"Use HTTPS to Get Feed","Gebruik HTTPS om de feed op te halen"
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","%s ongelezen melding(en). <a href=""%s"">Ga naar de inbox</a>."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","%s, %s en %s ongelezen melding(en) <a href=""%s"">Ga naar de inbox</a>."
"critical","kritiek"
"major","belangrijk"
"minor","gering"
"notice","melding"
