"%s (Default Template from Locale)","%s (Standaard sjabloon van localisatie)"
"%s cache type(s) disabled.","%s cache type(n) gedeactiveerd"
"%s cache type(s) enabled.","%s cache type(n) geactiveerd"
"%s cache type(s) refreshed.","%s cache type(n) vernieuwd"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absoluut of relatief pad naar Magento installatie-root, bijv. var/export)"
"(For US 2-letter state names)","(Voor 2-letter-codes van staten in VS)"
"(If left empty will be auto-generated)","(Als u deze leeg laat, wordt er een gegenereerd)"
"(Leave empty for first spreadsheet)","(Laat leeg voor eerste spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Producten worden toegevoegd/geüpdate naar deze winkel als de kolom Winkel ontbreekt of  leeg is in het importbestand.)"
"(Shift-)Click or drag to change value","Wijzig de waarde met (shift-)klik of slepen"
"(Starting with)","(Beginnend met)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Bij 'Nee' worden alleen ingedeelde velden geïmporteerd. Gebruik voor indelen 'kolom1',  'kolom', etc.)"
"(You have to increase php memory_limit before changing this value)","(U moet de php memory_limit verhogen voordat u deze waarde verandert.)"
"(\t for tab)","(\t voor tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* Als er een indexering gaande is, wordt deze gestopt en start een nieuwe indexering."
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Herindexatie zal onderbroken en opnieuw opgestart worden."
"- Click on any of the time parts to increase it","- Klik op een deel van de tijdnotatie om het te verhogen"
"- Hold mouse button on any of the above buttons for faster selection.","Houd muisknop vast op een knop hierboven voor snelle selectie"
"- Use the %s buttons to select month","-- Selecteer de maand met de %s knoppen"
"- Use the %s, %s buttons to select year","-- Selecteer het jaar met de %s, %s knoppen"
"- or Shift-click to decrease it","of shift-klik om het te verlagen"
"- or click and drag for faster selection.","of klik en sleep voor snelle selectie"
"-- Not Selected --","-- Niet geselecteerd --"
"-- Please Select --","-- Selecteer a.u.b. --"
"-- Please Select Billing Agreement--","-- Selecteer incasso-overeenkomst --"
"-- Please Select a Category --","-- Selecteer een categorie a.u.b. --"
"-- Please select --","-- Selecteer a.u.b. --"
"--Please Select--","--Selecteer a.u.b.--"
"1 Hour","1 uur"
"12 Hours","12 uur"
"12h AM/PM","12uur Ochtend/Avond"
"2 Hours","2 uur"
"24 Hours","24 uur"
"24h","24uur"
"2YTD","Afgelopen 2 jaar"
"6 Hours","6 uur"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Pagina niet gevonden.</p>"
