"(Absolute path or Relative to Magento install root, ex. var/export)","(Absoluut of relatief pad naar Magento installatie-root, bijv. var/export)"
"(For US 2-letter state names)","(Voor 2-letter-codes van staten in VS)"
"(If left empty will be auto-generated)","(Als u deze leeg laat, wordt er een gegenereerd)"
"(Leave empty for first spreadsheet)","(Laat leeg voor eerste spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Producten worden toegevoegd/geüpdate naar deze winkel als de kolom Winkel ontbreekt of  leeg is in het importbestand.)"
"(Shift-)Click or drag to change value","Wijzig de waarde met (shift-)klik of slepen"
"(Starting with)","(Beginnend met)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Bij 'Nee' worden alleen ingedeelde velden geïmporteerd. Gebruik voor indelen 'kolom1 ',  'kolom ', etc.)"
"(You have to increase php memory_limit before changing this value)","(U moet de php memory_limit verhogen voordat u deze waarde verandert.)"
"(\t for tab)","(t voor tab)"
"- Click on any of the time parts to increase it","- Klik op een deel van de tijdnotatie om het te verhogen"
"- Hold mouse button on any of the above buttons for faster selection.","Houd muisknop vast op een knop hierboven voor snelle selectie"
"- Use the %s buttons to select month","-- Selecteer de maand met de %s knoppen"
"- Use the %s, %s buttons to select year","-- Selecteer het jaar met de %s, %s knoppen"
"- or Shift-click to decrease it","of shift-klik om het te verlagen"
"- or click and drag for faster selection.","of klik en sleep voor snelle selectie"
"-- Please Select Billing Agreement--","-- Selecteer Incasso Overeenkomst --"
"API:","API:"
"About the calendar","Over de kalender"
"Access denied.","Toegang geweigerd."
"Account Created in:","Account gemaakt in:"
"Account Created on (%s):","Account gemaakt op (%s):"
"Account Created on:","Account gemaakt op:"
"Action","Actie"
"Actions","Acties"
"Add Author","Voeg auteur toe"
"Add Contents Path","Content-pad toevoegen"
"Add Field with URL:","Veld met URL toevoegen"
"Add Maintainer","Beheerder toevoegen"
"Add New Role","Nieuwe Rol toevoegen"
"Add New Template","Nieuwe template toevoegen"
"Add New User","Nieuwe gebruiker toevoegen"
"Add PHP Extension dependency","PHP extension dependency toevoegen"
"Add Package dependency","Package dependency toevoegen"
"Add Subpackage dependency","Subpackage minimum vereiste voor Package toevoegen"
"Address Type:","Adrestype:"
"All","Alle"
"All Websites","Alle websites"
"All fields","Alle velden"
"Archive file name:","Bestandsnaam archief:"
"Are you sure that you want to delete this template?","Weet u zeker dat u deze template wilt verwijderen?"
"Are you sure that you want to strip tags?","Weet u zeker dat u tags wilt verwijderen?"
"Attribute Set Name:","Naam attributen-set:"
"Attributes","Attributen"
"Authors","Auteurs"
"Available Products","Beschikbare producten"
