"%s",""
"ACL Attribute Rules",""
"ACL Attributes Information",""
"Add",""
"Add Admin Role",""
"Add New Role",""
"Address Type",""
"Admin",""
"Allow",""
"An error occurred while deleting the role.",""
"An error occurred while saving attribute rules.",""
"An error occurred while saving role.",""
"Api Rules Information",""
"Assigned",""
"Associate to Website",""
"Attribute Rules Information",""
"Attributes",""
"Automatically Return Credit Memo Item to Stock",""
"Back",""
"Backorders",""
"Base Currency",""
"Base Customer Balance",""
"Base Discount",""
"Base Discount Amount",""
"Base Item Subtotal",""
"Base Item Subtotal Including Tax",""
"Base Original Price",""
"Base Price",""
"Base Price Including Tax",""
"Base Shipping",""
"Base Shipping Discount",""
"Base Shipping Tax",""
"Base Subtotal",""
"Base Subtotal Including Tax",""
"Base Tax Amount",""
"Base Total Due",""
"Base Total Paid",""
"Base Total Refunded",""
"Can Be Divided into Multiple Boxes for Shipping",""
"Canceled Qty",""
"Catalog",""
"CatalogInventory",""
"City",""
"Company",""
"Country",""
"Coupon Code",""
"Create",""
"Created From",""
"Customer",""
"Customer Address",""
"Customer Address ID",""
"Customer Balance",""
"Customer First Name",""
"Customer ID",""
"Customer Last Name",""
"Customer Middle Name",""
"Customer Prefix",""
"Customer Suffix",""
"Delete",""
"Deny",""
"Disable automatic group change based on VAT ID",""
"Discount",""
"Discount Amount",""
"Discount Description",""
"Edit",""
"Edit %s ACL attribute rules",""
"Edit Role",""
"Edit attribute rules for %s Role",""
"Email",""
"Enable Qty Increments",""
"First Name",""
"Gift Message",""
"Grand Total",""
"Grand Total to Be Charged",""
"Group",""
"Guest",""
"ID",""
"Invoiced Qty",""
"Is Confirmed",""
"Is Default Billing Address",""
"Is Default Shipping Address",""
"Item ID",""
"Item Subtotal",""
"Item Subtotal Including Tax",""
"Last Logged In",""
"Last Name",""
"Low Stock Date",""
"Manage Stock",""
"Maximum Qty Allowed in Shopping Cart",""
"Minimum Qty Allowed in Shopping Cart",""
"New Role",""
"Notify for Quantity Below",""
"OAuth",""
"Order Addresses",""
"Order Comments",""
"Order Currency",""
"Order Date",""
"Order ID",""
"Order ID (internal)",""
"Order Item ID",""
"Order Items",""
"Order Status",""
"Ordered Qty",""
"Orders",""
"Original Price",""
"Parent Order Item ID",""
"Payment Method",""
"Phone Number",""
"Placed from IP",""
"Please enter a valid number in ""max_sale_qty"" field",""
"Please enter a valid number in ""min_qty"" field",""
"Please enter a valid number in ""min_sale_qty"" field",""
"Please enter a valid number in ""notify_stock_qty"" field",""
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.",""
"Price",""
"Price Including Tax",""
"Product",""
"Product ID",""
"Product and Custom Options Name",""
"Qty",""
"Qty Increments",""
"Qty Uses Decimals",""
"Qty for Item's Status to Become Out of Stock",""
"REST - Attributes",""
"REST - Roles",""
"REST ACL Attributes",""
"REST Attributes",""
"REST Role",""
"REST Roles",""
"REST Roles Information",""
"Read",""
"Refunded Qty",""
"Rest Roles",""
"Retrieve",""
"Role ""%s"" no longer exists",""
"Role ""%s"" not found.",""
"Role API Resources",""
"Role Info",""
"Role Information",""
"Role Name",""
"Role Users",""
"Role has been deleted.",""
"Roles",""
"SKU",""
"Sales",""
"Save",""
"Shipped Qty",""
"Shipping Amount",""
"Shipping Discount",""
"Shipping Including Tax",""
"Shipping Method",""
"Shipping Tax",""
"State",""
"Stock Availability",""
"Stock ID",""
"Stock Item",""
"Store Currency to Order Currency Rate",""
"Store Name",""
"Street",""
"Subtotal",""
"Subtotal Including Tax",""
"System",""
"Tax Amount",""
"Tax Name",""
"Tax Percent",""
"Tax Rate",""
"The ""enable_qty_increments"" field must be set to 0 or 1.",""
"The ""is_decimal_divided"" field must be set to 0 or 1.",""
"The ""is_in_stock"" field must be set to 0 or 1.",""
"The ""is_qty_decimal"" field must be set to 0 or 1.",""
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.",""
"The ""manage_stock"" field must be set to 0 or 1.",""
"The ""stock_status_changed_auto"" field must be set to 0 or 1.",""
"The ""use_config_backorders"" field must be set to 0 or 1.",""
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.",""
"The ""use_config_manage_stock"" field must be set to 0 or 1.",""
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.",""
"The ""use_config_min_qty"" field must be set to 0 or 1.",""
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.",""
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.",""
"The ""use_config_qty_increments"" field must be set to 0 or 1.",""
"The attribute rules were saved.",""
"The role has been saved.",""
"The role is a special one and not for assigning it to admin users.",""
"Total Due",""
"Total Paid",""
"Total Refunded",""
"Update",""
"Use Config Settings for Backorders",""
"Use Config Settings for Enable Qty Increments",""
"Use Config Settings for Manage Stock",""
"Use Config Settings for Maximum Qty Allowed in Shopping Cart",""
"Use Config Settings for Minimum Qty Allowed in Shopping Cart",""
"Use Config Settings for Notify for Quantity Below",""
"Use Config Settings for Qty Increments",""
"Use Config Settings for Qty for Item's Status to Become Out of Stock",""
"User Type",""
"User type ""%s"" no longer exists",""
"User type ""%s"" not found.",""
"Web Services",""
"Web services",""
"Write",""
"ZIP/Postal Code",""
"",""
