"--Please Select--","--Maak een keuze--"
"API Login ID","API Login ID"
"Accepted Currency","Geaccepteerde valuta"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Card Verificatie Nummer"
"Card Verification Number Visual Reference","Card Verificate Nummer Visuele Referentie"
"Close","Sluiten"
"Credit Card Information","Credit Card Informatie"
"Credit Card Number","Credit Card Nummer"
"Credit Card Type","Credit Card Type"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verificatie"
"Debug","Debug"
"Email Customer","E-mail klant"
"Enabled","Ingeschakeld"
"Expiration Date","Expiratie datum"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maximum Order Totaal"
"Merchant MD5","Webwinkelier MD5"
"Merchant's Email","Webwinkelier E-mail"
"Minimum Order Total","Minimum Order Totaal"
"New Order Status","Nieuwe Orderstatus"
"Order saving error: %s","Bestelling foutief opgeslagen: %s"
"Payment Action","Betaalactie"
"Payment authorization error.","Betaalfout"
"Payment authorization error. Transacion id is empty.","Betaalfout. Het transactie id is leeg."
"Payment error. Order was not found.","Betaalfout. De bestelling is niet gevonden."
"Payment error. Paid amount doesn\'t match the order amount.","Betaalfout. Het betaalde bedrag komt niet overeen met de bestelwaarde."
"Payment from Applicable Countries","Betaling vanuit alle landen"
"Payment from Specific Countries","Betaling vanuit specifieke landen"
"Please, choose payment method","Kies een betaalmethode"
"Response hash validation failed. Transaction declined.","Response hash validation failed. Transaction declined."
"Sort Order","Sorteervolgorde"
"Test Mode","Testmodus"
"The order has been created.","De bestelling is aangemaakt."
"There was an error processing your order. Please contact us or try again later.","Er ging iets mis bij het verwerken van uw bestelling. Neem contact met ons op of probeer het later opnieuw."
"Title","Titel"
"Transaction Key","Transactiecode"
"What is this?","Wat is dit?"
"You will be required to enter your payment details before you place an order.","U moet uw betaalgegevens invullen bij het plaatsen van een bestelling"
