"Bank Prepayment","Vooruitbetaling per bank"
"Pay within X days","Betalen binnen X dagen"
"Please transfer the money within %s days to the following bank account","Schrijf het bedrag a.u.b. binnen %s dagen over naar de volgende rekening"
"Please transfer the money to the following bank account","Schrijf het bedrag a.u.b. over naar de volgende rekening"
"Account holder","Rekeninghouder"
"Account number1","Rekeningnummer"
"Sort code","Sort code (wordt niet gebruikt in Nederland)"
"Bank name","Banknaam"
"For international transfers please use also following data","Voor internationale overschrijvingen gebruik a.u.b. de volgende gegevens"
"IBAN","IBAN"
"BIC","BIC"
"Account info","Rekening informatie"
"International","Internationaal"
"Custom text","Eigen tekst"
