"User Defined Qty","Door gebruiker gedefinieerd aantal"
"Use Default Value","Gebruik standaardwaarde"
"Together","Samen"
"To","Aan"
"To:","Tot:"
"This product is also part of bundle(s)","Dit product is ook onderdeel van één of meer bundels"
"There is no defined renderer for %s"" option type.","Er is geen weergave gedefinieerd voor optietype “%s”"
"Store View Title","Zichttitel bewaren"
"Shipment","Verzending"
"Ship Bundle Items","Bundel-artikelen verzenden"
"Separately","Apart"
"Required options are not selected.","De verplichte opties zijn niet geselecteerd."
"Selected required options are not available.","De geselecteerde opties zijn niet beschikbaar."
"Price as configured","Prijs zoals weergegeven"
"Qty:","Aantal"
"Radio Buttons","Radio buttons"
"Position","Positie"
"Price Range","Prijsrange"
"Price Type","Prijstype"
"Please specify product option(s).","Selecteer de productoptie(s)."
"Please select options for product.","Kies opties voor het product a.u.b."
"None","Geen"
"Percent","Percentage"
"Percent Discount","Kortingspercentage"
"Please Select Products to Add","Kies producten om toe te voegen a.u.b."
"Please enter search conditions to view products.","Vul zoekcriteria in om producten te bekijken"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"N/A","N/B"
"Multiple Select","Meervoudige selectie"
"Message:","Bericht:"
"Is Required","Is verplicht"
"Input Type","Type invoerveld"
"Incl. Tax","Incl. BTW"
"Gift Message","Bericht bij kado"
"From:","Van:"
"From","Van"
"Fixed","Vast"
"Dynamic","Dynamisch"
"Excl. Tax","Excl. BTW"
"Drop-down","Dropdown"
"Default Title","Standaard-titel"
"Default","Standaard"
"Default Qty","Standaard-aantal"
"Close","Sluiten"
"Choose a selection...","Kies een selectie..."
"Checkbox","Checkbox"
"Catalog Product View (Bundle)","Catalogus Product (Bundel)"
"Buy %1$s with %2$s discount each","Bestel %1$s met %2$s korting"
"As low as","Slechts"
"Bundle Items","Bundel-artikelen"
"Bundle Product","Bundelproduct"
"As Low as","Slechts"
"Add Selection","Selectie toevoegen"
"-- Select --","-- Selecteer --"
"Add New Option","Nieuwe optie toevoegen"
"--Select--","--Kies--"
"Please specify product option(s)","Specificeer de productopties a.u.b."
"Required options not selected.","Verplichte opties niet geselecteerd"
"Selected required options not available.","Geselecteerde verplichte opties niet beschikbaar"
"There is no defined renderer for %s"" option type","Er is geen weergave gedefinieerd voor optietype “%s”"
"There is no defined renderer for %s option type.","Informatie voor de optie %s ontbreekt."
