"x","x"
"unselect all","Deselecteer alles"
"select all","Alles selecteren"
"save","bespaar"
"px.","px."
"products","Producten"
"per page","per pagina"
"each","elk"
"ex. http://domain.com","bijv. http://domein.nl"
"leave blank if its not an image","leeglaten indien het geen afbeelding is"
"categories","Categorie"
"and","en"
"Zoom Out","Uitzoomen"
"[GLOBAL]","[GLOBAAL]"
"Zoom In","Inzoomen"
"You have to specify at least one recipient.","U moet tenminste 1 ontvanger selecteren"
"You may also be interested in the following product(s)","U bent wellicht ook ge&iuml;nteresseerd in de volgende producten:"
"You have no items to compare.","Geen producten geselecteerd."
"You have exceeded limit of %d sends in an hour.","U hebt de limiet van %d e-mails per uur overschreden"
"You cannot send more than %d emails at a time.","U kunt niet meer dan %d e-mails per keer versturen"
"You cannot email this product to a friend.","U kunt dit product niet e-mailen naar een vriend"
"You cannot remove system attribute from this set.","U kunt dit systeemattribuut niet verwijderen uit deze set."
"Year Range","Jaar"
"Yes","Ja"
"Wrong quote item option instance in options group.","Wrong quote item option instance in options group."
"Wrong quote item instance in options group.","Wrong quote item instance in options group."
"Wrong product type filter specified","Wrong product type filter specified"
"Wrong product instance type in options group.","Wrong product instance type in options group."
"Wrong option type to get group instance.","Onjuiste optie type"
"Wrong option instance type in options group.","Wrong option instance type in options group."
"Wrong BuyRequest instance in options group.","Wrong BuyRequest instance in options group."
"Website","Website"
"Websites","Websites"
"Whether to show All"" option in the ""Show X Per Page"" dropdown.","Whether to show All"" option in the ""Show X Per Page"" dropdown."
"We Also Recommend","Ook aanbevolen"
"Watermark Position","Plaats van watermerk"
"Watermark Opacity, Percent","Watermerk, Percentage transparantie"
"Watermark","Watermerk"
"Watermark Default Size","Standaard-grootte van watermerk"
"WYSIWYG Editor","WYSIWYG editor"
"Visible on Product View Page on Front-end","Zichtbaar op productpagina in frontend"
"Visible on Catalog Pages on Front-end","Zichtbaar op cataloguspagina's in frontend"
"Visible","Zichtbaar"
"Visibility","Zichtbaarheid"
"View as","Tonen als"
"Virtual Product","Virtueel product"
"Varchar","Varchar"
"Value for %s"" is invalid: %s","Waarde voor %s"" is ongeldig: %s"
"Value for %s"" is invalid.","Waarde voor %s"" is ongeldig."
"Used in Product Listing","Te gebruiken in categorieën."
"Used for Sorting in Product Listing","Te gebruiken als sorteeroptie in categorieën."
"Use in Quick Search","Gebruiken in Snel zoeken"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Gebruiken in gelaagde navigatie<br />(alleen mogelijk met catalogus-veldtype ‘Dropdown’)"
"Use in Layered Navigation","Gebruik in gelaagde navigatie"
"Use four-digit year format.","Gebruik vier-cijferige jaar aanduiding"
"Use in Advanced Search","Gebruiken in geavanceerd zoeken"
"Use for Promo Rule Conditions","Gebruik voor prijsregels"
"Use default","Gebruik standaard"
"Use Tree Like Category Sitemap","Gebruik sitemap"
"Use To Create Configurable Product","Gebruiken om configureerbaar product aan te maken"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Gebruik statische URL's voor media in WYSIWYG"
"Use JavaScript Calendar","Maak gebruik van Javascript kalender"
"Use In Search Results Layered Navigation","Gebruiken in zoekresultaten van gelaagde navigatie"
"Use In Layered Navigation","Gebruik in gelaagde navigatie"
"Use Flat Catalog Product","Gebruik platte catalogus producten"
"Use Flat Catalog Category","Gebruik platte catalogus categorie"
"Use Default Value","Standaardwaarden gebruiken"
"Use Config Settings","Configuratie-instellingen gebruiken"
"Use Categories Path for Product URLs","Categorieënpad voor product-URL’s gebruiken"
"Use Canonical Link Meta Tag For Products","Canonical links voor producten"
"Use Canonical Link Meta Tag For Categories","Canonical links voor categorieen"
"Url Rewrite Management","Beheer URL-rewrites"
"Upload new product image","Nieuwe productafbeelding uploaden"
"Update product tier prices","Staffelprijzen product updaten"
"Update product link","Productlink updaten"
"Update product image","Productafbeelding updaten"
"Update product","Product updaten"
"Update category","Categorie updaten"
"Update attributes","Atttributen updaten"
"Update assigned product","Toegewezen product updaten"
"Up-sells","Upsells"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Tier Price","Staffelprijs bijwerken"
"Unknown attribute: %s.","Onbekend attribuut: %s"
"Unsupported product type %s"".","Onbekend producttype %s""."
"Unknown EAV indexer type %s"".","Onbekende EAV index type %s""."
"Unable to get the product ID.","Het is niet mogelijk om het product ID te achterhalen"
"Unassigned Attributes","Niet-toegewezen attributen"
"Unable to find an attribute to delete.","Dit attribuut kan niet verwijderd worden"
"Unable to find a search term to delete.","Deze zoekterm kan niet verwijderd worden"
"Unable to complete this request.","Deze opdracht kan niet uitgevoerd worden"
"Type","Type"
"URL Rewrite Management","URL Rewrite Management"
"Total of %d record(s) have been updated.","In totaal %d records(s) zijn aangepast"
"Total of %d record(s) have been deleted.","In totaal %d records(s) zijn aangepast"
"Total incl. Tax: %1$s","Totaal incl. BYTW %1s"
"Total Qty Base Items","Totaal aantal basisartikelen"
"Top/Left","Bovenaan/links"
"Top/Right","Bovenaan/rechts"
"Title","Titel"
"To reindex the enabled product(s), the store or product must be specified.","To reindex the enabled product(s), the store or product must be specified."
"Time Format","Tijdsformaat"
"Tile","Tegel"
"Tier Pricing","Staffelprijzen"
"This search no longer exists.","Deze zoekopdracht bestaat niet meer"
"This product no longer exists.","Dit product bestaat niet meer"
"This is a required option","Dit is een verplichte optie"
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen. Verplaats de systeemattributen naar een andere groep en probeer opnieuw a.u.b."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Deze groep bevat attributen die gebruikt worden in configureerbare producten. Verplaats deze attributen naar een andere groep en probeer opnieuw a.u.b."
"This attribute set no longer exists.","Deze attribuutset bestaat niet meer"
"This attribute no longer exists","Dit attribuut bestaat niet meer"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Dit attribuut wordt gebruikt in configureerbare producten. U kunt het niet van de attribuutset verwijderen"
"This attribute cannot be updated.","Dit attribuut kan niet geupdate worden"
"This attribute cannot be edited.","Dit attribuut kan niet bewerkt worden"
"This attribute cannot be deleted.","Dit attribuut kan niet verwijderd worden"
"This Attribute no longer exists","This Attribute no longer exists"
"There are no products matching the selection.","Er komen geen producten overeen met de selectie."
"There are no customers for this alert.","Er zijn geen klanten voor deze waarschuwing"
"There are no customers for this alert","Er zijn geen klanten voor deze waarschuwing"
"There are no %s available.","Er is geen %s beschikbaar."
"The text is too long","De tekst is te lang"
"The search was deleted.","De zoekopdracht is verwijderd"
"The review was removed by another user or does not exist.","De review is verwijderd door een andere gebruiker, of bestaat niet"
"The review has been deleted","De review is verwijderd"
"The review has been saved.","De review is opgeslagen"
"The product has required options","Het product heeft verplichte opties"
"The product has been saved.","Het product is opgeslagen"
"The product has been duplicated.","Het product is gedupliceerd"
"The product has been created.","Het product is aangemaakt"
"The product has been deleted.","Het product is verwijderd"
"The product attribute has been saved.","Het product attribuut is opgeslagen"
"The product attribute has been deleted.","Het product attribuut is verwijderd"
"The product %s has been removed from comparison list.","Het product %s is verwijderd uit de vergelijking"
"The product %s has been added to comparison list.","Het product %s is toegevoegd aan de vergelijking"
"The image is not specified.","De afbeelding is niet gespecificeerd"
"The image contents is not valid base64 data.","The image contents is not valid base64 data."
"The filters must be an array.","The filters must be an array."
"The email template is not specified by administrator.","De e-mail template is niet gespecificeerd door de beheerder"
"The comparison list was cleared.","De vergelijkingslijst is geleegd"
"The category has been saved.","De categorie is opgeslagen"
"The category has been deleted.","De categorie is verwijderd"
"The base directory to upload image file is not specified.","De uploadmap is niet gespecificeerd"
"The attribute set has been saved.","De attribuut set is opgeslagen"
"The attribute model is not defined","Het attribuut model is niet opgegeven"
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module."
"Tax","BTW"
"Template","Template"
"Text","Tekst"
"Tag Name","Labelnaam"
"System Properties","Systeemeigenschappen"
"Synonym For","Synoniem voor"
"Super product attributes configuration","Configuratie super-productattributen"
"Subscribe to RSS Feed","Abonneren op RSS-feed"
"Stretch","Uitrekken"
"Store","Winkel"
"Store View","Winkelzicht"
"Stock Availability","Beschikbaarheid voorraad:"
"Status","Status"
"Static block only","Alleen statisch blok"
"Static block and products","Statisch blok en producten"
"Static","Statisch"
"Starting at:","Beginnend op:"
"Special Price: %s","Aanbiedingsprijs: %s"
"Special Price:","Aanbiedingsprijs:"
"Special Expires On: %s","Aanbieding verloopt op: %s"
"Source Model","Bron model"
"Sort Order","Sorteervolgorde"
"Sort By","Sorteer op"
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Some of the products below do not have all the required options. Please remove them and add again with all the required options."
"Some of the processed products have no SKU value. Please fill it.","Some of the processed products have no SKU value. Please fill it."
"Skipping import row, the value %s"" is not valid for the ""%s"" field.","Sla importeren van rij over. Waarde “%s” is ongeldig voor veld “%s”."
"Skipping import row, store %s"" field does not exist.","Sla importeren van rij over. Veld “%s” bestaat niet."
"Skipping import row, required field %s"" is not defined.","Sla importeren van rij over. Veld “%s” is niet opgegeven."
"Skipping import row, required field %s"" for new products is not defined.","Sla importeren van rij over. Veld “%s” is niet opgegeven."
"Skip import row, the value %s"" is invalid for field ""%s","Sla importeren van rij over. Waarde “%s” is ongeldig voor veld “%s”."
"Skip import row, is not valid value %s"" for field ""%s","Sla importeren van rij over, “%s” is geen geldige waarde voor veld “%s”"
"Skip import row, required field %s"" for the new customer is not defined.","Skip import row, required field %s"" for the new customer is not defined."
"Sitemap","Sitemap"
"Site Map","Sitemap"
"Simple Product","Simpel product"
"Show Tags","Labels tonen"
"Show Details","Details tonen"
"Show","Toon"
"Shopping Options","Selectie verfijnen"
"Shop By","Winkelen per"
"Settings","Instellingen"
"Set special price","Aanbiedingprijs instellen"
"Set/Get current store view","Huidige winkelzicht ophalen/instellen"
"Set root category for this store in the <a href=%s"">configuration</a>","Basiscategorie instellen voor deze winkel in de <a href=%s"">configuratie</a>"
"Set Name","Naam instellen"
"Set Root Category for Store","Basiscategorie voor winkel instellen"
"Set Descending Direction","Van hoog naar laag sorteren"
"Send Count","Telling versturen"
"Set Ascending Direction","Van laag naar hoog sorteren"
"Selected configuration is not available.","Geselecteerde configuratie is niet beschikbaar"
"Selected Product Types","Producttypen selecteren"
"Select type options required values rows.","Rijen verplichte waarden voor type-opties selecteren"
"Select type of option","Type-optie selecteren"
"Select Product...","Selecteer product..."
"Select Configurable Attributes","Configureerbare attributen selecteren"
"Select Category...","Selecteer categorie..."
"Searchable","Doorzoekbaar"
"Search Term with such search query already exists.","Search Term with such search query already exists."
"Search Query","Zoekopdracht"
"Search Information","Zoekinformatie"
"Search Engine Optimizations","Search Engine Optimalisatie (SEO)"
"Search","Zoeken"
"Scope","Scope"
"Saved %d record(s)","%d record(s) opgeslagen"
"Save and Continue Edit","Opslaan en verder bewerken"
"Save Category","Categorie opslaan"
"Save Search","Zoekopdracht opslaan"
"Save Attribute Set","Attributenset opslaan"
"SKU","Artikelnummer"
"Save","Opslaan"
"Save Attribute","Attribuut opslaan"
"Roll Over for preview","Mouse-over toont beeld"
"Root","Root"
"Reviews","Beoordelen"
"Retrieve products data","Productgegevens ophalen"
"Retrieve products list by filters","Gefilterde productenlijst ophalen"
"Retrieve product types","Producttypen ophalen"
"Retrieve product link type attributes","Attributen product-linktype ophalen"
"Retrieve product link types","Product-linktypen ophalen"
"Retrieve product tier prices","Staffelprijzen product ophalen"
"Retrieve product image list","Lijst productafbeeldingen ophalen"
"Retrieve product image types","Typenl productafbeeldingen ophalen"
"Retrieve product image","Productafbeelding ophalen"
"Retrieve product attribute sets","Productattributen ophalen"
"Retrieve product","Product ophalen"
"Retrieve one level of categories by website/store view/parent category","E&eactue;n niveau  van categorie&euml;n per website/winkelzicht/ouder-categorie"
"Retrieve linked products","Haal gekoppelde producten op"
"Retrieve list of assigned products","Haal een lijst op van toegewezen producten"
"Retrieve hierarchical tree","Hierarchische boom ophalen"
"Retrieve category attributes","Categorie-attributen ophalen"
"Retrieve category data","Categoriegegevens ophalen"
"Retrieve categories tree","Boom categorieën ophalen"
"Retrieve attribute options","Attribuutopties ophalen"
"Retrieve attribute list","Attributenlijst ophalen"
"Retrieve attribute data","Attribuutgegevens ophalen"
"Reset","Herstellen"
"Results","Resultaten"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Remove product link","Productlink  verwijderen"
"Remove product image","Productafbeelding verwijderen"
"Remove product assignment","Productkoppeling verwijderen"
"Remove This Item","Dit artikel verwijderen"
"Remove Product From Websites","Product van websites verwijderen"
"Remove","Verwijderen"
"Related Products","Verwante producten"
"Regular Price:","Normale prijs:"
"Redirect URL","Doorstuur URL"
"Redirect","Doorsturen"
"Records for "",Records voor ",""
"Quick Overview","Snel overzicht"
"Quick simple product creation","Snel een simpel product aanmaken"
"Quantity","Aantal:"
"Quick Create","Snel aanmaken"
"Qty:","Aantal:"
"Qty for Item's Status to become Out of Stock","Minmumaantal voor melding Op voorraad"
"Qty Uses Decimals","Decimalen in aantalen"
"Qty Increments","Qty Increments"
"Qty","Aantal"
"Properties","Eigenschappen"
"Products per Page on List Default Value","Standaardwaarde voor producten per pagina in lijstweergave"
"Products per Page on List Allowed Values","Toegestane waarden voor producten per pagina in lijstweergave"
"Products per Page on Grid Default Value","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on Grid Allowed Values","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products only","Alleen producten"
"Products Sitemap","Sitemap van producten"
"Products Reviews","Productbeoordelingen"
"Products Comparison List","Products Comparison List"
"Products Information","Gegevens producten"
"Products","Products"
"Product with this combination of attributes already associated to configurable.","Product met deze attributencombinatie is al verbonden met configureerbaar."
"Product types API","Producttypen API"
"Product links API (related, cross sells, up sells)","Product-links API (verwant, cross-selling, up-selling)"
"Product collection expected.","Product collection expected."
"Product attributes API","Productattributen API"
"Product attribute sets API","Productattrubuten-sets API"
"Product View Extra Hint","Product View Extra Hint"
"Product URL Suffix","Achtervoegsel product-URL"
"Product Type","Producttype"
"Product Tier Price API","Product Staffelprijs API"
"Product Tags","Eigen labels"
"Product Reviews","Product-reviews"
"Product Prices","Productprijzen"
"Product Name","Productnaam"
"Product Listing Sort by","Productlijst sorteren op"
"Product Link Inline Template","Product Link Inline Template"
"Product Information","Productgegevens"
"Product Link Block Template","Product Link Block Template"
"Product Info Column","Kolom productgegevens"
"Product In Websites","Product in websites"
"Product Images API","Productafbeeldingen API"
"Product Images","Productafbeeldingen"
"Product Image Watermarks","Watermerken voor productenafbeelding"
"Product Image Placeholders","Plaats van productafbeelding"
"Product Flat Data","Product Flat Data"
"Product Extra Info","Product Extra Info"
"Product Description","Productbeschrijving"
"Product Categories","Productcategorie&euml;n"
"Product Attributes","Productattributen"
"Product Attribute","Product-attribuut"
"Product Alerts","Product-waarschuwingen"
"Product API","Product-API"
"Product","Product"
"Print This Page","Print deze pagina"
"Price: %s","Prijs: %s"
"Price:","Prijs:"
