"Yes","Ja"
"Wrong rule specified.","Foutieve regel gespecificeerd"
"Websites","Websites"
"Update product's %s %s: %s","Product's %s %s: %s bijwerken"
"Unable to find a rule to delete.","Het is niet mogelijk om deze regel(s) te verwijderen"
"Unable to apply rules.","Het is niet mogelijk om deze regel(s) toe te passen"
"To Date","Tot datum"
"This rule no longer exists.","Deze regel bestaat niet meer"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Er zijn regels aangepast, maar niet opgeslagen. Bevestig deze regels om meteen resultaat te zien"
"The rules have been applied.","Deze regels worden toegepast"
"The rule has been saved.","Deze regel is opgeslagen"
"The rule has been deleted.","Deze regel is verwijderd"
"The page you are trying to save no longer exists","De pagina die u probeert op te slaan bestaat niet meer"
"Stop Further Rules Processing","Stop met verder uitvoeren van regels"
"Status","Status"
"Start at: %s","Begin op: %s"
"Save and Continue Edit","Opslaan en verder bewerken"
"Save and Apply","Opslaan en toepassen"
"Save Rule","Regel opslaan"
"Rule Name","Regelnaam"
"Rule Information","Regelgegevens"
"Promotions","Promoties"
"Product Attribute","Product-attribuut"
"Priority","Prioriteit"
"No","Nee"
"Options","Opties"
"Name: %s","Naam: %s"
"New Rule","Nieuwe regel"
"ID","ID"
"Inactive","Inactief"
"NOT LOGGED IN","NIET INGELOGD"
"General Information","Algemene Informatie"
"From Date","Vanaf datum"
"Edit Rule '%s'","Regel ‘%s’ bewerken"
"Expire at: %s","Verloopt op: %s"
"Edit Rule","Regel bewerken"
"Description: %s","Omschrijving: %s"
"Description","Beschrijving"
"Delete Rule","Regel verwijderen"
"Date To","Datum tot"
"Date Start","Begindatum"
"Date From","Datum vanaf"
"Date Expire","Verloopdatum"
"Customer is a New Buyer: %s","Koper is een nieuwe klant: %s"
"Customer Registered: %s","Klant geregistreerd: %s"
"Customer Groups","Klantengroepen"
"Conditions Combination","Voorwaarden combinatie"
"Conditions (leave blank for all products)","Condities (laat leeg voor alle producten)"
"Conditions","Voorwaarden"
"Catalog Price Rules","Catalogus prijsregels"
"Category","Categorie"
"Catalog Price Rule","Catalogus Prijsregel"
"Attribute Set","Attributenset"
"Catalog","Catalogus"
"Apply Rules","Regels toepassen"
"An error occurred while saving the rule data. Please review the log and try again.","Een probleem is opgetreden bij het opslaan van deze regel. Probeer het nogmaals."
"%d Catalog Price Rules based on %s attribute have been disabled.","%d catalogus prijsregels gebaseerd op attribuut %s"" zijn geannuleerd."
"An error occurred while deleting the rule. Please review the log and try again.","Een probleem is opgetreden bij het verwijderen van deze regel. Probeer het nogmaals."
"Add New Rule","Nieuwe regel toevoegen"
"Active","Actief"
"Actions","Acties"
"%d Catalog Price Rules based on %s"" attribute have been disabled.","%d catalogus prijsregels gebaseerd op attribuut %s"" zijn geannuleerd."
"Catalog Price Rules based on deleted attribute %s"" has been disabled.","%d catalogus prijsregels gebaseerd op attribuut %s"" zijn geannuleerd."
"Comments History","Eerdere notities"
"Credit Memos","Creditfacturen"
"Customer is new buyer: %s","Klant is nieuwe koper: %s"
"Gift Messages","Kadoberichten"
"Invoices","Facturen"
"Order Credit Memos","Creditfacturen bij bestelling"
"Order Gift Messages","Kadoberichten bij bestelling"
"Order History","Bestelgeschiedenis"
"Order Invoices","Facturen"
"Order Shipments","Verzendingen bij bestelling"
"Rule was successfully deleted","Regel is met succes verwijderd"
"Rule was successfully saved","Regel is met succes opgeslagen"
"Rules were successfully applied","Regels zijn met succes toegepast"
"Shipments","Verzendingen"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Er zijn regels gewijzigd, maar niet toegepast. Klik op 'Regels toepassen' om direct het resultaat te zien in de catalogus."
"This rule no longer exists","Deze regel bestaat niet meer"
"Unable to apply rules","Kan regels niet toepassen"
"Unable to find a page to delete","Kan geen pagina vinden om te verwijderen"
