"%s and greater","%s en groter"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d artikel(en)</strong> gevonden met de volgende zoekopdracht"
"Advanced Search","Geavanceerd zoeken"
"Advanced Search Form","Geavanceerd zoekformulier"
"Advanced Search Result","Geavanceerde zoekresultaten"
"All","Alle"
"Applies for ""Like"" search type only.","Alleen van toepassing voor ""Like"" zoekopdrachten."
"Apply Layered Navigation if Search Results are Less Than","Gelaagde navigatie gebruiken als er minder zoekresultaten zijn dan"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribuutinformatie is aangepast met de zoekindex. Start <a href=""%s"">Zoekindex vernieuwen</a> proces."
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribuutinformatie is aangepast met de zoekindex. Start <a href=""%s"">Zoekindex vernieuwen</a> proces."
"Autogenerated Site Map","Automatisch aangemaakte sitemap"
"Catalog Advanced Search","Catalogus geavanceerd zoeken"
"Catalog Search","Catalogus doorzoeken"
"Catalog Search Index","Catalogus zoekindex"
"Don't see what you're looking for?","Niet gevonden wat u zocht?"
"Enter ""0"" to enable layered navigation for any number of results.","Voer ""0"" in om gelaagde navigatie voor alle zoekresultaten te activeren."
"Enter 0 to enable layered navigation for any number of results.","Vul 0 om gelaagde navigatie voor alle resultaten te activeren"
"Enter 0"" to enable layered navigation for any number of results.","Enter 0"" to enable layered navigation for any number of results."
"Go","Ga"
"Go to Home Page","Ga naar Home"
"Grid","Foto-tabel"
"Home","Home"
"List","Lijst"
"Maximum Query Length","Maximale lengte zoekopdracht"
"Maximum Query Words Count","Maximale aantal woorden in zoekopdracht"
"Maximum Search query  length is %s. Your query was cut.","Maximale lengte van zoekopdracht is %s. Uw opdracht is afgekapt."
"Minimal Query Length","Minimale lengte zoekopdracht"
"Minimum Search query length is %s","Minimum lengte zoekopdracht is %s"
"Modify your search","Zoekopdracht bewerken"
"Name","Naam"
"No","Nee"
"No items were found using the following search criteria.","Er zijn geen items gevonden met de volgende zoekcriteria"
"Please enter ""0"" to enable layered navigation for any number of results","Geef '0' in om gelaagde navigatie in te schakelen voor elk aantal resultaten"
"Please specify at least one search term.","Specificeer tenminste 1 zoekterm"
"Popular Search Terms","Populaire zoekwoorden"
"Price","Prijs"
"Quick Search Form","Snel zoeken"
"Rebuild Catalog product fulltext search index","Product 'fulltext' zoekindex"
"Relevance","Relevantie"
"Required Fields","Verplichte velden"
"Results","Resultaten"
"Search","Zoeken"
"Search Settings","Zoekinstellingen"
"Search Site","Doorzoek site"
"Search Terms","Zoektermen"
"Search Type","Zoektype"
"Search entire store here...","Doorzoek de hele winkel"
"Search results for '%s'","Zoekresultaten voor ‘%s’"
"Search results for: '%s'","Zoekresultaten voor ‘%s’"
"Search:","Zoek:"
"Subscribe to Feed","Abonneren op Feed"
"There are no search terms available.","Er zijn momenteel geen populaire trefwoorden beschikbaar."
"Yes","Ja"
"You have to specify at least one search term","U moet tenminste &eacute;&eacute;n zoekterm opgeven"
"Your search returns no results.","Uw zoekactie had geen resultaat"
"up to %s","tot %s"
