"px.","pixels"
"WYSIWYG Options","WYSIWYG Opties"
"Unable to find a page to delete.","De te verwijderen pagina is niet gevonden"
"Unable to find a block to delete.","Het te verwijderen blok is niet gevonden"
"URL Key","URL key"
"Title","Titel"
"This page no longer exists.","Deze pagina bestaat niet langer meer"
"This block no longer exists.","Dit blok bestaat niet langer meer"
"The page has been saved.","De pagina is opgeslagen"
"The page URL key cannot consist only of numbers.","De URL key mag niet uitsluitend uit numerieke waardes bestaan"
"The page has been deleted.","De pagina is verwijderd"
"The block has been saved.","Het blok is opgeslagen"
"The directory %s is not writable by server.","De map %s is niet beschrijfbaar door de server"
"Template","Template"
"The block has been deleted.","Het blok is verwijderd"
"Store View","Winkelzicht"
"Storage Root","Opslag root"
"Status","Status"
"Static Blocks","Statische blokken"
"Show Notice if JavaScript is Disabled","Waarschuw als Javascript gedeactiveerd is"
"Show Breadcrumbs for CMS Pages","Kruimelpad tonen voor CMS-pagina's"
"Select Block...","Selecteer blok..."
"Select Page...","Selecteer pagina..."
"Save Page","Pagina opslaan"
"Save Process","Proces opslaan"
"Save Block","Blok opslaan"
"Relative to Website Base URL","Wordt automatisch achter de website URL gezet (bijv. www.website.nl/paginanaam)"
"Redirect to CMS-page if Cookies are Disabled","Redirect naar de CMS-page als de Cookies zijn uitgeschakeld"
"Product Tax Class Information","BTW-tariefgegevens van product"
"Pages","Pagina's"
"Page Title","Paginatitel"
"Page Status","Pagina status"
"Page Layout","Pagina Layout"
"Page Information","Paginagegevens"
"No files found","Geen bestanden gevonden"
"New Folder Name:","Nieuwe mapnaam"
"New Page","Nieuwe pagina"
"New Block","Nieuw blok"
"Meta Description","Meta-omschrijving"
"Meta Keywords","Meta-keywords"
"Meta Data","Meta-gegevens"
"Media Storage","Media opslag"
"Manage Pages","Beheer pagina's"
"Link to a CMS Page","Link naar een CMS pagina"
"Layout Update XML","Layout update XML"
"Layout","Layout"
"Last Modified","Laatst gewijzigd"
"Keywords","Keywords"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Ongeldige map naam. Gebruik letters en streepjes."
"Images (%s)","Afbeelding (%s)"
"Insert File","Bestand invoegen"
"Identifier","Identifier"
"If empty, the Page Title will be used","Indien leeg, zal de paginatitel gebruikt worden"
"ID","ID"
"General Information","Algemene Informatie"
"Go to Home Page","Ga naar Home"
"Home","Home"
"Expand All","Alles uitklappen"
"Enabled by Default","Standaard geactiveerd"
"Enabled","Ingeschakeld"
"Enable WYSIWYG Editor","WYSWIGY editor activeren"
"Edit Block '%s'","Blok '%s' bewerken"
"Edit Page","Pagina Bewerken"
"Edit Page '%s'","Pagina '%s' bewerken"
"Edit Block","Blok bewerken"
"Disabled by Default","Standaard gedeactiveerd"
"Disabled Completely","Compleet gedeactiveerd"
"Disabled","Uitgeschakeld"
"Design","Design"
"Description","Beschrijving"
"Delete Page","Pagina verwijderen"
"Delete Folder","Map verwijderen"
"Delete File","Bestand verwijderen"
"Delete Block","Blok verwijderen"
"Date Created","Datum aangemaakt"
"Customer Tax Class Information","Gegevens BTW-tariefgroep klant"
"Custom Layout Update XML","Maatwerk Layout Update XML"
"Custom Theme","Eigen Thema"
"Custom Layout","Maatwerk Layout"
"Custom Design To","Maatwerk Design tot datum"
"Custom Design","Eigen ontwerp"
"Custom Design From","Maatwerk Design vanaf datum"
"Create Folder...","Maak map...."
"Contents of a Static Block","Inhoud van statisch blok"
"Content Management","Inhoud beheren"
"Content","Inhoud"
"Content Heading","Titel (wordt bij sommige templates getoond)"
"Collapse All","Alles uitklappen"
"Cannot upload file.","Kan bestand niet uploaden"
"Cannot delete root directory %s.","Kan root map $s niet verwijderen"
"Cannot delete directory %s.","Kan map %s niet verwijderen"
"Cannot create new directory.","Kan geen nieuwe map aanmaken"
"CMS Static Block Default Template","CMS Static Block Default Template"
"CMS Static Block","CMS Statische Blok"
"CMS Pages (All)","CMS paginas (alles)"
"CMS Page Link Inline Template","CMS pagina link Inline Template"
"CMS Page Link Block Template","CMS pagina link Block Template"
"CMS Page","CMS pagina"
"CMS Page Link","CMS pagina link"
"CMS No-Route Page","CMS pagina niet gevonden"
"CMS No Cookies Page","CMS geen Cookies pagina"
"CMS No Route Page","CMS-pagina Niet Gevonden"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","CMS homepage"
"CMS","CMS"
"Block Title","Bloktitel"
"Block Information","Blok informatie"
"Block","Blok"
"Are you sure you want to delete the selected file?","Wilt u het geselecteerde bestand verwijderen?"
"Are you sure you want to delete current folder?","Wilt u de huidige map verwijderen?"
"Anchor Custom Title","Anchor Custom Title"
"Anchor Custom Text","Anchor Custom Text"
"An error occurred while saving the page.","Pagina kon niet opgeslagen worden. Probeer het opnieuw."
"All Countries","Alle landen"
"Add New Page","Nieuwe pagina toevoegen"
"Add New Block","Nieuw blok toevoegen"
"Action","Actie"
"A page URL key for specified store already exists.","Een pagina met dezelfde URL bestaat reeds."
"A directory with the same name already exists. Please try another folder name.","Een directory met dezelfde naam bestaat reeds."
"A block identifier with the same properties already exists in the selected store.","Een block identifier met dezelfde eigenschappen bestaat reeds."
"(eg: domain.com/identifier)","(bijv: domein.nl/identifier)"
"Block was successfully deleted","Blok is met succes verwijderd"
"Block was successfully saved","Blok is met succes opgeslagen"
"Custom Theme From","Eigen thema van"
"Custom Theme To","Eigen thema tot"
"Page Identifier cannot consist only of numbers.","Pagina-identifier mag niet alleen uit getallen bestaan."
"Page Identifier for specified store already exist.","Pagina-identifier voor opgegeven winkel bestaat al."
"Page was successfully deleted","Pagina is met succes verwijderd"
"Page was successfully saved","Pagina is met succes opgeslagen"
"Poll Manager","Beheer poll"
"SEF URL Identifier","SEF URL-identifier"
"Such a block identifier in selected store already exist.","Zo'n blok identifier bestaat al in de geselecteerde winkel."
"The page you are trying to save no longer exists","De pagina die u probeert op te slaan bestaat niet meer"
"This block no longer exists","Dit blok bestaat niet meer"
"This page no longer exists","Deze pagina bestaat niet meer"
"Unable to find a block to delete","Geen blok gevonden om te verwijderen"
"Unable to find a page to delete","Kan geen pagina vinden om te verwijderen"
