"Tools","Instellingen"
"The compilation has completed.","De compilatie is afgerond"
"System","Systeem"
"Not Compiled","Niet gecompileerd"
"Run Compilation Process","Run compilatieproces"
"Scopes Compilation Settings","Scope compilitatie instellingen"
"Enabled","Geactiveerd"
"File %s"" must be writeable","Bestand %s"" moet schrijfbaar zijn"
"Disabled","Gedeactiveerd"
"Enable","Activeren"
"Directory %s"" must be writeable","Map %s"" moet schrijfbaar zijn"
"Disable","Deactiveren"
"Compiler include path is enabled.","Compilatiepad is geactiveerd"
"Compiler include path is disabled.","Compilatiepad is gedeactvieerd"
"Compiler Status","Compilatie status"
"Compiled Scopes Count","Compilaties geteld"
"Compiled","Gecompileerd"
"Compilation error","Compilatiefout"
"Compilation State","Compilatiestatus"
"Compilation","Compilatie"
"Collected Files Count","Verzamelde bestanden"
"Directory %s must be writeable","Map %s"" moet schrijfbaar zijn"
"File %s must be writeable","Bestand %s"" moet schrijfbaar zijn"
"Translations has been exported to '%s'.","Vertaling is geexporteerd naar '%s'."
