"User","Gebruiker"
"Type","Type"
"There was a problem saving package data","Er was een probleem bij het opslaan van de pakketgegevens"
"The package data has been saved.","De pakketgegevens zijn opgeslagen."
"The package %s data has been loaded.","De gegevens van pakket %s zijn geladen."
"Target","Doel"
"System","Systeem"
"Summary","Samenvatting"
"Save package with custom package file name","Sla pakket op onder aangepaste bestandsnaam"
"Save Data and Create Package","Sla gegevens op en maak pakket"
"Save As...","Opslaan als..."
"Remove","Verwijderen"
"Release Info","Uitgave-informatie"
"Path","Pad"
"Packages","Pakketten"
"Package Info","Pakketinfo"
"Package File Name","Bestandsnaam van Pakket"
"Package Extensions","Pakket uitbreiding"
"Package","Pakket"
"PHP Version","PHP Versie"
"New Extension","Nieuwe uitbreiding"
"Name","Naam"
"Minimum","Minimum"
"Min","Min"
"Max","Max"
"Maximum","Maximum"
"Magento Connect Manager","Magento Connect Manager"
"Magento Connect","Magento Connect"
"Load local Package","Lokaal pakket openen"
"Load Local Package","Lokaal pakket openen"
"License URI","Licentie URI"
"License","Licentie"
"Include","Insluiten"
"Ignore","Negeren"
"Folder","Map"
"Files","Bestanden"
"Failed to save the package.","Het pakket kon niet opgeslagen worden."
"Failed to load the package data.","De pakketgegevens konden niet geladen worden."
"Failed to create the package.","Het pakket kon niet gemaakt worden."
"Extensions","Uitbreidingen"
"Extension","Uitbreiding"
"Email","E-mail"
"Edit Extension","Uitbreiding bewerken"
"Description","Beschrijving"
"Dependencies","Afhankelijkheden"
"Create Extension Package","Uitbreidingspakket maken"
"Contents","Inhoud"
"Channel","Kanaal"
"Authors","Auteurs"
"Add files","Bestanden toevoegen"
"Add Package dependency","Pakketafhankelijkheid toevoegen"
"Add PHP Extension dependency","Afhankelijkheid van PHP-extensie toevoegen"
"Add Contents Path","Inhoudspad toevoegen"
"Add Author","Auteur toevoegen"
"Action","Actie"
