"Your session has been expired, you will be relogged in now.","Uw sessie is verlopen. U wordt nu opnieuw ingelogd."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Uw bestelling kan niet worden afgerond omdat er geen verzendmethodes voor beschikbaar zijn. Breng de nodige wijzingen aan in uw afleveradres a.u.b."
"Your order cannot be completed at this time as there is no payment methods available for it.","Uw bestelling kan niet worden afgerond omdat er geen betaalmethodes voor beschikbaar zijn."
"Yes","Ja"
"Your design change for the specified store intersects with another one, please specify another date range.","Uw designverandering voor de geselecteerde winkel conflicteert met een andere. Selecteer een andere datum."
"Wrong number of arguments for %s","Fout aantal argumenten voor %s"
"Weekend Days","Weekenddagen"
"Welcome Text","Welkomsttekst"
"Website with the same code","Website met dezelfde code"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","De websitecode mag alleen letters (a-z), cijfers (0-9) of een underscore (_) bevatten. Het eerste teken moet een letter zijn."
"Website Name","Websitenaam"
"Website","Website"
"Website Information","Websitegegevens"
"Web","Web"
"Variable Code must be unique.","Variabele code moet uniek zijn"
"Values less than 60 are ignored. Note that changes will apply after logout.","Waardes onder 60 seconden worden genegeerd. Wijzigingen worden actief na uitloggen."
"Validation has failed.","Validatie is mislukt."
"Validate REMOTE_ADDR","REMOTE_ADDR valideren"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR valideren"
"Validate HTTP_VIA","HTTP_VIA valideren"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT valideren"
"Use Web Server Rewrites","Gebruik webserver-rewrites"
"Use Secure URLs in Frontend","Gebruik veilige URL"
"Use SID on Frontend","Gebruik SID in frontend"
"Use Secure URLs in Admin","Gebruik veilige URL’s in admin"
"Use HTTP Only","Alleen HTTP gebruiken"
"Use Custom Admin URL","Gebruik eigen admin-URL"
"Url Options","URL-opties"
"Unsecure","Onveilig"
"Unknown scope %s"".","Onbekende focus: %s"
"Unable to proceed. Please, try again.","Kan niet doorgaan. Probeer het nog een keer a.u.b."
"Unable to proceed. Please, try again","Kan niet doorgaan. Probeer het nog een keer a.u.b."
"Unable to delete website. Please, try again later.","Kan website niet verwijderen. Probeer het later opnieuw."
"Unable to delete store. Please, try again later.","Kan winkel niet verwijderen. Probeer het later opnieuw."
"Unable to delete store view. Please, try again later.","Kan winkelzicht niet verwijderen. Probeer het later opnieuw."
"Two and more slashes together are not permitted in url rewrite suffix","Twee of meer slashes achter elkaar zijn niet toegestaan in de url-rewrite suffix."
"Two and more slashes together are not permitted in request path","Twee of meer slashes achter elkaar zijn niet toegestaan in het verzoekpad."
"Translations","Vertalingen"
"Translate cache should be disabled for both frontend and admin inline translations.","De vertaal-cache moet zijn uitgeschakeld voor zowel de Frontend als Admin."
"Translate Inline","Inline vertaling"
"Title Suffix","Titel-suffix (achter de naam)"
"Timezone","Tijdzone"
"Title Prefix","Titel-prefix (voor de naam)"
"Allowed file types: jpeg, gif, png.","jpeg, gif of png toegestaan"
"This will be included before head closing tag in page HTML.","Dit script wordt geplaatst aan het begin van de HTML pagina, voor het einde van HEAD."
"This will be displayed just before body closing tag.","Dit script wordt geplaatst aan het einde van de HTML pagina, voor het einde van BODY."
"This website cannot be deleted.","Deze website kan niet worden verwijderd."
"This store view cannot be deleted.","Het winkelzicht kan niet worden verwijderd."
"This store cannot be deleted.","Deze winkel kan niet worden verwijderd."
"This is a required field.","Dit is een verplicht veld."
"This date is a required value.","Datum is een verplicht veld."
"This category only","Alleen deze categorie"
"This category and its products only","Deze categorie en de producten erin"
"This category and its child categories only","Deze categorie en de sub-categorie&euml;n"
"This category and all its child elements","Deze categorie en alle sub-elementen (children)"
"Themes","Thema's"
"The website has been saved.","De website is opgeslagen."
"The website has been deleted.","De website is verwijderd."
"The website does not exist.","De website bestaat niet."
"The value is not within the specified range.","De waarde is niet beschikbaar."
"The template Name must not be empty.","De templatenaam mag niet leeg zijn."
"The store view has been saved","Het winkelzicht is opgeslagen"
"The store view has been deleted.","Het winkelzicht is verwijderd."
"The store has been saved.","De winkel is opgeslagen."
"The store has been deleted.","De winkel is verwijderd."
"The store does not exist","De winkel bestaat niet"
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","De winkelcode mag alleen letters (a-z), cijfers (0-9) of een underscore (_) bevatten. Het eerste teken moet een letter zijn."
"The model collection resource name is not defined.","De bronnaam van de Model Collection is niet ingevoerd."
"The %s you entered is invalid. Please make sure that it follows http://domain.com/"" format.","Opgegeven %s is ongeldig. Zorg dat het voldoet aan het formaat http://domain.com/."
"Text length does not satisfy specified text range.","Tekstlengte komt niet overeen met de gespecificeerde lengte."
"Templates","Templates"
"Template Variables","Templatevariabelen"
"Template Path Hints","Hints template-pad"
"System Log File Name","Bestandsnaam 'system log'"
"System","Systeem"
"Store with the same code","Opslaan met dezelfde code"
"Store view doesn't exist","Winkelzicht bestaat niet"
"Store View Name","Winkelzichtnaam"
"Store Name","Winkelnaam"
"Store View","Winkelzicht"
"Store View Information","Winkelzichtgegevens"
"Store Information","Winkelgegevens"
"Store Email Addresses","E-mailadressen van winkel"
"Store Contact Telephone","Telefoonnummer webwinkel"
"Store Contact Information","Contactinformatie"
"Store Contact Address","Adres webwinkel"
"Store","Winkel"
"Status","Status"
"Startup Page","Startpagina"
"Start date cannot be greater than end date.","Startdatum kan niet later zijn dan einddatum."
"Specified date/time %1$s"" do not match format ""%2$s"".","Gespecificeerde datum/tijd %1$s"" is niet in het formaat ""%2$s""."
"Sort Order","Sorteervolgorde"
"Skin (Images / CSS)","Skin (Afbeeldingen / CSS)"
"Set as Default","Instellen als standaard"
"Set Return-Path","Ontvangstadres voor e-mails instellen."
"Session Validation Settings","Instellingen sessievalidatie"
"Session Lifetime (seconds)","Levensduur sessie (seconden)"
"Session Cookie Management","Sessiecookie beheer"
"Services","Services"
"Sender Name","Naam afzender"
