"""%s"" contains not only digit characters.","""%s"" bevat niet enkel numerieke karakters."
"""%s"" does not fit the entered date format.","""%s"" past niet in het ingevulde datum-formaat."
"""%s"" exceeds the allowed file size.","""%s"" overschrijdt de toegestane bestandsgrootte."
"""%s"" exceeds the allowed length.","""%s"" overschrijdt de toegestande lengte."
"""%s"" has not only alphabetic and digit characters.","""%s"" heeft niet alleen alfabetische en numerieke karakters."
"""%s"" has not only alphabetic characters.","""%s"" heeft niet alleen alfabetische karakters."
"""%s"" height exceeds allowed value of %s px.","""%s"" hoogte overschrijdt toegestane waarde van %s px."
"""%s"" invalid type entered.","""%s"" ongeldig type ingevoerd."
"""%s"" is a required value.","""%s"" is verplicht."
"""%s"" is an empty string.","""%s"" is een lege string."
"""%s"" is not a valid URL.","""%s"" is geen geldige URL."
"""%s"" is not a valid date.","""%s"" is geen geldige datum."
"""%s"" is not a valid email address.","""%s"" is geen geldig e-mailadres."
"""%s"" is not a valid file","""%s"" is geen geldig bestand"
"""%s"" is not a valid file extension.","""%s"" is geen geldige bestandsextentie."
"""%s"" is not a valid file.","""%s"" is geen geldig bestand."
"""%s"" is not a valid hostname.","""%s"" is geen geldige hostname."
"""%s"" is not a valid image format","""%s"" is geen geldig afbeelding-formaat"
"""%s"" length must be equal or greater than %s characters.","""%s"" lengte moet minimaal %s karakters zijn."
"""%s"" width exceeds allowed value of %s px.","""%s"" breedte overschrijd toegestande waarde van %s px."
"%s contains not only digit characters.","%s bevat niet alleen cijfers."
"%s does not fit the entered date format.","%s voldoet niet aan het ingestelde datumformaat."
"%s exceeds the allowed file size.","%s overschrijdt de toegestane bestandsgrootte."
"%s exceeds the allowed length.","%s overschrijdt de toegestane lengte."
"%s has not only alphabetic and digit characters.","%s bevat niet alleen letters en cijfers."
"%s has not only alphabetic characters.","%s bevat niet alleen letters."
"%s height exceeds allowed value of %s px.","De grote van %s overschrijdt het toegestane aantal van %s pixels."
"%s invalid type entered.","%s ongeldig type ingevoerd."
"%s is a required value.","%s is een vereiste waarde."
"%s is an empty string.","%s is een lege string."
"%s is not a valid URL.","%s is geen geldige URL."
"%s is not a valid date.","%s is geen geldige datum."
"%s is not a valid email address.","%s is geen geldig e-mailadres."
"%s is not a valid file","%s is geen geldig bestand"
"%s is not a valid file extension.","%s is geen geldig bestandsformaat."
"%s is not a valid file.","%s is geen geldig bestand."
"%s is not a valid hostname.","%s is geen geldige hostname."
"%s is not a valid image format","%s is geen geldig afbeeldingsformaat"
"%s length must be equal or greater than %s characters.","De lengte van %s moet gelijk zijn aan of groter dan %s tekens."
"%s width exceeds allowed value of %s px.","De breedte van %s overschrijdt het toegestane aantal van %s pixels."
"* Required Fields","* Verplichte velden"
"A new password has been sent.","Een nieuw wachtwoord is verzonden"
"A new password was sent","Er is een nieuw wachtwoord verzonden"
"ALL GROUPS","ALLE GROEPEN"
"Account Dashboard","Accountpagina"
"Account Information","Persoonlijke instellingen"
"Account Sharing Options","Opties account delen"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Dit account moet nog bevestigd worden. Controleer uw e-mail voor de bevestigingslink. Wilt u nogmaals de bevestigingslink ontvangen, <a href=""%s"">klik hier</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Accountbevestiging is vereist. Controleer uw e-mail voor de bevestiging. Om e-mail opnieuw te versturen <a href=""%s"">klik hier</a>."
"Account information was successfully saved","Accountgegevens zijn met succes opgeslagen"
"Action","Actie"
"Add New Address","Nieuw adres toevoegen"
"Add New Customer","Nieuwe klant toevoegen"
"Add New Customer Group","Nieuwe klantengroep toevoegen"
"Added From","Toegevoegd vanaf"
"Additional Address Entries","Extra Adressen"
"Address","Adres"
"Address Book","Adresboek"
"Address Books","Adresboek"
"Address Information","Adres Informatie"
"Address Templates","Adreslayout"
"Addresses","Adressen"
"Admin","Beheerder"
"All","Alle"
"All Store Views","Alle winkel-zichten"
"All countries","Alle landen"
"Always optional","Altijd Optioneel"
"Always optional.","Altijd optioneel"
"Amount","Bedrag"
"An error occurred while deleting the address.","Er is een fout opgetreden bij het verwijderen van het adres"
"An error occurred while retrieving the option value: %s.","An error occurred while retrieving the option value: %s."
"An error occurred while saving the collection, aborting. Error: %s","Er is een fout opgetreden bij het opslaan. Foutmelding: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"Approved","Goedgekeurd"
"Are you sure that you want to remove this item?","Weet u zeker dat u dit artikel wilt verwijderen?"
"Are you sure you want to cancel adding of this address?","Weet u zeker dat u het toevoegen van dit adres wilt annuleren?"
"Are you sure you want to delete this address?","Weet u zeker dat u dit adres wilt verwijderen?"
"Are you sure?","Weet u het zeker?"
"Array of Entity collections is expected","Array van 'Entity collections' wordt verwacht"
"Array of Entity collections is expected.","Array of Entity collections is expected."
"Assign a Customer Group","Klantengroep toewijzen"
"Attribute object is undefined","Attribuut object is niet opgegeven"
"Average Sale","Gemiddeld bedrag"
"Back","Terug"
"Back - link to the previously viewed page","Terug naar vorige pagina"
"Back to Login","Terug naar login venster"
"Bad request.","Foute aanvraag"
"Bill to Name","Stuur rekening op naam"
"Billing Information","Factuuradres"
"Bought From","Gekocht van"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door een account aan te maken in deze winkel kunt u het betalingsproces sneller doorlopen, meerdere verzendadressen opslaan, bestellingen bekijken en volgen en meer."
"CSV","CSV"
"Can't save address","Kan het adres niet opslaan"
"Can't save customer","Kan klant niet opslaan"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Kan accounts niet overal delen, omdat sommige accounts hetzelfde e-mailadres op verschillende websites gebruiken en niet samengevoegd kunnen worden."
"Cancel","Annuleren"
"Cannot save address.","Kan het adres niet opslaan"
"Cannot save the address.","Kan het adres niet opslaan"
"Cannot save the customer.","Kan de klant niet opslaan"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Kan geen accounts globaal delen. Sommige accounts zijn op meerdere websites aangemeld en kunnen niet samengevoegd worden."
"Change Account Password","Account wachtwoord wijzigen"
"Change Billing Address","Wijzigen"
"Change Password","Wachtwoord wijzigen"
"Change Shipping Address","Wijzigen"
"City","Plaats"
"Company","Bedrijf"
"Config","Configureer"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Confirm Password","Bevestig het wachtwoord"
"Confirmation Link Email","Bevestinglink e-mail"
"Confirmed","Bevestigd"
"Contact Information","Contactgegevens"
"Continue Shopping","Ga verder met winkelen"
"Country","Land"
"Create","Aanmaken"
"Create New Account Options","Nieuwe account-opties aanmaken"
"Create New Customer Account","Nieuw klant-account aanmaken"
"Create Order","Bestelling aanmaken"
"Create an Account","Account aanmaken"
"Create customer","Klant aanmaken"
"Create customer address","Klantadres aanmaken"
