"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Access denied to destination folder ""%s""","Geen toegang tot doelmap ""%s"""
"Access denied to destination folder ""%s"".","Geen toegang tot doelmap ""%s""."
"An error occurred while opening file: ""%s"".","Er is iets fout gegaan bij het openen van het bestand: ""%s""."
"Could not load file: ""%s""","Kan bestand ""%s"" niet laden"
"Could not load file: ""%s"".","Kan bestand ""%s"" niet laden"
"Declared adapter %s not found","Opgegeven adapter %s niet gevonden"
"Declared adapter %s was not found.","Opgegeven adapter %s niet gevonden"
"Destination folder ""%s"" does not exist or not access to create","Doelmap ""%s"" is geen directory of bestaat niet."
"Destination folder ""%s"" does not exist or there is no access to create it.","Doelmap ""%s"" is geen directory of bestaat niet."
"Destination folder ""%s"" does not exist or there is no access to create it.""","De map ""%s"" bestaat niet of het creeeren ervan is niet mogelijk"""
"Destination folder ""%s"" is not a directory","Doelmap ""%s"" is geen directory"
"Destination folder ""%s"" is not a directory.","Doelmap ""%s"" is geen directory"
"Destination folder ""%s"" is not a directory.""","De map ""%s"" is geen map"""
"Destination folder ""%s"" is not a writeable","Doelmap ""%s"" is niet schrijfbaar"
"Destination folder ""%s"" is not writable.","Doelmap ""%s"" is niet schrijfbaar"
"Destination folder ""%s"" is not writable.""","De map ""%s"" is niet schrijfbaar"""
"Done","Klaar"
"Dry run set, stopping execution","Dry run set, bezig uitvoering te stoppen"
"Dry run set, stopping execution.","Deze vertaling ontbreekt. Doe een suggestie"
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","Fout bij veldtoewijzing. Velden-lijst hiervoor is niet gedefinieerd"
"Error in field mapping: field list for mapping is not defined.","Fout in het koppelen van velden"
"Error occured during file opening: ""%s""","Fout opgetreden tijdens openen van bestand: ""%s"""
"File ""%s"" does not exist.","Bestand ""%s"" bestaat niet"
"File ""%s"" does not exist.""","Bestand ""%s"" bestaat niet"
"File ""%s"" don't exist","Bestand ""%s"" bestaat niet"
"Found %d rows","%d rijen gevonden"
"Found %d rows.","%d rijen gevonden"
"Less than a minute","Minder dan een minuut"
"Loaded successfully: ""%s""","Met succes geladen: ""%s"""
"Loaded successfully: ""%s"".","Met succes geladen: ""%s""."
"Loaded successfully: ""%s"".""","Succesvol geladen: %s"
"Memory Used: %s","Gebruikt geheugen: %s"
"Method ""%s"" not defined in adapter %s","Methode ""%s"" is niet gedefinieerd in adapter %s"
"Method ""%s"" not defined in adapter %s.","Methode ""%s"" is niet gedefinieerd in adapter %s."
"Method ""%s"" not defined in adapter %s.""","Methode ""%s"" is niet gedefinieerd in adapter ""%s"""
"Method ""%s"" was not defined in adapter %s.","Methode ""%s"" is niet gedefinieerd in adapter %s."
"Method ""%s"" was not defined in adapter %s.""","Methode ""%s"" is niet gedefinieerd in adapter ""%s"""
"Please declare ""adapter"" and ""method"" node first","Geef eeerst een ""adapter-"" en ""method-""knoop op"
"Please declare ""adapter"" and ""method"" nodes first.","Geef eerst een ""adapter-"" en ""method-""knop op"
"Please declare adapter"" and ""method"" nodes first.""","Defineer adapter"" en ""methode eerst"
"Processed records: %s","%s records verwerkt"
"Saved successfully: ""%s"" [%d byte(s)]","Met succes opgeslagen: %s [%d byte(s)]"
"Saved successfully: ""%s"" [%d byte(s)].","Met succes opgeslagen: %s [%d byte(s)]."
"Saved successfully: ""%s"" [%d byte(s)].""","Succesvol opgeslagen: ""%s"" [%d byte(s)]."""
"Sheet 1","Blad 1"
"Skip undefined row","Ongedefinieerde rij overslaan"
"Skip undefined row.","Deze rij overslaan"
"Starting %s :: %s","Beginnen met %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","De map ""%s"" bestaat niet of het creeeren ervan is onmogelijk."
"The destination folder ""%s"" does not exist or there is no access to create it.""","De map ""%s"" bestaat niet of het creeeren ervan is onmogelijk"""
"Total records: %s","Totaal-aantal records: %s"
"hour","uur"
"hours","uren"
"minute","minuut"
"minutes","minuten"
