"-- Please select --","-- Selecteer a.u.b. --"
"Allowed Currencies","Toegestane valuta"
"Base Currency","Basis-valuta"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Basis valuta wordt gebruikt voor alle online transacties. Zie ook Catalogus > Prijs > Catalogus Prijs Scope"
"Cannot retrieve rate from %s.","Kan geen waarde achterhalen van %s"
"Connection Timeout in Seconds","Connectie timeout in seconden"
"Continue &raquo;","Ga verder %raquo;"
"Country","Land"
"Country API",""
"Country and Format Type combination should be unique","Combinatie van land en formaattype moet uniek zijn"
"Currency","Valuta"
"Currency Options","Valuta-opties"
"Currency Setup","Valuta-instellingen"
"Currency Update Warnings","Waarschuwingen valuta-update"
"Default Display Currency","Standaard-weergave valuta"
"Directory","Map"
"Enabled","Ingeschakeld"
"Error Email Recipient","Fout e-mail ontvanger"
"Error Email Sender","Fout e-mail afzender"
"Error Email Template","Fout e-mail template"
"FATAL ERROR:","FATALE FOUT:"
"Frequency","Frequentie"
"Installed Currencies","Geinstalleerde valuta"
"Invalid Import Service specified.","Ongeldige Import Service gespecificeerd"
"Invalid country code: %s","Ongeldige landcode: %s"
"Invalid rates received","Ongeldige koersen ontvangen"
"Invalid target currency.","Ongeldig doelvaluta"
"List of countries","Landenlijst"
"List of regions in specified country","Lijst van regio's in bepaald land"
"Postal Code is Optional for the following countries","Postcode is optioneel voor de volgende landen"
"Region","Regio"
"Region API",""
"Scheduled Import Settings","Instellingen geplande import"
"Select Your Currency","Selecteer uw valuta"
"Service","Service"
"Start Time","Starttijd"
"State/Province","Provincie"
"Strikeiron Email Update Warnings","Meldingen van Strikeiron (adrescontrole USA)"
"Unable to initialize the import model.","Niet mogelijk om het import model te initialiseren"
"Undefined rate from ""%s-%s"".","Ongedefin&iuml;eerde koers van ""%s-%s""."
"WARNING:","WAARSCHUWING:"
"Webservicex","Webservicex instellingen"
"Your current currency is: %s","Uw huidige valuata is: %s"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (Catalog > Price > Catalog Price Scope).",""
"Country Api","Land-API"
"Region Api","Regio-API"
"Undefined rate from %s-%s.","Ongeldige waarde voor %s-%s"
