"A joint field with this alias (%s) is already declared.","Er is al een gezamenlijk veld met deze alias (%s) aangegeven."
"Add Option","Voeg optie toe"
"An error occurred while loading a record, aborting. Error: %s","Er deed zich een fout voor tijdens het laden van een record, waardoor de bewerking werd afgebroken.
Fout: %s"
"An error occurred while loading the collection, aborting. Error: %s","Er deed zich een fout voor tijdens het laden van de collectie, waardoor de bewerking werd afgebroken. Fout: %s"
"An error occurred while saving a record, aborting. Error:","Er deed zich een fout voor tijdens het opslaan van een record, waardoor de bewerking werd afgebroken. Fout:"
"Attempt to add an invalid object","Poging om een ongeldig object toe te voegen"
"Attempt to add an invalid object.","Poging om een ongeldig object toe te voegen."
"Attribute '%s' used in configurable products.","Attribuut ‘%s’ gebruikt in configureerbare producten."
"Attribute Code","Attribuutcode"
"Attribute Label","Attribuutlabel"
"Attribute Properties","Attribuuteigenschappen"
"Attribute set with the %s name already exists.","Er bestaat al een attribuutset met de naam %s."
"Attribute set with the %s"" name already exists","Attribuutset met de naam %s"" bestaat al"
"Attribute set with the %s"" name already exists.","Attribuutset met de naam %s"" bestaat al."
"Attribute used in configurable products.","Attribuut gebruikt in configureerbare producten."
"Attribute with the same code","Attribuut met dezelfde code"
"Catalog Input Type for Store Owner","Catalogus invoertype voor winkeleigenaar"
"Data integrity: No header row found for attribute","Data-integriteit: Geen header-rij gevonden voor attribuut"
"Data integrity: No header row found for attribute.","Data-integriteit: Geen header-rij gevonden voor attribuut."
"Date","Datum"
"Decimal Number","Decimaal Nummer"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Default Product Listing Sort by not exists on Available Product Listing Sort by
Standaard ´Sorteren op´ in Productlijst bestaat niet in Beschikbare Productlijst Sortering"
"Default Value","Standaard waarde"
"Default option value is not defined","Waarde van standaard-optie is niet gedefinieerd"
"Default option value is not defined.","Waarde van standaard-optie is niet gedefinieerd."
"Delete","Verwijderen"
"Dropdown","Dropdown"
"EAV types and attributes","EAV types en attributen"
"Email","Email"
"Entity collection expected","Entiteitencollectie verwacht"
"Entity collection expected.","Entiteitencollectie verwacht."
"Entity collections expected","Entiteitencollectie verwacht"
"Entity collections expected.","Entiteitencollectie verwacht."
"Entity is not initialized","Entiteit is niet geïnitialiseerd"
"Entity is not initialized.","Entiteit is niet geïnitialiseerd"
"Failed to load node %s from config.","Het is niet gelukt om node %s te laden van config."
"For internal use. Must be unique with no spaces","Voor intern gebruik. Dient uniek en zonder spaties te zijn"
"Form Element with the same attribute","Form-element met dezelfde attribuut"
"Form Fieldset with the same code","Form-Fieldset met dezelfde code"
"Form Type with the same code","Form-type met dezelfde code"
"Frontend label is not defined","Frontend-label is niet gedefinieerd"
"Frontend label is not defined.","Frontend-label is niet gedefinieerd."
"Input Validation for Store Owner","Invoervalidatie voor winkeleigenaar"
"Integer Number","Integer nummer"
"Invalid EAV attribute.","Ongeldigde EAV-attribuut."
