"* Required Fields","* Verplichte velden"
"Add","Toevoegen"
"Add Gift Message","Bericht aan kado toevoegen"
"Allow Gift Messages for Order Items","Kadoberichten toestaan bij bestelde artikelen"
"Allow Gift Messages on Order Level","Kadoberichten toestaan bij hele bestelling"
"An error occurred while saving the gift message.","Er is een fout opgetreden bij het opslaan van het kadobericht."
"Are you sure?","Weet u het zeker?"
"Cancel","Annuleren"
"Check this checkbox if you want to add gift messages to your items.","Vink deze checkbox aan als u een kadoberichten wilt toevoegen aan uw artikelen"
"Check this checkbox if you want to add gift messages.","Vink deze checkbox aan als u kadoberichten wilt toevoegen"
"Close","Sluiten"
"Do you have any gift items in your order?","Zitten er kado's bij uw bestelling?"
"Edit","Wijzigen"
"Edit Gift Message","Kadobericht bewerken"
"Enter a gift message for each item in your order.","Voer een kadobericht in voor elk artikel in uw bestelling."
"Enter a gift message for entire order.","Voer een kadobericht in voor gehele bestelling"
"Enter a gift message for this address.","Voer een kadobericht in voor dit adres"
"Error while saving gift message","Fout tijdens opslaan van dit kadobericht"
"From","Van"
"Gift Message","Bericht bij kado"
"Gift Messages","Kadoberichten"
"Gift Options","Kado opties"
"Gift message has been successfully saved","Kadobericht is opgeslagen"
"Item %d of %d","Artikel %d van %d"
"Message","Bericht"
"No","Nee"
"Remove","Verwijderen"
"Save","Opslaan"
"Save Gift Message","Kadobericht opslaan"
"The gift message has been removed","Het kadobericht is verwijderd."
"The gift message has been saved","Het kadobericht is opgeslagen."
"The gift message has been saved.","Het kadobericht is opgeslagen."
"To","Aan"
"Unknown entity type","Onbekend entiteittype"
"Use config","Gebruik config"
"Yes","Ja"
"You can leave a box blank if you don't wish to add a gift message for the item.","U kunt het veld leeg laten als u geen kadobericht wilt toevoegen aan het artikel."
"You can leave a box blank if you don't wish to add a gift message for this address.","U kunt het veld leeg laten als u geen kadobericht wilt toevoegen voor dit adres."
"You can leave a box blank if you don't wish to add a gift message for whole order.","U kunt het veld leeg laten als u geen kadobericht wilt toevoegen aan deze order."
"You can leave this box blank if you do not wish to add a gift message for the item.","U kunt het veld leeg laten als u geen kadobericht wilt toevoegen aan het artikel."
"You can leave this box blank if you do not wish to add a gift message for this address.","U kunt het veld leeg laten als u geen kadobericht wilt toevoegen voor dit adres."
"You can leave this box blank if you do not wish to add a gift message for whole order.","U kunt het veld leeg laten als u geen kadobericht wilt toevoegen aan deze order."
"Your gift message has been successfully removed","Uw kadobericht is verwijderd."
"Your gift message has been successfully saved","Uw kadobericht is opgeslagen."
"Your gift message successfully removed","Uw kadobericht is verwijderd."
"Your gift message successfully saved","Uw kadobericht is opgeslagen."
