"* Select shipping method","*Selecteer een verzendmethode"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Waarschuwing!</strong> Deze optie schakelt de verzendkostenberekening van de verzender uit."
"<strong style=color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option","Google API ignores any attempt to affect shipping prices."
"<strong style=color:red>Warning!</strong> This option disables the merchant calculated shipping. With this option","<strong style=color:red"">Warning!</strong> Deze optie zorgt voor deactivering van uw verzendkosten."
"A virtual item to reflect the discount total","Een virtueel item voor uw korting"
"A virtual item to reflect the tax total","Een virtueel item voor uw belasting"
"AVS Status: %s","AVS Status: %s"
"Account Number","Accountnummer"
"Add","Toevoegen"
"Add Shipping Method","Voeg verzendmethode toe"
"Allowed Methods","Toegestane methoden"
"Amount: %s","Bedrag: %s"
"Auto-generated from GoogleCheckout Charge","Automatisch van GoogleCheckout Charge"
"Buyer Account Age: %s days","Leeftijd gebruiker: %s dagen"
"CC Partial: xxxx-%s","CC Gedeeltelijk: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Tranporteur berekende methodes"
"Cart Discount","Winkelwagen korting"
"Checkout Image Style","Kassa afbeeldingsstijl"
"Continue Shopping URL","Winkel verder URL"
"Credit memo has been created automatically","Creditfactuur is automatisch aangemaakt"
"Debug","Debuggen"
"Default Package Height (in)","Standaard Pakkethoogte"
"Default Package Length (in)","Standaard Pakketlengte"
"Default Package Width (in)","Standaard Pakketbreedte"
"Default Price for Methods","Standaardprijs voor methode"
"Default price:","Standaardprijs:"
"Delivery Address Category","Afleveradres categorie"
"Delivery Schedule","Aflevering schema"
"Disable Default Tax Tables","Deactiveer de standaard BTW tabellen"
"Discount Tax","BTW korting"
"Eligible for Protection: %s","In aanmerking voor bescherming: %s"
"Email delivery","Per e-mail"
"Enable","Inschakelen"
"Enable Carrier Calculated","Activeer transporteur berekening"
"Enable Digital Delivery","Digitaal afleveren activeren"
"Enable Flat Rate","Activeer plat tarief"
"Enable Merchant Calculated","Activeer eigen berekening"
"Enable this if your checkout request is too big and being cut off.","Activeer dit als de kassa aanvraag te groot is en afgekapt wordt."
"Expiration: %s","Vervaldatum: %s"
"Financial: %s -> %s","Financieel: %s -> %s"
"Free Shipping","Gratis verzending"
"Fulfillment: %s -> %s","Vervulling: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Autorisatie:"
"Google Buyer ID: %s","Google Klant Id: %s"
"Google Charge:","Google kosten"
"Google Chargeback:","Google Chargeback:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Verzenden - Transporteur Berekend"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digitale aflevering"
"Google Checkout Shipping - Flat Rate","Google Checkout Verzenden - Plat tarief"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Verzenden - Eigen Berekening"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google bestelnummer: %s"
"Google Order Status Change:","Google bestelstatus verandering:"
"Google Refund:","Google creditering:"
"Google Risk Information:","Google Risico Informatie:"
"Hide Cart Contents","Verberg inhoud winkelwagen"
"Hide Cart Contents During Checkout","Verberg de winkelwagen inhoud tijdens de kassa"
"IP Address: %s","IP Adres: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Indien geactiveerd, zal de inhoud van de winkelwagen niet getoond worden."
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if Edit Cart link was activated.","Wanneer geactiveerd, worden de artikelen in de winkelwagent verborgen nadat er op de Google Checkout knop is gedrukt, en komen weer tevoorschijn wanneer op Wijzig winkelwagen wordt geclickt"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if Edit Cart"" link was activated.","Wanneer geactiveerd, worden de artikelen in de winkelwagent verborgen nadat er op de Google Checkout knop is gedrukt, en komen weer tevoorschijn wanneer op Wijzig winkelwagen"" wordt geclickt"
"Invoice Auto-Created: %s","Factuur automatisch aangemaakt: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Gebruiker wenst marketing e-mails te ontvangen: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Wil de klant marketing e-mails ontvangen: %s"
"Large - %s","Groot - %s"
"Latest Charge: %s","Laatste betaling: %s"
"Latest Chargeback: %s","Latest Chargeback: %s"
"Latest Refund: %s","Laatste creditfactuur: %s"
"Location","Locatie"
"Medium - %s","Medium - %s"
"Merchant ID","Merchant-ID"
"Merchant Key","Merchant Key"
"Method","Methode"
"New Order Status","Status nieuwe bestelling"
"No","Nee"
"Optimistic","Optimistisch model"
"Optional, leave empty for home page.","Optioneel, leeg laten voor homepage"
"Pessimistic","Pessimistisch model"
"Rate 1 Amount","Bedrag Tarief 1"
"Rate 1 Ship To Applicable Countries","Tarief 1 Verzend naar geactiveerde landen"
"Rate 1 Ship to Specific Countries","Tarief 1 Verzend naar specifieke landen"
"Rate 1 Title","Titel Tarief 1"
"Rate 2 Amount","Bedrag Tarief 2"
"Rate 2 Ship To Applicable Countries","Tarief 2 Verzend naar geactiveerde landen"
"Rate 2 Ship to Specific Countries","Tarief 2 Verzend naar specifieke landen"
"Rate 2 Title","Titel Tarief 2"
"Rate 3 Amount","Bedrag Tarief 3"
"Rate 3 Ship To Applicable Countries","Tarief 3 Verzend naar geactiveerde landen"
"Rate 3 Ship to Specific Countries","Tarief 3 Verzend naar specifieke landen"
"Rate 3 Title","Titel Tarief 3"
"Remove","Verwijderen"
"Required for live Google Checkout transactions.","Verzocht voor live Google Checkout transacties."
"Sandbox","Sandbox"
"Secure Callback URL","Beveiligde Callback URL"
"Small - %s","Klein - %s"
"Title","Title"
"Total Chargeback: %s","Total Chargeback: %s"
"Total Charged: %s","Totaal berekend: %s"
"Total Refunded: %s","Total gecrediteerd: %s"
"Transparent","Transparant"
"United Kingdom","Verenigd Koninkrijk"
"United States","Verenigde Staten"
"Virtual item to reflect discount total","Virtueel artikel om het kortingstotaal door te geven"
"White Background","Witte achtergrond"
"Yes","Ja"
"You will be redirected to GoogleCheckout in a few seconds.","U wordt binnen enkele seconden doorverwezen naar Google Checkout"
