"<!-- This tag is for unsubscribe link  --> Follow this link to unsubscribe <a href={{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Volg deze link om u uit te schrijven {{var subscriber.getUnsubscriptionLink()}}"
"Action","Actie"
"Add New Template","Nieuwe sjabloon toevoegen"
"Add to Queue","Aan wachtrij toevoegen"
"Allow Guest Subscription","Inschrijven voor gasten toestaan"
"An error occurred while saving your subscription.","Er heeft zich een fout voorgedaan bij het opslaan van uw inschrijving"
"Are you sure that you want to delete this template?","Weet u zeker dat u deze sjabloon wilt verwijderen?"
"Are you sure that you want to strip all tags?","Weet u zeker dat u alle tags wilt ontkoppelen?"
"Back","Terug"
"Cancel","Annuleren"
"Cancelled","Geannuleerd"
"Cannot delete subscriber","Kan abonnee niet verwijderen"
"Cannot delete template","Kan sjabloon niet verwijderen"
"Cannot mark as received subscriber","Kan niet markeren als een ontvangen abonnee"
"Cannot mark as received subscriber.","Onbevestigde abonnee"
"Cannot save your subscription: %s","Kan uw abonnement niet opslaan: %s"
"Confirmation Email Sender","Bevestiging e-mail afzender"
"Confirmation Email Template","Bevestiging e-mail sjabloon"
"Confirmation request has been sent","Verzoek om bevestiging is verzonden"
"Confirmation request has been sent.","Verzoek tot bevestiging is verstuurd"
"Convert to Plain Text","Omzetten naar platte tekst"
"Copy","Kopieer"
"Create Newsletter Template","Nieuwsbrief-sjabloon aanmaken"
"Customer","Klant"
"Customer First Name","Voornaam klant"
"Customer Firstname","Voornaam klant"
"Customer Last Name","Achternaam klant"
"Customer Lastname","Achternaam klant"
"Customer My Account Newsletter Subscriptions","Klant > Mijn account > Nieuwsbrief inschrijvingen"
"Date Added","Datum toegevoegd"
"Date Updated","Datum bijgewerkt"
"Delete","Verwijderd"
"Delete Selected Problems","Geselecteerde problemen verwijderen"
"Delete Template","Template verwijderen"
"Do you really want to cancel the queue?","Weet u zeker dat u deze wachtrrij wilt annuleren?"
"Duplicate of template code","Duplicaat van sjabloon-code"
"Duplicate template code.","Dubbele sjabloon code"
"Edit Newsletter","Nieuwsbrief bewerken"
"Edit Newsletter Template","Nieuwsbrief-sjabloon bewerken"
"Edit Queue","Wachtrij bewerken"
"Edit Template","Template bewerken"
"Email","E-mail"
"Enter your email address","Voer uw e-mailadres in"
"Error Code","Foutcode"
"Error Text","Fouttekst"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href={{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Volg deze link om u uit te schrijven <!-- Deze link is om uit te schrijven  --><a href={{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href={{var subscriber.getUnsubscriptionLink()}}>{{var subscriber.getUnsubscriptionLink()}}</a>","Volg deze link om u uit te schrijven <!-- Deze link is om uit te schrijven  --><a href={{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Form was filled incorrectly","Formulier is onjuist ingevuld"
"Guest","Gast"
"ID","ID"
"Invalid queue selected","Ongeldige wachtrij geselecteerd"
"Invalid queue selected.","Ongeldige wachtrij geselecteerd"
"Invalid subscriber ID","Ongeldig abonnee-ID"
"Invalid subscription ID","Ongeldig abonnement-ID"
"Invalid subscription ID.","Incorrect bevestigings ID"
"Invalid subscription confirmation code","Ongeldige bevestigingscode abonnement"
"Invalid subscription confirmation code.","Deze bevestigingscode is incorrect."
"Message","Bericht"
"Need to Confirm","Moet bevestigen"
"New Newsletter Template","Nieuwe nieuwsbrief-sjabloon"
