"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' is te lang. Het moet een lengte van %min% symbolen hebben."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' is te kort. Het moet een lengte van %min% symbolen hebben."
"<strong>%s</strong> request access to your account","<strong>%s</strong> vraagt toegang tot uw account."
"Admin","Admin"
"After authorization application will have access to you account.","Na authorisatie zal de applicatie toegang hebben tot uw account."
"An error occurred on confirm authorize.","Er is een fout opgetreden bij het bevestigen van authorisatie."
"An error occurred on delete action.","Er is een fout opgetreden bij de verwijder-actie"
"An error occurred on delete application.","Er is een fout opgetreden bij het verwijderen van de applicatie"
"An error occurred on reject authorize.","Er is een fout opgetreden bij het afwijzen van authorisatie."
"An error occurred on saving consumer data.","Er is een fout opgetreden bij het opslaan van klantinformatie"
"An error occurred on update revoke status.","Er is een fout opgetreden bij het bijwerken intrekken status."
"An error occurred while deleting the consumer.","Er is een fout opgetreden bij het verwijderen van de klant"
"An error occurred.","Er is een fout opgetreden"
"An error occurred. Your authorization request is invalid.","Er is een fout opgetreden: Uw authorisatieaanvraag is ongeldig."
"App Name","Applicatienaam"
"Application ""%s"" has been deleted.","Applicatie ""%s"" is verwijderd."
"Application ""%s"" has been enabled.","Applicatie ""%s"" is ingeschakeld."
"Application ""%s"" has been revoked.","Applicatie ""%s"" is terug getrokken."
"Application Name","Applicatienaam"
"Application not found.","Applicatie neit gevonden"
"Are you sure you want to delete this application?","Weet u zeker dat u deze applicatie wilt verwijderen?"
"Are you sure you want to disable this application?","Weet u zeker dat u deze applicatie wilt uitschakelen?"
"Are you sure you want to enable this application?","Weet u zeker dat u deze applicatie wilt inschakelen?"
"Authorization confirmed.","Authorisatie bevestigd"
"Authorize","Authoriseer"
"Authorize application","Authoriseer applicatie"
"Authorized Tokens","Geauthoriseerde-tokens"
"Callback URL","Callback-URL"
"Cleanup Probability","Opruim-waarschijlijkheid"
"Cleanup Settings","Opruim-instellingen"
"Confirm OAuth token authorization","Bevesig OAuth-token-authorisatie"
"Confirm token authorization Pop Up for admin","Bevestig token-authorisatie-pop-up voor administrator"
"Confirm token authorization for admin","Bevestig token-authorisatie"
"Confirmation Of Authorization","Bevestiging van authorisatie"
"Consumer Information","Klantinformatie"
"Consumer Name","Klantnaam"
"Consumers","Klanten"
"Created At","Gemaakt op"
"Customer","Klanten"
"Customer My Account My OAuth Applications","Klant Mijn Account Mijn OAuth Applicaties"
"Delete","Verwijder"
"Disable","Uitschakelen"
"Disabled","Uitgeschakeld"
"Edit","Wijzig"
"Edit Consumer","Wijzig klant"
"Email","E-mail"
"Email Address","E-mail Adres"
"Enable","Inschakelen"
"Enabled","Ingeschakeld"
"Entry with ID #%s not found.","Entry with ID #%s is niet gevonden."
"Expiration Period","Verloop-periode"
"Give the verifier code to application administrator","Geef de verificatiec-code aan de applicatie-beheerder"
"ID","ID"
"Invalid Callback URL","Ongeldige Callback-URL"
"Invalid ID parameter.","Ongeldige ID-parameter"
"Invalid Rejected Callback URL","Ongeldige afgewezen-Callback-URL"
"Invalid entry ID.","Ongeldig Entry ID"
"Invalid revoke status.","Ongeldige terugtrek-status"
"Key","Key"
"Log in as a customer","Log in als klant"
"Log in as admin","Log in als admin"
"Log in as customer","Log in als klant"
"Log in to use <strong>%s</strong>","Login in om <strong>%s</strong> te gebruiken"
"Login","Log in"
"My Applications","Mijn applicaties"
"Name","Naam"
"New Consumer","Nieuwe klant"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth beheer mijn applicaties"
"OAuth Authorized Tokens","OAuth geauthoriseerde tokens"
"OAuth Consumers","OAuth klanten"
"OAuth authorization for admin","OAuth authorisatie voor admin"
"OAuth authorization for customer","OAuth authorisatie voor klanten"
"OAuth authorization simple for admin","OAuth eenvougige authorisatie voor admin"
"Password","Wachwoord"
"Permissions","Rechten"
"Please select needed row(s).","Selecteer benodigede rij(en)"
"Please select revoke status.","Selecteer terugtrek-status"
"REST - My Apps","REST - Mijn applicaties"
"REST - OAuth Authorized Tokens","REST - OAuth geauthoriseerde tokens"
"REST - OAuth Consumers","REST - OAuth klanten"
"Reject","Wijs af"
"Reject OAuth token authorization","Wijs OAuth token authorisatie af."
"Reject authorization","Wijs authorisatie af"
"Reject token authorization Pop Up for admin","Wijs token authorisatie af Pop Up voor admin"
"Reject token authorization for admin","Wijs token authorisatie voor admin af"
"Rejected Callback URL","Afwijzing Callback URL"
"Revoked","Ingetrokken"
"Role Name","Rolnaam"
"Save","Sla op"
"Save and Continue Edit","Sla op en verder bewerken"
"Secret","Secret"
"Selected entries enabled.","Geselecteerde records ingeschakeld"
"Selected entries has been deleted.","Geselecteerde records zijn verwijderd"
"Selected entries revoked.","Geselecteerde records zijn ingetrokken"
"Status","Status"
"System","Systeem"
"The application access request is rejected.","De applicatieaanvraag is afgewezen."
"The consumer has been deleted.","De klant is verwijderd"
"The consumer has been saved.","De klant is opgeslagen"
"Token Status Change","Token-status verandering"
"Token Status Change Email Template","Token-status verandering email-template"
"Unable to find a consumer.","Niet mogelijk om klant te vinden."
"User ID","Gebruiker-ID"
"User Name","Gebruiker-naam"
"User Type","Gebruiker-type"
"Verifier code: %s","Verifieer code: %s"
"You have no applications.","U heeft geen applicaties"
"deleted","verwijderd"
"enabled","ingeschakeld"
"revoked","ingetrokkne"
