"%s %s cycle.","%s %s patroon"
"--Please Select--","--Selecteer a.u.b.--"
"3D Secure Card Validation","3D Secure Card Validatie"
"3D Secure Credit Card Validation","3D Secure Credit Card Validatie"
"<label>Make Check payable to:</label> %s","<label>Schrijf overboeking uit aan:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Schrijf overboeking uit aan:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"Allow Initial Fee Failure","Allow Initial Fee Failure"
"An internal reference ID is required to save the payment profile.","An internal reference ID is required to save the payment profile."
"Auto Bill on Next Cycle","Automatisch factureren de volgende keer"
"Automatically Invoice All Items","Factureer items automatisch"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Factureer automatisch de volgende keer indien de betaling mislukt is."
"Billing Agreement status is not set.","Billing Agreement status is not set."
"Billing Amount","Facturatiewaarde"
"Billing Frequency","Facturatie freqentie"
"Billing Period","Facturatie periode"
"Billing Period Unit","Facturatie periode"
"Billing period unit is not defined or wrong.","Facturatie periode is niet opgegeven"
"Can not configuration for payment method with code: %s","Kan configuratie van betaalmethode met code %s niet ophalen"
"Can not retrieve payment info model object.","Kan betaalgegevens van model object"" niet ophalen."
"Can not retrieve payment method instance","Kan instance van betaalmethode niet ophalen"
"Can not retrieve payment method model object.","Kan modelobject betaalmethode niet ophalen"
"Cannot load configuration for payment method %s","Kan configuratie voor betaalmethode %s niet laden."
"Cannot retrieve payment method instance.","Kan instance van betaalmethode niet ophalen"
"Cannot retrieve the payment info model object.","Kan modelobject betaalmethode niet ophalen"
"Cannot retrieve the payment method model object.","Kan modelobject betaalmethode niet ophalen"
"Card Verification Number","Verificatienummer"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Betaling door middel van Overboeking"
"Credit Card Number","Creditcard nummer"
"Credit Card Number: %s","Creditcard-nummer: %s"
"Credit Card Type","Creditcard maatschappij"
"Credit Card Type: %s","Creditcard-type: %s"
"Credit Card Types","Creditcard Type"
"Credit Card Verification","Creditcard Verficatie"
"Currency","Valuta"
"Currency code is undefined.","Valutacode is niet opgegeven"
"Customer ID is not set.","Klantnummer is niet opgegeven."
"Day","Dag"
"Debug Mode","Debug modus"
"Enabled","Ingeschakeld"
"Expiration Date","Vervaldatum"
"Expiration Date: %s/%s","Vervaldatum: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Full name of the person receiving the product or service paid for by the recurring payment."
"Initial Fee","Aanbetaling"
"Initial non-recurring payment amount due immediately upon profile creation.","Initial non-recurring payment amount due immediately upon profile creation."
"Internal Reference ID","Internal Reference ID"
"Issue Number","Uitgiftenummer"
"Make Check Payable to","Maak overboeking naar:"
"Make Check payable to:","Maak overboeking naar:"
"Make Check payable to: %s","Maak overboeking naar: %s"
"Maximum Billing Cycles","Maximum Billing Cycles"
"Maximum Order Total","Maximale bestelwaarde"
"Maximum Payment Failures","Maximum Payment Failures"
"Maximum Trial Billing Cycles","Maximum Trial Billing Cycles"
"Merchant Id","Merchant Id"
"Minimum Order Total","Minimale bestelwaarde"
"Month","Maand"
"N/A","N/A"
"Name on Card","Naam op kaart"
"Name on the Card","Naam op de kaart"
"Name on the Card: %s","Naam op de kaart: %s"
"New Order Status","Status nieuwe bestelling"
"Number of billing periods that make up one billing cycle.","Number of billing periods that make up one billing cycle."
"Overrides API URL that may be specified by a payment method.","Overruled API URL die wellicht al is opgegeven bij het instellen van de betaalmethode."
"Password","Wachtwoord"
"Payment ID: %s","Payment ID: %s"
"Payment Method","Betaalmethode"
"Payment Methods","Betaalmethodes"
