"""Remember Me"" Default Value","""Onthoud mij"" Standaardwaarde"
"(Not %s?)",""
"* Required Fields",""
"Address",""
"Address Information",""
"Already registered?",""
"Back",""
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.",""
"Cannot load configuration from file %s.",""
"Checkout as Guest",""
"Checkout as a Guest or Register",""
"City",""
"Clear Persistence on Log Out","Winkelmand volgen uitschakelen bij uitloggen"
"Close",""
"Company",""
"Confirm Password",""
"Continue",""
"Country",""
"Create an Account",""
"Easy access to your order history and status",""
"Email Address",""
"Enable ""Remember Me""","Activeer ""Onthoud mij"""
"Enable Persistence","Activeer het volgen van het winkelmandje"
"Fast and easy check out",""
"Fax",""
"Forgot Your Password?",""
"Forgot your password?",""
"General Options",""
"If you have an account with us, please log in.",""
"Loading next step...",""
"Login",""
"Login Information",""
"Login or Create an Account",""
"New Customers",""
"Password",""
"Persist Shopping Cart","Winkelmand volgen"
"Persistence Lifetime (seconds)","Levensduur in seconden"
"Persistent Shopping Cart","Winkelmand volgen"
"Personal Information",""
"Please log in below:",""
"Please select region, state or province",""
"Register",""
"Register and save time!",""
"Register to Create an Account",""
"Register with us for future convenience:",""
"Registered Customers",""
"Remember Me",""
"Save in address book",""
"Select State/Province...",""
"Select a billing address from your address book or enter a new address.",""
"Ship to different address",""
"Ship to this address",""
"Sign Up for Newsletter",""
"State/Province",""
"Street Address","Adres"
"Street Address %s",""
"Submit",""
"Telephone",""
"Welcome, %s!",""
"What\'s this?",""
"Zip/Postal Code",""
