"Abandoned Carts","Achtergelaten winkelwagens"
"Abandoned carts","Achtergelaten winkelwagens"
"Action","Actie"
"Add to Cart","In winkelwagen"
"Add to Compare","Toon in vergelijking"
"Add to Wishlist","Zet op verlanglijst"
"Any","Elke"
"Applied Coupon","Gebruikte kortingsbon"
"Applies to Any of the Specified Order Statuses","Van toepassing voor alle order statussen"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Weet je het zeker? Dit kan gevolgen hebben voor de systeem snelheid."
"Are you sure?","Weet je het zeker?"
"Avg. Approved Rating","Gemiddelde erkende score"
"Avg. Rating","Gemiddelde score"
"Bestsellers","Meest verkocht"
"Bought from wishlists","Gekocht van verlanglijst"
"CSV","CSV"
"Carrier/Method","Vervoerder/methode"
"Carts","Winkelwagens"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Coupons","Kortingsbonnen"
"Coupons Usage Report","Coupons Usage Report"
"Created At","Aangemaakt op"
"Current Month Starts","Huidige maand start"
"Customer","Klant"
"Customer Name","Klantnaam"
"Customer Tags","Labels van klant"
"Customers","Klanten"
"Customers Report","Klantenrapport"
"Customers Reviews","Klanten-reviews"
"Customers Tags","Labels van klanten"
"Customers by Number of Orders","Klanten o.b.v. bestellingen"
"Customers by Orders Total","Klanten o.b.v. orderwaarde"
"Customers by number of orders","Customers by number of orders"
"Customers by orders total","Customers by orders total"
"Customers that have wishlist: %s%","Klanten met een verlanglijst: %s%"
"Dashboard","Dashboard"
"Day","Dag"
"Default Recently Compared Products Count","Standaard-aantal onlangs vergeleken producten"
"Default Recently Viewed Products Count","Standaard-aantal onlangs bekeken producten"
"Description","Omschrijving"
"Detail","Detail"
"Discounts","Kortingen"
"Downloads","Downloads"
"Email","E-mail"
"Empty Rows","Toon lege regels"
"Excel","Excel"
"Filter","Filteren"
"First Name","Voornaam"
"From","Van"
"Guest","Gast"
"Hits","Hits"
"ID","ID"
"IP Address","IP-adres"
"Index model name must be defined","Index modelnaam moet opgegeven worden"
"Invalid date specified","Ongeldige datum ingevoerd"
"Invalid date specified.","Ongeldige datum opgegeven"
"Invoiced","Gefactureerd"
"Items Ordered","Bestelde artikelen"
"Items in Cart","Artikelen in winkelwagen"
"Last Name","Achternaam"
"Last Review","Laatste beoordeling"
"Link","Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Overzicht van producten die recentelijk door bezoekers op de vergelijkingslijst zijn gezet."
"List of Products Recently Viewed by Visitor","Overzicht van producten die recentelijk door bezoekers bekeken zijn."
"Low Stock","Lage voorraad"
"Low stock","Lage voorraad"
"Match Period To","Toon overzicht o.b.v"
"Month","Maand"
"Most Viewed","Meest bekeken"
"Name","Naam"
"New Accounts","Nieuwe accounts:"
"No","Nee"
"No records found for this period.","Geen records gevonden voor deze periode"
"Number Added","Aantal toegevoegd"
"Number Fulfilled","Aantal voldaan"
"Number Of Historical Uses","Aantal keren gebruikt in historie"
"Number Of Reviews","Aantal reviews"
"Number Of Uses","Aantal keren gebruikt"
"Number Purchased","Aantal gekocht"
"Number Viewed","Aantal bekeken"
"Number of Items","Aantal artikelen"
"Number of Ivoiced Orders","Aantal gefactureerde bestellingen"
"Number of New Accounts","Aantal nieuwe accounts"
"Number of Orders","Aantal bestellingen"
"Number of Products to display","Aantal producten tonen"
"Number of Refunded Orders","Aantal terugbetaalde bestellingen"
"Number of Reviews","Number of Reviews"
"Number of Times Deleted","Aantal keren verwijderd"
"Number of Total Tags","Totaal aantal labels"
"Number of Unique Tags","Aantal unieke labels"
"Number of Views","Aantal keren bekeken"
"Number of items bought from a wishlist: %s","Aantal artikelen gekocht van een verlanglijst: %s"
"Number of times wishlists have been shared (emailed): %s","Aantal keren dat verlanglijsten zijn gedeeld (per e-mail): %s"
"Number of wishlist conversions: %s","Aantal conversies van verlanglijsten: %s"
"Number of wishlist referrals: %s","Aantal verwijzingen in verlanglijsten: %s"
"Number of wishlists: %s","Aantal verlanglijsten: %s"
"Offline Refunded","Offline terugbetaald"
"Online Refunded","Online terugbetaald"
"Order Status","Bestelstatus"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Orders","Bestellingen"
"Out of stock","Niet in voorraad"
"Period","Periode"
"Poducts Report","Productenrapport"
"Popular Tags","Populaire labels"
"Popularity","Populariteit"
"Price","Prijs"
"Product Name","Productnaam"
"Product Reviews","Product-reviews"
"Product SKU","Artikelnummer"
"Product Tags","Eigen labels"
"Products","Producten"
"Products Ordered","Producten besteld"
"Products Report","Productenrapport"
"Products Reviews","Reviews"
"Products Tags","Product-labels"
"Products in carts","Producten in winkelwagens"
"Purchases","Aankopen"
"Quantity Ordered","Aantal besteld"
"Quantity of Items","Aantal artikelen"
"Rate","Tarief"
"Recently Compared","Recentelijk vergelijken"
"Recently Compared Products","Recent vergeleken producten"
"Recently Viewed","Recentelijk bekeken"
"Recently Viewed Products","Recent bekeken"
"Recently Viewed/Compared Products","Recent bekeken/vergeleken producten"
"Refresh Lifetime Statistics","Vernieuw Statistieken complete historie"
"Refresh Statistics","Vernieuw Statistieken"
"Refresh Statistics for the Last Day","Vernieuw Statistieken van vandaag"
"Refunded","Terugbetaald"
"Refunds","Terugbetaald"
"Report","Rapport"
"Reports","Rapporten"
"Results","Resultaten"
"Revenue","Inkomsten"
"Review","Beoordelen"
"Reviews","Beoordelen"
"Reviews for %s","Reviews voor %s"
"Sales","Verkopen"
"Sales Report","Verkooprapport"
"Search Query","Zoekterm"
"Search Terms","Zoektermen"
"Select day of the month.","Selecteer dag van de maand"
"Shipping","Verzending"
"Shopping Cart","Winkelwagen"
"Show Actual Values","Toon actuele waardes"
"Show Report","Toon rapport"
"Show for Current","Tonen voor huidige"
"Specified","Gespecificeerd"
"Statistics","Statistieken"
"Stock Qty","Aantal in voorraad"
"Submitted In","Verzonden in"
"Submitted On","Verzonden op"
"Subtotal","Subtotaal"
"Tag","Label"
"Tag ""%s"" details","Label ""%s"" details"
"Tag Detail","Tag detail"
"Tag Name","Tag-naam"
"Tag Use","Gebruik van tag"
"Tags Submitted by %s","Labels ingestuurd door %s"
"Tags submited by %s","Labels ingestuurd door %s"
"Tags submitted to %s","Labels ingestuurd naar %s"
"Tax","BTW"
"Tax Amount","BTW-bedrag"
"Title","Titel"
"To","Naar"
"Total","Totaal"
"Total Invoiced Captured","Totaal gefactureerd 'captured'"
"Total Invoiced not Captured","Totaal gefactureerd niet 'captured'"
"Total Invoiced vs. Paid Report","Rapport: Totaal gefactureerd vs. Totaal betaald"
"Total Ordered Report","Totaaloverzicht Bestellingen"
"Total Refunded Report","Rapport: Totaal terugbetaald"
"Total Shipped Report","Rapport: Totaal verzonden"
"Total Shipping","Totaal verzonden"
"Total Tags","Totaal aantal labels"
"Total invoiced","Totaal gefactureerd"
"Total refunded","Totaal teruggestort"
"Updated At","Update op"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Visible In","Zichtbaar in"
"Wishlist Report","Verlanglijst-rapport"
"Wishlist vs. Regular Order","Verlanglijst vs normale bestelling"
"Wishlists","Verlanglijsten"
"Year","Jaar"
"Year-To-Date Starts","Startdatum financieel jaar"
"Yes","Ja"
"Your Recently Compared","Uw onlangs vergeleken"
"Your Recently Viewed","Uw onlangs bekeken"
"undefined","niet van toepassing"
