"""%s"" coupon code is not valid.","""%s"" coupon code is niet geldig"
"",""
"%s","%s"
"%s / %s rate:","%s / %s koers"
"%s for %s","%s voor %s"
"%s order(s) cannot be canceled","%s bestelling(en) kunnen niet geannuleerd worden."
"%s order(s) have been canceled.","%s bestelling(en) zijn geannuleerd."
"%s order(s) have been put on hold.","%s bestelling(en) zijn op hold gezet."
"%s order(s) have been released from holding status.","%s bestelling(en) zijn vrijgegeven van de hold status."
"%s order(s) were not put on hold.","%s bestelling(en) zijn niet op hold gezet."
"%s order(s) were not released from holding status.","%s bestelling(en) zijn niet vrijgegeven van de hold status."
"* - Enter custom price excluding tax","* - Voer speciale prijs in exclusief BTW"
"* - Enter custom price including tax","* - Voer speciale prijs in inclusief BTW"
"-- Please Select --","-- Maak een keuze --"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"About This Order:","Over deze order:"
"About This Profile:","Over dit profiel:"
"About Your Invoice","Over uw factuur"
"About Your Order","Over uw bestelling"
"About Your Refund","Over uw creditering"
"About Your Shipment","Over uw zending"
"Accept Payment","Accepteer betaling"
"Accept or Deny Payment","Accepteer of weiger betaling"
"Account Information","Accountgegevens"
"Action","Actie"
"Actions","Acties"
"Activate","Activeer"
"Active","Actief"
"Add","Toevoegen"
"Add New Address","Nieuw adres toevoegen"
"Add Order Comments","Opmerking bij bestelling toevoegen"
"Add Package",""
"Add Products","Producten toevoegen"
"Add Selected Product(s) to Option","Geselecteerde producten aan optie toevoegen"
"Add Selected Product(s) to Order","Geselecteerd(e) product(en) aan bestelling toevoegen"
"Add Selected Product(s) to Package",""
"Add To Order","Aan bestelling toevoegen"
"Add Tracking Number","Trackingnummer toevoegen"
"Add comment to order","Notitie toevoegen aan bestelling"
"Add new comment to shipment","Nieuwe notitie toevoegen aan verzending"
"Add new tracking number","Nieuw tracking-nummer toevoegen"
"Add to Cart","In winkelwagen"
"Additional Product Info","Extra product informatie"
"Address","Adres"
"Address model is not defined.","Adresmodel is niet opgegeven."
"Adjustment Fee","Aanpassingstarief"
"Adjustment Refund","Aanpassings-terugbetaling"
"Agreement Information","Akkoordverklaring"
"Allow Reorder","Opnieuw bestellen toestaan"
"Amount","Bedrag"
"Amount: %s.","Waarde: %s."
"An error occurred while assigning order status. Status has not been assigned.",""
"An error occurred while creating shipping label.",""
"An error occurred while saving order status. The status has not been added.",""
"An error occurred while unassigning order status.",""
"An error occurred while updating the order address. The address has not been changed.",""
"An item option with code %s already exists.","An item option with code %s already exists."
"Anchor Custom Title",""
"Append Comments","Opmerkingen bijvoegen"
"Apply","Toepassen"
"Apply Coupon Code","Kortingscode toevoegen"
"Approved the payment online.","Approved the payment online."
"Are you sure you want to accept this payment?","Weet u zeker dat u akkoord gaat met deze betaling?"
"Are you sure you want to cancel this order?","Weet u zeker dat u deze order wilt annuleren?"
"Are you sure you want to deny this payment?","Weet u zeker dat u niet akkoord gaat met deze betaling?"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Are you sure you want to send Creditmemo email to customer?","Weet u zeker dat u een creditfactuur naar de klant wilt versturen?"
"Are you sure you want to send Invoice email to customer?","Weet u zeker dat u een factuur naar de klant wilt versturen?"
"Are you sure you want to send Shipment email to customer?","Weet u zeker dat u een verzendbevestiging naar de klant wilt versturen?"
"Are you sure you want to send order email to customer?","Weet u zeker dat u een orderbevestiging naar de klant wilt versturen?"
"Are you sure you want to void the payment?","Weet u zeker dat u de betaling ongeldig wilt verklaren?"
"Are you sure?","Weet u het zeker?"
"Are you sure? This order will be canceled and a new one will be created instead","Weet u het zeker? Deze bestelling zal worden geannuleerd, en in plaats hiervan zal een nieuwe worden aangemaakt"
"Assign Order Status to State",""
"Assign Status to State",""
"Assignment Information",""
"At least a payment ID must be set.","At least a payment ID must be set."
"Authorization","Autorisatie"
"Authorized amount of %s.","Autorisatiewaarde %s."
"Authorizing amount of %s is pending approval on gateway.","Authorizing amount of %s is pending approval on gateway."
"Back","Terug"
"Back to Billing Agreements","Terug naar Billing Agreements"
"Back to My Orders","Terug naar mijn bestellingen"
"Back to Recurring Profiles","Terug naar Abonnementen"
"Backordered","Wordt nageleverd"
"Bestsellers","Bestsellers"
"Bill to Name","Stuur rekening op naam"
"Billing","Facturatie"
"Billing Address","Factuuradres"
"Billing Agreement","Billing Agreement"
"Billing Agreement # %s","Billing Agreement # %s"
"Billing Agreement #%s","Billing Agreement #%s"
"Billing Agreement View","Billing Agreement View"
