"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Winkelwagen Prijsregels gebaseerd op het attribuut ""%s"" zijn uitgeschakeld."
"Actions","Acties"
"Active","Actief"
"Add New Rule","Nieuwe regel toevoegen"
"Apply","Toepassen"
"Apply To","Toepassen op"
"Apply the rule only if the following conditions are met (leave blank for all products)","Pas de regel alleen toe als aan de volgende voorwaarden wordt voldaan (laat leeg voor alle producten)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Pas de regel alleen toe op artikelen uit winkelwagen die voldoen aan de volgende criteria (laat leeg voor alle artikelen)"
"Apply the rule to cart items matching the following conditions","Pas regel toe op artikelen uit winkelwagen die aan de volgende voorwaarden voldoen"
"Apply to Shipping Amount","Pas toe op Verzendkosten"
"Auto","Automatisch"
"Buy X get Y free (discount amount is Y)","Koop X en krijg Y gratis (kortingsbedrag is Y)"
"By Fixed Amount","Met vast bedrag"
"By Fixed value","Met vast bedrag"
"By Percentage","Met percentage"
"By Percentage of the Original Price","Met percentage van de oorspronkelijke prijs"
"Can\'t acquire coupon.",""
"Cart Attribute","Winkelwagen-attribuut"
"Catalog","Catalogus"
"Conditions","Voorwaarden"
"Conditions combination","Combinatie van voorwaarden"
"Coupon","Kortingscode"
"Coupon Code","Kortingscode"
"Customer Groups","Klantengroepen"
"Customer is new buyer: %s","Klant is nieuwe koper: %s"
"Customer registered: %s","Klant geregistreerd: %s"
"Date Expire","Verloopdatum"
"Date Start","Begindatum"
"Default Label","Standaard Label"
"Default Rule Label for All Store Views","Standaard label voor alle winkelzichten"
"Delete Rule","Regel verwijderen"
"Description","Beschrijving"
"Description: %s","Omschrijving: %s"
"Discount Amount","Kortingsbedrag"
"Discount Qty Step (Buy X)","Kortingstaffel, aantal (koop X)"
"Edit Rule","Regel bewerken"
"Edit Rule '%s'","Regel ‘%s’ bewerken"
"Expire at: %s","Verloopt op: %s"
"FOUND",""
"Fixed amount discount","Vast kortingsbedrag"
"Fixed amount discount for whole cart","Vaste kortingbedrag voor hele winkelwagen"
"For matching items only","Alleen voor betreffende artikelen"
"For shipment with matching items","Voor een zending met betreffende artikelen"
"Free Shipping","Gratis verzending"
"From Date","Vanaf datum"
"General Information","Algemene Informatie"
"ID","ID"
"Inactive","Inactief"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Labels"
"Maximum Qty Discount is Applied To","Maximale kwantumkorting wordt toegepast op"
"NOT FOUND",""
"NOT LOGGED IN","NIET INGELOGD"
"Name: %s","Naam: %s"
"New Rule","Nieuwe regel"
"No","Nee"
"No Coupon","Geen kortingscode"
"Number of Uses","Aantal keer te gebruiken"
"Payment Method","Betaalmethode"
"Percent of product price discount","Korting (percentage van productprijs)"
"Period","Periode"
"Price in cart","Prijs in winkelwagen"
"Priority","Prioriteit"
"Product attribute combination","Combinatie van productattributen"
"Products subselection","Subselectie producten"
"Promotions","Promoties"
"Public In RSS Feed","Publiceren in RSS-feed"
"Quantity in cart","Aantal in winkelwagen"
"Row total in cart","Rij-totaal in winkelwagen"
"Rule Information","Regelgegevens"
"Rule Name","Regelnaam"
"Sales Discount Amount","Bereken verkoopkorting"
"Sales Subtotal Amount","Totale verkoop waarde"
"Sales Total Amount","Totale waarde verkoop"
"Save Rule","Regel opslaan"
"Save and Continue Edit","Opslaan en afronden"
"Shipping Country","Land afleveradres"
"Shipping Method","Verzendmethode"
"Shipping Postcode","Postcode afleveradres"
"Shipping Region","Regio afleveradres"
"Shipping State/Province","Provincie afleveradres"
"Shopping Cart Price Rule","Prijsregel winkelwagen"
"Shopping Cart Price Rules","Winkelwagen prijsregels"
"Special Price","Speciale prijs"
"Specific Coupon","Specifieke kortingscode"
"Start at: %s","Begin op: %s"
"Status","Status"
"Stop Further Rules Processing","Stop met verder uitvoeren van regels"
"Store View Specific Labels","Naamstelling van kortingsregel per winkel"
"Subtotal","Subtotaal"
"Subtotal Amount","Subtotale Waarde"
"The rule has been deleted.","De regel is verwijderd."
"The rule has been saved.","De regel is opgeslagen."
"This rule no longer exists.","Deze regel bestaat niet langer."
"To Date","Tot datum"
"To Fixed Amount","Tot vast bedrag"
"To Fixed Value","Tot vast bedrag"
"To Percentage","Naar percentage"
"To Percentage of the Original Price","Tot percentage van de oorspronkeljke prijs"
"Total","Totaal"
"Total Amount","Totale waarde"
"Total Items Quantity","Totale aantal artikelen"
"Total Weight","Totale gewicht"
"Unable to find a rule to delete.","Het is niet gelukt om een regel te verwijderen."
"Update Prices Using the Following Information","Prijzen updaten door de volgende gegevens te gebruiken"
"Update prices using the following information","Update prices using the following information"
"Update product's %s %s: %s","Producten %s %s: %s updaten"
"Update the Product","Het product updaten"
"Uses per Coupon","Gebruikt per kortingsbon"
"Uses per Customer","Gebruikt per klant"
"Wrong rule specified.","Onjuiste regel opgegeven."
"Yes","Ja"
