"Action","Actie"
"Add Sitemap","Sitemap toevoegen"
"Always","Altijd"
"CMS Pages Options","Opties CMS-pagina’s"
"Categories Options","Opties categorie&euml;n"
"Daily","Dagelijks"
"Edit Sitemap","Sitemap bewerken"
"Enabled","Ingeschakeld"
"Error Email Recipient","Fout e-mail ontvanger"
"Error Email Sender","Fout e-mail afzender"
"Error Email Template","Fout e-mail template"
"File %s"" cannot be saved. Please","make sure the directory ""%s"" is writeable by web server."
"Filename","Bestandsnaam"
"Frequency","Frequentie"
"Generate","Genereren"
"Generation Settings","Instellingen voor genereren"
"Google Sitemap","Google Sitemap"
"Hourly","Elk uur"
"ID","ID"
"Last Time Generated","Laatste keer gegenereerd"
"Link for Google","Link voor Google"
"Monthly","Maandelijks"
"Never","Nooit"
"New Sitemap","Nieuwe sitemap"
"Path","Pad:"
"Please create the specified folder %s"" before saving the sitemap.","Maak a.u.b. eerst de map %s"" aan voordat u de sitemap opslaat."
"Please define correct path","Definieer correct pad"
"Please make sure that %s"" is writable by web-server.","Controleer a.u.b. of de webserver schrijfrechten heeft op %s"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Gebruik alleen letters (a-z en A-Z), cijfers (0-9) of underscores (_) in de bestandsnaam. Spaties en andere tekens zijn niet toegestaan."
"Priority","Prioriteit"
"Products Options","Opties producten"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Sitemap genereert waarschuwingen"
"Start Time","Starttijd"
"Store View","Winkelzicht"
"The priority must be between 0 and 1.","De prioriteit moet tussen de 0 en 1 zijn."
"The sitemap %s"" has been generated.","The sitemap %s"" has been generated."
"The sitemap has been deleted.","De Sitemap is verwijderd."
"The sitemap has been saved.","De Sitemap is opgeslagen."
"This sitemap no longer exists.","De Sitemap bestaat niet langer."
"Unable to find a sitemap to delete.","Het is niet gelukt om een Sitemap te vinden en te deleten."
"Unable to find a sitemap to generate.","Het is niet gelukt om een sitemap te genereren."
"Unable to generate the sitemap.","Het is niet gelukt om de sitemap te genereren."
"Valid values range: from 0.0 to 1.0.","Geldige waarde: van 0.0 tot 1.0."
"Weekly","Wekelijks"
"Yearly","Jaarlijks"
"Google Sitemap Section","Sectie Google Sitemap"
"Priority must be between 0 and 1","Geef prioriteit op tussen 0 en 1"
"Sitemap %s"" has been successfully generated","Sitemap %s"" is gegenereerd."
"Sitemap was successfully deleted","Sitemap is verwijderd"
"Sitemap was successfully saved","Sitemap is opgeslagen"
"This sitemap no longer exists","Deze sitemap bestaat niet meer"
"Unable to find a sitemap to delete","Kan geen sitemap vinden om te verwijderen"
"Unable to find a sitemap to generate","Kan geen sitemap vinden om te genereren."
"Unable to generate a sitemap","Kan geen sitemap genereren"
"Valid values range from 0.0 to 1.0","Geldige waarden liggen tussen 0.0 en 1.0"
"File %s cannot be saved. Please","make sure the directory %s"" is writeable by web server."
"Please create the specified folder %s before saving the sitemap.","Maak a.u.b. eerst de map %s aan voordat u de sitemap opslaat."
"Please make sure that %s is writable by web-server.","Controleer a.u.b. of de webserver schrijfrechten heeft op %s"
"The sitemap %s has been generated.","Sitemap %s is gegenereert."
