"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' -matcht elke; 'xyz*' -matcht alles dat begint met 'xyz' en niet langer met %d."
"-- Please Select --","-- Selecteer a.u.b. --"
"Add New Class","Nieuwe tariefgroep toevoegen"
"Add New Tax Rate","Nieuw BTW-tarief toevoegen"
"Add New Tax Rule","Nieuwe BTW-regel toevoegen"
"After Discount","Na korting"
"An error occurred while deleting this rate.","Er is een fout opgetreden tijdens het verwijderen van de percentage."
"An error occurred while deleting this rate. Incorrect rate ID.","Er is een fout opgetreden tijdens het verwijderen van het tarief. Een foutieve tarief ID."
"An error occurred while deleting this tax class.","Er is een fout opgetreden tijdens het verwijderen van het BTW-tarief."
"An error occurred while deleting this tax rule.","Er is een fout opgetreden bij het verwijderen van de BTW regel."
"An error occurred while saving this rate.","Er is een fout opgetreden bij het opslaan van het tarief."
"An error occurred while saving this tax class.","Er is een fout opgetreden bij het opslaan van het BTW-tarief."
"An error occurred while saving this tax class. A class with the same name already exists.","Er is een fout opgetreden bij het opslaan van het BTW-tarief. De opgegeven naam bestaat al."
"An error occurred while saving this tax rule.","Er is een fout opgetreden bij het opslaan van het BTW-tarief."
"Apply Customer Tax","BTW in rekening brengen:"
"Apply Discount On Prices","Bereken de korting op de prijzen."
"Apply Discount On Prices Including Tax","Geef korting op de prijzen inclusief BTW"
"Apply Discounts To FPT","Pas korting toe op FPT"
"Apply Tax After Discount","Bereken de BTW na korting"
"Apply Tax On","Bereken BTW op"
"Apply Tax To FPT","Pas BTW toe op FPT"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Geef aan of kortingen op de inclusief of exclusief BTW prijs worden doorgevoerd."
"Apply discount on price including tax is calculated based on store tax, if Apply Tax after Discount is selected.","Wordt de korting berekend op de productprijs incl. BTW of excl. BTW?"
"Apply discount on price including tax is calculated based on store tax, if Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax, if Apply Tax after Discount"" is selected."
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Back","Terug"
"Before Discount","Voorafgaand aan korting"
"CSV","CSV"
"Calculation","Berekening"
"Calculation Settings","BTW berekeningsmethodiek"
"Catalog Prices","Catalogusprijzen"
"Catalog prices include tax","Catalogusprijzen inclusief BTW"
"Class Name","Naam tariefgroep"
"Code","Code"
"Country","Land"
"Country/Region/Postal code combination","Combinatie van land, regio en postcode"
"County","Regio"
"Custom price if available","Aangepaste prijs als deze beschikbaar is"
"Customer Tax Class","BTW-tariefgroep klant"
"Customer Tax Class Information","Gegevens BTW-tariefgroep klant"
"Customer Tax Classes","BTW-tariefgroepen klant"
"Default Country","Standaard land"
"Default Post Code","Standaard postcode"
"Default State","Standaard provincie"
"Default Tax Destination Calculation","Land van herkomst"
"Default Tax Origin Calculation","Standaard BTW-herkomstberekening"
"Delete Class","Tariefgroep verwijderen"
"Delete Rate","Tarief verwijderen"
"Delete Rule","Regel verwijderen"
"Display","Tonen"
"Display Cart/Order Prices","Wagen/Bestel-prijzen tonen"
"Display Full Tax Summary","Volledig BTW-overzicht tonen"
"Display Prices","Prijzen tonen"
"Display Prices In Emails","Toon prijzen in e-mails"
"Display Prices In Product Lists","Toon prijzen op cataloguspagina"
"Display Prices In Sales Modules","Toon prijzen in sales modules"
"Display Prices On Product View Page","Toon prijzen op productpagina"
"Display Product Prices","Productprijzen tonen"
"Display Product Prices In Catalog","Productprijzen tonen in catalogus"
"Display Shipping Amount","Verzendkosten tonen"
"Display Shipping Prices","Transportkosten tonen"
"Display Subtotal","Subtotaal tonen"
"Display Zero Tax Subtotal","BTW van nul tonen in subtotaal"
"Edit Class","Tariefgroep bewerken"
"Edit Class '%s'","Bewerken van tariefgroep ‘%s’"
"Edit Rule","Regel bewerken"
"Edit Tax Rate","Bewerk BTW-tarief"
"Enable FPT","Activeer FPT"
"Error while deleting this class. Please try again later.","Fout tijdens verwijderen van deze tariefgroep. Probeer het later opnieuw."
"Error while deleting this rate. Incorrect rate ID","Fout tijdens verwijderen van dit tarief. Onjuist ID"
"Error while deleting this rate. Please try again later.","Fout tijdens verwijderen van dit tarief. Probeer het later opnieuw."
"Error while deleting this tax rule. Please try again later.","Fout tijdens het verwijderen van deze BTW-regel. Probeer het later opnieuw."
"Error while saving this rate. Please try again later.","Fout tijdens opslaan van deze koers. Probeer het later opnieuw ."
"Error while saving this tax class. Class with the same name","Fout tijdens opslaan van deze BTW-groep. De naam bestaat al."
"Error while saving this tax class. Please try again later.","Fout tijdens opslaan van BTW-tariefgroep. Probeer later opnieuw"
"Error while saving this tax rule. Please try again later.","Fout tijdens opslaan van deze BTW-regel. Probeer later nieuw."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Fout tijdens opslaan van deze BTW-regel. Deze combinatie van product- en klant-tariefgroepen en BTW-tarief"
"Excl. Tax","Excl. BTW"
"Excl. Tax:","Excl. BTW:"
"Excluding Tax","Exclusief BTW"
"Export Tax Rates","Exporteer BTW-tarieven"
"Fixed Product Taxes","Vaste BTW op producten (FPT > Fixed Product Tax)"
"Grand Total (Excl. Tax)","Eindtotaal (excl. BTW)"
"Grand Total (Excl.Tax)","Eindtotaal (excl. BTW)"
"Grand Total (Incl. Tax)","Eindtotaal (incl. BTW)"
"Grand Total (Incl.Tax)","Eindtotaal (incl. BTW)"
"Grand Total Excl. Tax","Eindtotaal (excl. BTW)"
"Grand Total Incl. Tax","Eindtotaal (incl. BTW)"
"Ignored when 'Apply Tax After Discount' option is enabled","Genegeerd wanneer 'BTW berekenen na korting' is ingeschakeld"
"Import / Export Tax Rates","BTW-tarieven in- en exporteren"
"Import Tax Rates","BTW-groepen importeren"
"Inc. Tax","Incl. BTW"
"Incl. Tax","Incl. BTW"
"Incl. Tax:","Incl. BTW:"
"Include FPT In Subtotal","Toon FPT  in subtotaal"
"Include Tax In Grand Total","BTW toevoegen aan eindtotaal"
"Including Tax","Inclusief BTW"
"Including and Excluding Tax","In- en exclusief BTW"
"Incorrect rate Data","Onjuiste tariefgegevens"
"Invalid data for tax rate calculation","Ongeldige gegevens voor berekening van BTW-tarief"
"Invalid file format upload attempt","Poging ongeldig bestandsformaat te uploaden"
"Invalid file upload attempt","Poging Ongeldig bestand te uploaden"
"Manage Customer Tax Classes","Beheer BTW-groepen klanten"
"Manage Product Tax Classes","Beheer BTW-groepen producten"
"Manage Tax Rates","Beheer BTW-tarieven"
"Manage Tax Rules","Beheer BTW-regels"
"Manage Tax Zones & Rates","Beheer belastingzones & tarieven"
"Name","Naam"
"New Class","Nieuwe BTW-groep"
"New Rule","Nieuwe regel"
"New Tax Rate","Nieuw BTW-tarief"
"No","Nee"
"None","Geen"
