" was not delivered nor scanned",""
"1 Day Freight","24 uurs zending"
"2 Day",""
"2 Day Freight","48 uurs zending"
"2Day","2 Day"
"2nd Day Air","24 uurs zending (lucht)"
"2nd Day Air AM","48 uurs zending (lucht)"
"2nd Day Air AM Letter","48 uurs zending (briefpost)"
"2nd Day Air Letter","48 uurs zending (briefpost)"
"3 Day Freight","72 uur (vracht)"
"3 Day Select","72 uur (select)"
"Access ID","Toegangs ID"
"Access License Number","Toegangs licentie nummer"
"Account ID","Account ID"
"Account Number","Account-nummer"
"Additional Protection Configuration Value","Extra Bescherming Configuratie Waarde"
"Additional Protection Enabled","Extra Bescherming Ingeschakeld"
"Additional Protection Min Subtotal","Extra Bescherming Minus Subtotaal"
"Additional Protection Value","Extra Bescherming Waarde"
"Additional Protection Value Rounding Method","Extra Bescherming Waarde Afrondingsmethode"
"Adult",""
"Adult Signature Required",""
"Allowed Methods","Toegestane methodes"
"Bound Printed Matter","Ingebonden geprint materiaal"
"Business Service Center","Business Service Center"
"Calculate Handling Fee","Verzendkosten berekenen"
"Canada Standard","Canada Standaard"
"Cannot retrieve shipping rates","Kan de verzendkosten niet ophalen"
"Commercial","Commercieel"
"Configuration","Configuratie"
"Container","Container"
"Customer Packaging","Verpakking klant"
"Customer Supplied Package",""
"DHL","DHL"
"Debug","Debuggen"
"Default Package Height","Standaard hoogte pakketten"
"Default Package Length","Standaard lengte pakketten"
"Default Package Width","Standaard breedte pakketten"
"Delivered","Afgeleverd"
"Delivery Confirmation",""
"Destination Type","Type Bestemming"
"Development","Development"
"Direct",""
"Displayed Error Message","Weergeven foutbericht"
"Documents",""
"Domestic Shipment Days","Binnenlandse verzenddagen"
"Drop Box","Drop box"
"Dropoff","Dropshipment"
"Empty response","Leeg antwoord"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled for Checkout",""
"Enables/Disables SSL verification of Magento server by UPS.","Activeer / Deactiveer SSL verificatie door UPS"
"Error #%s : %s (%s)","Fout #%s : %s(%s)"
"Error #%s: %s","Fout #%s: %s"
"Europe First Priority","Europe First Priority"
"Express","Express"
"Express 10:30 AM","Express 10.30 uur"
"Express Mail","Express post"
"Express Saturday","Express zaterdag"
"Express Saver","Express voordeeltarief"
"Failed to parse xml document: %s","Verwerking van XML document mislukt: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg doos"
"FedEx 25kg Box","FedEx 25kg doos"
"FedEx Box","FedEx doos"
"FedEx Envelope","FedEx enveloppe"
"FedEx Pak","FedEx pakket"
"FedEx Tube","FedEx koker"
"First Overnight","First 's nachts"
"First-Class","Eerste klasse"
"Flat","Gelijk"
"Flat-Rate Box","Gelijk-tarief doos"
"Flat-Rate Envelope","Gelijk-tarief enveloppe"
"Free Method","Gratis methode"
"Free Shipping with Minimum Order Amount","Gratis verzending met minimum bestelwaarde"
"Freight",""
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Gift",""
"Girth",""
"Ground","Grond vervoer"
"Ground Commercial","Grond zakelijk"
"Ground Residential","Grond consument"
"Handling Applied","Afhandelingskosten toegepast"
"Handling Fee","Afhandelingskosten"
"Height",""
"Home Delivery","Huis aflevering"
"Indirect",""
"International Economy","Internationaal Economy"
"International Express","Internationaal Express"
"International First","Internationaal First"
"International Ground",""
"International Priority","Internationaal Priority"
"International Shipment Days","Internationale verzenddagen"
"Intl Economy Freight","Int. Economy Freight"
"Intl Priority Freight","Int. Priority Freight"
"Key",""
"Kilograms","Kilogram"
"Large","Groot"
"Large Express Box",""
"Length",""
"Letter","Brief"
"Library","Bibliotheek"
"Live","Live"
"Machinable","Machinaal"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum pakketgewicht (Vraag uw transportbedrijf naar het maximaal toegestane pakketgewicht a.u.b.)"
"Media Mail","Mediapost"
"Medium Express Box",""
"Merchandise",""
"Meter Number",""
"Minimum Order Amount for Free Shipping","Minimum bestelbedrag voor franco verzending"
