"Decimal Value Formatting","Opmaak decimale waarde"
"Number Format","Opmaak getal"
"0 will be replaced by actual number; all other characters will be displayed as entered.","0 zal worden vervangen door een actueel getal; alle overige karakters zullen getoond worden zoals ze zijn ingevoerd."
"Use Price Format","Gebruik opmaak van prijs"
"to","t/m"
"Use Second Number Format If Value Is Greater Than","Gebruik opmaak tweede getal als waarde groter is dan"
"Leave empty or 0 to use basic Number Format above for all values.","Laat leeg of 0 om gebruik te maken van de standaard getalopmaak voor alle waarden."
"Second Number Format","Opmaak tweede getal"
"Only applicable for values greater than parameter specified above. 0 will be replaced by actual number divided by the parameter specified above; all other characters will be displayed as entered.","Alleen van toepassing voor waarden groter dan de parameter hierboven ingesteld. 0 zal worden vervangen door een actueel nummer gedeeld door de hierboven ingestelde parameter; alle andere karakters zullen getoond worden zoals ze zijn ingevoerd."
"Slide Only Through Existing Values","Schuif alleen door bestaande waarden"
"Digits After the Decimal Point","Cijfers na de komma"
"Leave empty or 0 to round to whole numbers.","Laat leeg of 0 om af te ronden op hele getallen."
"Digits After the Decimal Point (for Second Format)","Cijfers na de komma (voor Opmaak tweede getal)"
"Use System and Category Configuration","Gebruik systeem- en categorie-configuratie"
"When showing filter options, system will divide the whole range of values to segments of specified size. Leave empty or 0 for automatic step calculation.","Wanner filteropties getoond worden zal het systeem het gele bereik van waarden delen in segmenten van de aangegeven grootte. Laat leeg of 0 voor automatische stap-brekening."
"Range Step","Bereik-stappen"
"Other Settings","Overige instellingen"
"Adjust Configurable Product Price Filtering","Pas configureerbaar-product prijsfilter aan"
"If enabled, additional price tags of configurable product options are additionally checked","Als ingeschakeld, extra prijs-tags van configureerbare producten worden ook gecontroleerd."
