"Amount","Prijs"
"BILL TO:","Factuuradres:"
"Client #","Klantnummer "
"Description","Omschrijving"
"Enable","Activeren"
"Grand Total","Totaal (Incl. BTW)"
"Invoice ","Factuurnummer "
"Invoice Footer Text","Factuur voettekst"
"Invoice Header Text","Factuur koptekst"
"No","Nee"
"Order Date: ","Orderdatum:    "
"Please enter your details here. It will be placed in the lower left corner. ","Vul uw gegevens hier in. Het zal linksonder getoond worden."
"Please enter your details here. It will be placed in the upper right corner. ","Vul uw gegevens hier in. Het zal linksboven getoond worden."
"Please upload your logo. This will override the Default Invoice Logo for PDF print-out. ","Upload uw logo hier. Het standaard logo voor PDF facturen wordt overruled."
"QTY","Qty"
"SHIP TO:","Verzendadres"
"Shipping & Handling","Verzend- & Handlingkosten"
"Subtotal","Subtotaal"
"Tax","BTW"
"Total","Totaal"
"Upload your logo","Upload uw logo"
"Yes","Ja"
