"Mindstretch Export Logistics","Export Logistiek"
"Standard layout for Free Shipping","Standaard layout voor Free Shipping"
"Standard layout for Flat Rate","Standaard layout voor Flat Rate"
"Standard layout for Table Rate","Standaard layout voor Table Rate"
"Standard layout for Matrix","Standaard layout voor Matrix Rate"
"Hide shipments that are exported","Verberg geexporteerde zendingen"
"Select CSV Layout Format","Selecteer CSV export layout"
"Export to CSV","Zendingen exporteren"
"tnt_tnt","PostNL Pakketpost"
"verhoogdaansprakelijk_verhoogdaansprakelijk","PostNL Verhoogde Aansprakelijkheid"
"handtekeningvoorontvangst_handtekeningvoorontvangst","PostNL Handtekening voor Ontvangst"
"dpd_dpd","DPD Logistics"
"gls_gls","GLS Logistics"
"Export shipments that are already exported","Exporteer zendingen die al eens verwerkt zijn"
"Export to TNT","Exporteer PostNL zendingen"
"Export GLS shipments","Exporteer GLS zendingen"
"Export DPD shipments","Exporteer DPD zendingen"
"Export Generic shipments","Exporteer Generieke zendingen"
"Export Kiala shipments","Exporteer Kiala zendingen"
"Mindstretch Shipment Export","Zendingen exporteren"
"Shipment ID","Zendings nummer"
"Shipping Method Name","Verzendmethode"
