" use this extension.","Vul een geldige licentiecode in om de module te activeren.""This service is only available in The Netherlands and Belgium"
"Activated","Ingeschakeld"
"After you've finished the configuration, change Current Configuration Scope and enter applicable pricing and other options.","Verander de focus naar Winkelzicht om prijzen en beschikbaarheid in te vullen. "
"Allowed methods","Toegestane verzendmethode"
"Batch generate invoices","Facturen in batch verwerken"
"Batch generate shipments","Zendingen in batch verwerken"
"Batch print shipping","Zendingen in batch printen"
"Check documentation for more related information.","Bekijk de online documentatie voor meer informatie."
"City","Plaats"
"Company","Bedrijfsnaam"
"Continue","Ga verder"
"Country","Land"
"Create Mapping","Maak een Mapping"
"DPD DELISprint Account Name","DPD DELISprint Accountnaam"
"DPD DELISprintAccount Number","DPD DELISprint Accountnummer"
"Displayed Error Message","Weer te geven foutmelding"
"Email Address","E-mailadres"
"Enter as #.##","Invullen als #.##"
"Enter as #.##.","In te vullen als #.##."
"Enter as #.##. Maximum weight for DPD Parcel Service is 30 kgs.","In te vullen als #.##. Het maximum gewicht voor DPD Parcel Service is 30kg."
"Enter as #.##. Maximum weight for PostNL is 30 kgs.","In te vullen als #.##. Het maximum gewicht voor PostNL is 30kg."
"Enter as #.##. Use this to enable other Shipping Methods","Vul in als #.##. Gebruik dit om andere verzendmethodes aan te zetten."
"Export to CSV","Exporteren naar CSV"
"Ext","Toevoeging"
"Free shipping with minimum order amount","Franco verzending"
"GLS LabelLite Account Name","GLS LabelLite Accountnaam"
"GLS LabelLite Account Number","GLS LabelLite Accountnummer"
"Hide shipments that are exported","Verberg verzonden zendingen"
"Import CSV File","Importeer CSV bestand"
"Invalid Handling Matrix code for type %s: %s","Ongeldig code in CSV bestand: %s"
"Invalid Handling Matrix code type: %s","Ongeldig code in CSV bestand: %s"
"Maximum Order Amount","Maximum bestelwaarde"
"Maximum Package Weight","Maximum pakketgewicht"
"Mindstretch Export Logistics","Export Logistiek"
"Mindstretch License Key","Mindstretch licentiecode"
"Mindstretch Shipment Export","Exporteer zendingen naar CSV"
"Minimum Order Amount","Minimum bestelwaarde"
"Minimum Package Weight","Minimum pakketgewicht"
"Minimum order amount for free shipping","Franco verzending vanaf"
"No","Nee"
"Number","Huisnummer"
"Online shopping no longer means having to stay home to take delivery of your order. With PakjeGemak, you have the choice of having his order delivered to one of the 2.000 pick-up points of PostNL.","Ophalen waar en wanneer het u uitkomt. U hoeft niet langer thuis te blijven om een pakketje in ontvangst te nemen. Met Pakjegemak van PostNL heeft u de keuze uit het grootste netwerk van ophaalpunten in Nederland. Er is altijd een PostNL punt bij u in de buurt, en met ruime openingstijden."
"Order Date","Besteldatum"
"Order ID","Order-ID"
"Please enter the packagetype: NP or KP. Use NP for Normal Packages or KP for Small Packages.","Voer het pakkettype in. Gebruik NP voor normale pakketten. Gebruik KP voor kleine pakketten."
"Please enter your license key to use this extension.","Vul een geldige licentiecode in om de module te activeren."
"Please select a tntpakjegemak point.","Selecteer de PostNL PakjeGemak verzendmethode."
"Please select tntpakjegemak store.","Selecteer de PostNL PakjeGemak verzendmethode."
"Required Fields","Verplichte velden"
"Save Config","Configuratie opslaan"
"Select CSV Layout Format","Selecteer standaard CSV Layout"
"Select the shipping method","Selecteer de verzendmethode"
"Ship this to tntpakjegemak"," Afleveren op een PostNL PakjeGemak ophaalpunt"
"Ship to Specific countries","Verzenden naar specifieke landen"
"Ship to applicable countries","Verzenden naar"
"Shipment ID","Verzend-ID"
"Shipping Method Name","Gekozen verzendmethode"
"Show method if not applicable","Toon verzendmethode indien niet van toepassing"
"Standard description","Standaard omschrijving""Free shipping with minimum order amount"
"Standard layout for Flat Rate","Exportlayout Flat Rate"
"Standard layout for Free Shipping","Exportlayout Free Shipping"
"Standard layout for Table Rate","Exportlayout Table Rate"
"State/Province","Provincie"
"Street Address","Straatnaam"
"TNT Parcelware Account Name","PostNL Parcelware klantnaam"
"TNT Parcelware Account Number","PostNL Parcelware klantnummer"
"TNT Parcelware for Magento Commerce","PostNL Parcelware voor Magento Commerce"
"Telephone","Telefoonnummer"
"This service is only available in The Netherlands and Belgium","Deze service is uitsluitend beschikbaar in Nederland en Belgie"
"Yes","Ja"
"You can find this in your Account Panel.","U kunt dit terugvinden onder de Accountgegevens in uw applicatie."
"Your shipment will be delivered at Tntpakjegemak point","Uw bestelling wordt afgeleverd op PostNL PakjeGemak ophaalpunt"
"Zip/Postal Code","Postcode"
"arcelware klantnummer""TNT Parcelware Account Name","PostNL Parcelware klantnaam""Mindstretch License Key"
"click to change","ophaalpunt wijzigen"
"dpd_dpd","DPD Pakketdienst"
"gls_gls","GLS Pakketdienst"
"handtekeningvoorontvangst_handtekeningvoorontvangst","PostNL Handtekening voor Ontvangst"
"or type %s: %s","Ongeldig code in CSV bestand: ""%s""Activated"
"ostNL Handtekening voor Ontvangst""gls_gls","GLS Pakketdienst""dpd_dpd"
"phaalpunt""click to change","ophaalpunt wijzigen""Street Address"
"tnt_tnt","PostNL Basic"
"unread message(s). <a href=""%s"">Go to messages inbox</a>.","ongelezen berichten. Ga naar inbox."
"verhoogdaansprakelijk_verhoogdaansprakelijk","PostNL Verhoogd Aansprakelijk"
