"Allowed file types: *.cer","Toegestane bestandstypen: *.cer"
"Allowed file types: *.crt, *.cer. You also need to upload this file to your iDEAL Dashboards.","Toegestande bestandstypen: *.crt, *.cer. U moet dit bestand ook naar uw iDEAL Dashboard uploaden."
"Allowed file types: *.pem","Toegestane bestandstypen: *.pem"
"An error occured","Een error deed zich voor"
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. Transaction number is %s."," ""Er deed zich een probleem voor tijdens het verwerken van uw betaling. Neem contact op met de webshop of probeer later nog eens. Uw transactienummer is %s."
"An error occurred. You will be redirected back to the store.","Een probleem deed zich voor. U wordt teruggebracht naar de winkel."
"Bad signature.","Verkeerde handtekening (wachtwoord of certificaat-probleem)."
"Bank Account Number","Bankrekeningnummer"
"Begin to check transaction status if order was made {N} hours ago","Begin met status-controle voor orders {N} uur geleden"
"Consumer City","Klant woonplaats"
"Consumer Name","Klant naam"
"Customer canceled payment.","Klant anulleerde betaling."
"Customer declined by iDEAL.","Klant geweigerd door iDEAL."
"Customer successfully returned from iDEAL.","Klant succesvol teruggekeerd van iDEAL."
"Don't check transaction status if order older than {N} days","Controleer geen statussen van orders ouder dan {N} dagen geleden"
"Error","Fout"
"Fingerprint unknown.","Handtekening klopt niet (wachtwoord of certificaat-probleem)."
"In minutes. Minimum is 1 minute and maximum is 60.","In minuten. Minimaal 1 minuut en maximaal 60."
"Issuer","Issuer"
"Please <a href=\""%s\"">continue shopping</a>.","Ga <a href=\""%s\"">verder met winkelen</a>."
"Please Select","Selecteer alstublieft"
"Please choose your bank:","Kies uw bank:"
"Private certificate","Private certificate"
"Private key","Private key"
"Private key password","Private key password"
"Required fields missing","Verplichte velden ontbreken"
"Secure URL (production)","Veilige URL (productie)"
"Secure URL (test mode)","Veilige URL (testmodus)"
"Selected currency code (%s) is not compatabile with iDEAL","De gekozen valuta (%s) is niet compatibel met iDEAL"
"Status check begin","Status check begin"
"Status check end","Status check einde"
"Test mode","Testmodus"
"The iDEAL system could not process your payment. Please try again","Uw betaling kon niet door iDEAL verwerkt worden, probeer het nogmaals"
"Transaction ID","Transactie-ID"
"Transaction Status Update: canceled by customer.","Transactie Status Update: geanulleerd door klant."
"Transaction Status Update: finished successfully.","Transactie Status Update: betaald."
"Transaction Status Update: rejected by iDEAL.","Transactie Status Update: geweigerd door iDEAL."
"Transaction description","Transactie omschrijving"
"Transaction expire period","Transactie expiratie periode"
"Warning: this may not be longer than 36 characters. Also do not use special (non-ASCII) characters.","Waarschuwing: dit mag niet langer zijn dan 36 tekens. Gebruik ook geen speciale karakters (niet-ASCII)."
"You will be redirected to your bank in a few seconds.","U wordt binnen enkele seconden naar uw bank doorgestuurd."
"Your Bank","Uw Bank"
"iDEAL certificate","iDEAL certificate"
"iDEAL payment canceled by customer.","iDEAL betaling geanulleerd door klant."
"iDEAL processing started","iDEAL proces gestart"
