"Ogone","Ogone"
"Send order email","Send order email"
"Send order email after successful payment.","Send order email after successful payment."
"Create invoice","Create invoice"
"Create invoice after succesful payment.","Create invoice after succesful payment."
"Send invoice email","Send invoice email"
"Send invoice email after invoice creation.","Send invoice email after invoice creation."
"Use base currency and prices","Use base currency and prices"
"Choose Yes to transfer base currency and prices. Choose No to transfer prices in the customer's currency from the frontend currency dropdown.","Choose Yes to transfer base currency and prices. Choose No to transfer prices in the customer's currency from the frontend currency dropdown."
"The payment request SHA signature does not match. Please check the SHA IN and OUT codes.","The payment request SHA signature does not match. Please check the SHA IN and OUT codes."
"The requested order ID does not exist.","The requested order ID does not exist."
"Started Ogone payment process.","Started Ogone payment process."
"Error","Foutmelding"
"Invalid payment.","Ongeldige betaling."
"Incomplete payment! Please contact the store owner to resolve the matter.","Incomplete betaling! Neem alstublieft contact op met de winkelier om de kwestie op te lossen."
"Technical problem.","Technisch probleem."
"Authorization refused.","Autorisatie geweigerd."
"Unknown authorisation.","Onbekende autorisatie."
"Could not determine payment status. Please contact the store owner to resolve the matter.","De betaalstatus kon niet worden vastgesteld. Neem alstublieft contact op met de winkelier om het probleem op te lossen."
"Unknown payment.","Onbekende betaling."
"Order could not be saved.","Order kon niet worden opgeslagen."
"Waiting for authorization by Ogone","Wacht op autorisatie door Ogone"
"Processed by Ogone","Verwerkt door Ogone"
"Paid with %s","Betaald met %s"
"Payment uncertain: a technical problem arose during the payment process. The payment status could not be determined.","Betaling onzeker: een technisch probleem deed zich voor tijdens het betaalproces. De betaalstatus kon niet worden vastgesteld."
"Authorization unknown: a technical problem arose during the authorization process. The payment status could not be determined.","Autorisatie onbekend: een technisch probleem deed zich voor tijdens de autorisatie. De betaalstatus kon niet worden vastgesteld."
"Unknown exception: Payment status could not be determined. Please check your bank statements manually before shipping any goods.","Onbekende uitzondering: de betaalstatus kon niet worden vastgesteld. Controleer alstublieft uw bankafschriften voordat u goederen verzend."
"Exception unknown.","Uitzondering onbekend."
"Payment was declined by Ogone. Please choose a different payment method.","Betaling verworpen door Ogone. Kies alstublieft een andere betaalmethode."
"Payment declined by Ogone.","Betaling verworpen door Ogone."
"Transaction declined by Ogone.","Transactie verworpen door Ogone."
"Payment canceled. Please try again.","Betaling geanulleerd. Probeer het opnieuw."
