"Customer Groups Catalog","Customer Groups Catalogus"
"Disable CustomerGroups Extension","Customer Groups Extensie uitschakelen"
"Hide from customer groups","Verbergen voor klanten groepen"
"Default: hide products from customer groups","Standaard : verberg producten voor klanten groepen"
"Default: hide categories from customer groups","Standaard : verberg categorieën voor klanten groepen"
"Please contact our staff to see all our products.","Gelieve onze medewerkers te contacteren om alle producten te zien"
"Please contact our staff to see our complete catalog.","Gelieve onze medewerkers te contacteren om de volledige catalogus te zien"
"NONE","GEEN"
"USE DEFAULT","GEBRUIK STANDAARD"
"The USE DEFAULT selection was ignored because you also selected other customer groups.","De GEBRUIK STANDAARD selectie werd genegeerd omdat U ook andere klantengroepen selecteerde"
"Customer groups besides NONE where removed from the selection.","Klanten groepen buiten GEEN werden verwijderd uit de selectie"
"Products visible to the customer group %s","Zichtbare producten voor de klanten groep %s"
"Visible Products","Zichtbare producten"
"Grow DB Field Size if required","Breid DB veld uit indien nodig."
