"%s days","%s dagen"
"(excl. TAX)","(excl. TAX)"
"Action","Actie"
"Add","Add"
"Add Quote","Voeg aanvraag toe"
"Add Selected Product(s) to Advanced Quote","Voeg geselecteerde product(en) toe aan offerte aanvraag"
"Add new Qty","Add new Qty"
"Add product short description text to PDF","Add product short description text to PDF"
"Add remark that appears in new proposal email and in the quote proposal PDF","Voeg opmerking toe die verschijnt in de offerte email en offerte PDF"
"Advanced quote","Prijs aanvraag"
"Advanced quote cancel","Annuleer offerte aanvraag"
"Advanced quote new account","Nieuwe account voor offerte aanvraag"
"Advanced quote proposal","Offerte"
"Advanced quote request","Prijs aanvraag"
"Allowed to Quote Mode","Kan offerte voor aanvragen?"
"Are you sure?","Weet je het zeker?"
"Atr. nr.","Art. nummer"
"Attach PDF file with proposal","Voeg PDF bestand bij offerte"
"Cancel Quote","Annuleer aanvraag"
"Cart2Quote","Cart2Quote"
"Change status","Wijzig status"
"Checkout onepage url","Checkout onepage url"
"City","Plaats"
"Comment with Product","Opmerking bij product"
"Configuration","Configuratie"
"Country","Land"
"Create New Quote","Maak nieuwe offerte aanvraag"
"Create Order","Create Order"
"Create this customer first via the Manage Customers section","Create this customer first via the Manage Customers section"
"Created On","Gemaakt op"
"Customer Group","Klant groep"
"Customer Name","Klant naam"
"Customer not recognized for new quote","Customer not recognized for new quote"
"Customer's email was undefined","Customer's e-mail was undefined"
"Date of Proposal","Datum van offerte"
"Default Increment","Standaard toename"
"Default Quote Prefix","Standaard aanvraag voorvoegsel"
"Default Starting Number","Standaard begin nummer"
"Default password for new user account","Standaard wachtwoord voor nieuw account"
"Delete","Verwijder"
"Desired number length without the prefix and the date. Set to 0 to not add leading zeros to doc number.","Gewenste nummer lengte zonder voorvoegsel en datum. Zet op 0 om geen nul vooraan het document nummer te krijgen."
"Detail page activation","Detail page activation"
"Disable account check","Disable account check"
"Duplicate value entered","Duplicate value entered"
"Email","E-mail"
"Email sender","E-mail verzender"
"Email was sent to client","E-mail is verstuurd naar klant"
"Emails for quotes","E-mails voor offertes"
"Enable / disable frontend layout update","Enable / disable frontend layout update"
"Enable PDF proposal","Enable PDF proposal"
"Enable disable quote relates emails","Schakel offerte aanvraag gerelateerde e-mails in / uit"
"Enable standard document","Enable standard document"
"Enabled","Ingeschakeld"
"Expiration time for quote proposal","Verloop tijd voor offerte"
"Expiration time for quote request","Verloop tijd voor offerte aanvraag"
"File","File"
"File upload","File upload"
"First Name","Voornaam"
"First save this Quotation","First save this Quotation"
"Fixed Shipping & Handling price","Vaste verzend- en behandelkosten"
"Fixed price per Order","Vaste prijs per bestelling"
"For front-end visibility of this module please switch Use Cart2Quote templates to Yes or adjust your custom theme files.","For front-end visibility of this module please switch 'Use Cart2Quote templates' to 'Yes' or adjust your custom theme files."
"General","Algemeen"
"If set to No, you have to manually copy the Cart2Quote template information to you own template files to enable front-end functionality.","If set to No, you have to manually copy the Cart2Quote template information to you own template files to enable front-end functionality."
"Information","Informatie"
"Item Manager","Product manager"
"Item does not exist","Product bestaat niet"
"Items Manager","Producten manager"
"Last Name","Achternaam"
"Last update","Laatste update"
"List/Grid page activation","List/Grid page activation"
"Log in and <a href='%s'>click on to View Quote.</a>","Login en <a href='%s'>klik verder om offerte te bekijken.</a>"
"Make shipping proposal?","Verzend offerte maken?"
"Maximum characters","Maximum characters"
"Minimum of one Qty is required","Minimum of one Qty is required"
"New account Template","Nieuwe account template"
"New proposal Template","Nieuwe offerte template"
"New quotes can be submitted by existing accounts without having to login first","New quotes can be submitted by existing accounts without having to login first"
"New request Template","Nieuwe aanvraag template"
"Number Length","Nummer lengte"
"Optional Information","Optionele informatie"
"Original Price","Originele prijs"
"Owner price","Normaal"
"Password for new account created during quote request","Wachtwoord voor nieuwe account tijdens offerte aanvraag"
"Per Item","Per item"
"Please select item(s)","Selecteer product(en)"
"Price","Prijs"
"Price Proposal","Offerte"
"Price proposal","Offerte"
"Price_proposal_%s","Prijs_voorstel_%s"
"Product","Product"
"Product Information","Product informatie"
"Product name","Productnaam"
"Proposal valid until","Offerte geldig tot"
"QTY","Aantal"
"Qty","Aantal"
"Quoation had error, because products quantity weren't defined","Quoation had error, because products quantity weren't defined"
"Quotations","Offertes"
"Quote","Prijs aanvraag"
"Quote #","Prijs aanvraag #"
"Quote # %s | Quote Date %s","Prijs aanvraag # %s | Prijs aanvraag datum %s"
"Quote Proposal","Offerte"
"Quote Status","Prijs aanvraag status"
"Quote information is avaliable by link below","Voor offerte informatie klik op onderstaande link"
"Quote number format","Offerte nummer format"
"Quote request","Prijs aanvraag"
"Quote request information","Algemene opmerking"
"Quote view","Offerte bekijken"
"Quote was successfully canceled","Offerte aanvraag is succesvol geannuleerd"
"Quote was successfully saved","Offerte aanvraag is succesvol opgeslagen"
"Quote_Proposal","Offerte"
"RFQ From","Offerte van"
"Request cancelled Template","Offerte geannuleerd template"
"Request for Quote","Prijs aanvraag"
"Requested information","Aangevraagde informatie"
"SKU","Artikelnummer"
"STATUS_BEGIN","Gestart"
"STATUS_CANCELED","Offerte geannuleerd"
"STATUS_CONFIRMED","Geaccepteerd"
"STATUS_DENIED","Offerte afgewezen"
"STATUS_PROPOSAL","Offerte verstuurd"
"STATUS_PROPOSAL_EXPIRED","Offerte verlopen"
"STATUS_PROPOSAL_SAVED","Offerte bewaard"
"STATUS_REJECTED","Offerte verwijderd"
"STATUS_REQUEST","Aanvraag geplaatst"
"STATUS_REQUEST_EXPIRED","Offerte verlopen"
"Save Quote","Bewaar aanvraag"
"Select email to be send","Selecteer te verzenden e-mail"
"Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)","Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)"
"Send Quote email copy to","Zend offerte e-mail kopie naar"
"Separate by","Scheiden door"
"Set standard (fixed) remark with proposal","Standaard (vaste) opmerking bij offerte"
"Shipping & Handling price per Item","Verzend- en behandelkosten per product"
"Shipping & Handling price varies","Verzend- en behandelkosten vari�ren"
"Shipping address","Verzend adres"
"Shipping information","Verzend informatie"
"Sku","Artikelnummer"
"Status","Status"
"Submit Quote","Verstuur offerte"
"Subtotal","Subtotaal"
"Tax","BTW"
"Thanks for your Quote request.","Bedankt voor je offerte aanvraag."
"The Cart2Quote template files are disabled.","The Cart2Quote template files are disabled."
"There was an error, because the customer address was  undefined","There was an error, because the customer address was  undefined"
"Title","Title"
"To create an order or to add products, save the quotation first","To create an order or to add products, save the quotation first"
"Total price","Total price"
"Unable to find item to save","Kon geen product vinden om op te slaan"
"Unable to send email.","Kan e-mail niet versturen."
"Upload any file as default attachment to the proposal email (i.e. Terms and Conditions) Note some providers limit the size of emails.","Upload any file as default attachment to the proposal email (i.e. Terms and Conditions) Note some providers limit the size of emails."
"Url","Url"
"Use Cart2Quote template files","Use Cart2Quote template files"
"Use Store settings","Gebruik winkel instellingen"
"Use checkout url after confirmation quote proposal","Use checkout url after confirmation quote proposal"
"View","Bekijk"
"View Quote","Bekijk aanvraag"
"You cannot delete this Qty","You cannot delete this Qty"
"exclude from order","exclude from order"
"ref #","Referentie #"
"select required qty and check out online","Kies gewenste aantal en bestel online"
"ship to:","Verstuur naar:"
"to see applicable price**","om de juiste prijs te zien**"
