"Account holder","Rekeninghouder"
"Account info","Rekening info"
"Account number","Rekeningnummer"
"Account number1","Rekeningnummer"
"Add Bank Account","Add Bank Account"
"Add your bank accounts data","Add your bank accounts data"
"BIC","BIC"
"Bank Account holder","Rekeninghouder"
"Bank Account number","Rekeningnummer"
"Bank Accounts","Bank Accounts"
"Bank Prepayment","Vooruitbetaling per bank"
"Bank Sort code","Bank Sort code"
"Bank name","Bank naam"
"Choose CMS page to display a link instead of the bank accounts in the payment form","Choose CMS page to display a link instead of the bank accounts in the payment form"
"Custom text","Custom text"
"Delete Account","Delete Account"
"For international transfers please use also following data","Voor internationale overschrijvingen gebruik a.u.b. de volgende gegevens"
"Form CMS Page","Form CMS Page"
"IBAN","IBAN"
"International","Internationaal"
"More information on this paymentmethod can be found <a target=""_blank"" href=""%s"">here</a>.","More information on this paymentmethod can be found <a target=""_blank"" href=""%s"">here</a>."
"Pay within X days","Betalen binnen X dagen"
"Please transfer the money to one of the following bank accounts","Please transfer the money to one of the following bank accounts"
"Please transfer the money to the following bank account","Schrijf het bedrag a.u.b. over naar de volgende rekening"
"Please transfer the money within %s days to one of the following bank accounts","Please transfer the money within %s days to one of the following bank accounts"
"Please transfer the money within %s days to the following bank account","Schrijf het bedrag a.u.b. binnen %s dagen over naar de volgende rekening"
"Show bank accounts in PDF","Show bank accounts in PDF"
"Show custom text in PDF","Show custom text in PDF"
"Sort code","Sort code (wordt niet gebruikt in Nederland)"
