"Referrals","Referrals"
"WDCA Extensions","WDCA Extensions"
"Better Store Product Search","Better Store Product Search"
"About This Extension","About This Extension"
"Extension Developed By WWW.WDCA.CA","Extension Developed By WWW.WDCA.CA"
"Attribute Weightings","Attribute Weightings"
"Name Match Weight Modifier","Name Match Weight Modifier"
"Sku Match Weight Modifier","Sku Match Weight Modifier"
""Did You Mean" Feature",""Did You Mean" Feature"
Enable Profiler,Enable Profiler
"Is Enabled","Is Enabled"
"Use Results Block Rewrite","Use Results Block Rewrite"
"Developers","Developers"
"Enable Profiler","Enable Profiler"
"Registration Information","Registration Information"
"License Key","License Key"
"Better Store Search Index","Better Store Search Index"
Developers,Developers
"Rebuild special algorithm indexes for the Better Store Search catalog product search engine.","Rebuild special algorithm indexes for the Better Store Search catalog product search engine."
"Please wait, searching for products that you may have intended to find...","Please wait, searching for products that you may have intended to find..."
"No related products, misspellings or similar products were found.","No related products, misspellings or similar products were found."
