"Customer Referrals","Klant Affiliate"
"Referral ID","Affiliate ID"
"Customer ID","Klant ID"
"Customer Name","Klant Name"
"Referral Customer ID","Doorverwijzing klant ID"
"Referral Name","Verwijziging naam"
"Referral Email","Verwijzing emamil"
"Status","Status"
"Delete","Verwijderd"
"Are you sure?","Weet u het zeker?"
"Please specify either a referral e-mail address or referral code.","Specificeer of het verwijzings-e-mailadres of de verwijzingscode."
"Please enter a valid email address.","Vul een geldig emailadres in."
"There was a problem with the invitation.","Er is een probleem opgetreden met de uitnodiging."
"There was a problem saving your preferences.","Er is een probleem opgetreden bij het opslaan van uw instellingen."
"Please enter your referral's name.","Vul de naam in van degene die u heeft doorverwezen."
"Your preferences were saved successfully.","Uw instellen zijn succesvol opgeslagen."
"Referrals","Doorverwijzingen"
"No referral","Geen doorverwijzing"
"Points were successfully saved","Punten zijn succesvol opgeslagen"
"Unable to save","Kan niet worden opgeslagen"
"Referral was successfully deleted","Affiliate is succesvol verwijderd"
"Please select referrals","Selecteer een verwijzer a.u.b."
"Referral Program","Affiliate Programma"
"Extension Developed By WWW.WDCA.CA","Extension ontwikkeld door www.wdca.ca"
"Show referral link","Toon doorverwijs-link"
"Show in onepage checkout","Toon op de 'Onepage Checkout'-pagina"
"Show in create account page","Toon in 'Maak Account Aan'-pagina"
"Enable refer by e-mail","Doorverwijzen per e-mail inschakelen"
"Enable refer by code","Doorverwijzen met code inschakelen"
"Enable refer by URL","Doorverwijzen met URL"
"Show invite customer form","Toon 'Klant uitnodigen'-formulier"
"Show prefererences section","Toon instellingen sectie"
"Show referral history","Toon doorverwijzingenhistorie"
"Affiliate Redirect Path","Affiliate Redirect Path"
"Customer Referral Invitation","Affiliate uitnodiging"
"Customer Referral New Earnings Notification","'Affiliate 'Nieuwe verdiensten'-notificatie"
"Referral e-mail may not be empty.","Doorverwijsde's e-mail mag niet leeg zijn."
"No","Nee"
"Yes","Ja"
"Referral e-mail and customer e-mail may not be the same.","Affiliate e-mail en klant e-mail mag niet het zelfde zijn"
"Signed Up","Geregistreerd"
"Made First Order","Eerste bestelling geplaatst"
"Message Sent","Bericht verzonden"
"Unknown","Onbekend"
"Referral signs up to website","Doorverwezene registreert op website"
"Referral makes any order","Doorverwezene makes any order"
"Fixed Amount When Referral Makes First Order","Vast bedrag wanneer doorverwezene de eerste bestelling plaatst"
"% of Points Earned By Referral","% van punten verdiend door doorverwezene"
"Fixed Amount","Vaste hoeveelheid"
"Referral makes first order","Doorverwezene plaatst eerste bestelling"
"Referred Customer","Doorverwezen klant"
"Notify on Referral","Stel op de hoogte bij doorverwijzing"
"My Referrals","Mijn doorverwijzingen"
"Referral Preferences","Doorverwijzing eigenschappen"
"Notify me when I earn points from my referral","Stel me op de hoogte als ik punten verdien."
"Save Preferences","Sla instellingen op"
"Full Name","Volledige naam"
"Email","E-mail"
"Registered?","Geregistreerd?"
"Accumulated Earnings","Totale verdiensten"
"yes","ja"
"no","nee"
"You don't have any referrals yet.","U heeft nog geen personen doorverwezen."
"Referral Codes and URL","Doorverwijscodes en -URL"
"Your Referral URL","Uw doorverwijs-URL"
"Your Referral Code","Uw doorverwijs-code"
"Your Referral Email","Uw doorverwijs-e-mail"
"Referrals that access this URL are connected as referrals once they signup or place an order.","Personen die deze URL bezoeken worden gekoppeld als doorverwezen personen als ze een account aanmaken of een bestelling plaatsen."
" Referrals should enter the code at checkout or signup.","Doorverwezen personen zullen een code moeten invoeren bij het afrekenen of registreren."
"Referrals should enter your e-mail address at checkout or signup.","Doorverwezen personen zullen jouw e-mail adres invullen  bij het afrekenen of inloggen."
"Invite One Person","Nodig één persoon uit"
"Short Message","Korte omschrijving"
"* Required Fields","* verplichte velden"
"Back","Terug"
"Send","Stuur"
"Friend's name","Vriend's naam"
"Friend' name","Vriend's naam"
"Friend's email address","Vriend's e-mail-address"
"Send Invitations","Stuur uitnodiging"
"To","Aan"
"To reduce the chance that your message is marked as spam, please follow this format:","Om de kans te verminderen dat je bericht als spam wordt gemarkeerd, schrijf emailadressen op in het volgende formaat:"
"Example contact list:","Voorbeeld contacten:"
"Subject (Optional)","Onderwerp (Optioneel)"
"Subject","Onderwerp"
"Message (Optional)","Bericht (Optioneel)"
"Send Invitiation(s)","Stuur uitnodigen"
"Import contacts from sources yahoo, gmail, outlook, etc","Import contacten van gmail, outlook, etc."
"Import contacts","Import contacten"
"Referral Information","Doorverwijs informatie"
"Referral E-mail","Doorverwijs e-mail"
"Referral Code","Doorverwijs code"
"Referral E-mail or Code","Doorverwijs e-mail of code"
