"Ajax Search",""
"Enable Ajax Search",""
"Minimal number of chars to show suggest",""
"Suggest window height",""
"Suggest window width",""
"Invitation text in search input field",""
"Maximum number of products to show",""
"Show ajax loader icon",""
"Sort results by field",""
"Sort results order",""
"Show products short description",""
"Number of short description chars to showshow",""
"Show products thumbnail",""
"Thumbnail height",""
"Thumbnail width",""
"Show left search box","Toon linker zoekvenster"
"Show right search box","Toon rechter zoekvenster"
"Product name",""
"Product base price",""
"Product SKU",""
"Descending",""
"Ascending",""
"General",""
"Email and Name required",""
"Your must login",""
"Sorry, but we think you\'re a spammer.",""
"Your question has been accepted for moderation",""
"Sorry, only logined customer can add self answer.",""
"Sorry, only logined customer can hint.",""
"Sorry, already voted",""
"Questions Manager",""
"Question",""
"Item News",""
"Item does not exist",""
"Item was successfully saved",""
"Unable to find item to save",""
"Item was successfully deleted",""
"Please select item(s)",""
"Total of %d record(s) were successfully deleted",""
"Total of %d record(s) were successfully updated",""
"Ask a question and Give an answer. Help your fellow customer.",""
"There is no products questions yet.",""
"Products Questions",""
"Search",""
"Search Site",""
"Search entire store here",""
"Advanced search",""
"Search attributes",""
"Search header text",""
"Search footer text",""
