"Apply package id '*' to all items in cart","Apply package id '*' to all items in cart"
"Calculate Handling Fee","Calculate Handling Fee"
"Displayed Error Message","Displayed Error Message"
"Enabled","Enabled"
"Free Shipping Text","Free Shipping Text"
"Handling Fee","Handling Fee"
"Import","Import"
"Maximum Shipping Cost","Maximum Shipping Cost"
"Method name","Method name"
"Ship to Specific countries","Ship to Specific countries"
"Ship to applicable countries","Ship to applicable countries"
"Shipping Option","Shipping Option"
"Show method if not applicable","Show method if not applicable"
"Sort order","Sort order"
"Standard Fahrradversand ","standard"
"Title","Title"
"Totalling Algorithm","Totalling Algorithm"
"Use Parent Shipping Group","Use Parent Shipping Group"
"Use Zipcode To/From Range","Use Zipcode To/From Range"
