"Delete Any Order - Overview","Delete Any Order - Overzicht"
"Delete Any Order","Delete Any Order"
"Overview","Overzicht"
"Clean-up","Opruimen"
"Order Invoice","Factuur"
"Order Credit Memo","Creditnota"
"Purchased on","Aangeschaft op"
"Confirmation","Bevestiging"
"Analyze Database", "Analyseer Database"
"Analysis of order-objects", "Analyse van bestellings-objecten"
"Order records", "Bestelling-records"
"Class", "Klasse"
"Increment IDs", "Incrementele IDs"
"Current ID", "Huidige ID"
"Latest ID", "Laatste ID"
"Obsolete entries", "Verouderde records"
"Make sure you have a valid backup before continuing","Maak een geldige backup voor u verder gaat"
"Deleted %s orders succesfully", "Er zijn %s bestelling met succes verwijerd."
"Unable to delete %s orders", "Het systeem kan %s bestellingen niet verwijderen"
"Failed to load order with ID %d", "Het systeem kan bestelling met ID %d niet inladen"
"Failed to delete collection %s: %s", "Het systeem kan de collectie %s niet verwijderen: %s"
"Failed to delete downloadable product: %s", "Het systeem kan het downloadable product niet verwijderen: %s"
"Failed to delete order item: %s", "Het systeem kan de bestellingsregel niet verwijderen: %s"
"Reset stock of product ""%s"" with quantity %d", "Reset voorraad van product ""%s"" met hoeveelheid %d"
