"%s images was successfully recreated.","%s afbeeldingen zijn succesvol opnieuw aangemaakt."
"%s thumbnails was successfully recreated.","%s thumbnails zijn succesvol opnieuw aangemaakt."
"(eg.: <strong>.html</strong>)","(eg.: <strong>.html</strong>)"
"(eg: YYYY-MM-DD HH:MM:SS Leave blank to use current date)","(bv: YYYY-MM-DD HH:MM:SS laat leeg om de huidige datum te gebruiken)"
"(eg: YYYY-MM-DD HH:MM:SS)<br />Leave blank to disable time limits for this gallery.","(eg: YYYY-MM-DD HH:MM:SS)<br />>Laat leeg om tijd limiten uit te schakelen voor deze gallerij."
"* HTML code in image description can be displayed in selected presentations only. Please check the gallery frontend to see the result.","* HTML code in image description can be displayed in selected presentations only. Please check the gallery frontend to see the result."
"-- Choose gallery presentation --","-- Kies gallerij presentatie --"
"-- Please select desired image gallery --","-- Selecteer de gewenste afbeeldingen gallerij --"
"<b>Choose default placement of image text in Ajax galleries</b><br />You can place text:<br />- over the images <i>(suitable for shorter descriptions)</i><br />or<br />- under the images <i>(suitable for longer texts)</i>","<b>Choose default placement of image text in Ajax galleries</b><br />You can place text:<br />- over the images <i>(suitable for shorter descriptions)</i><br />or<br />- under the images <i>(suitable for longer texts)</i>"
"<b>Maximal image height</b> <i>(in pixels)</i><br />Set the maximal image width in pixels, eg. <b>768</b>.<br />Leave empty if you do not want to scale the images down after upload.","<b>Maximal image height</b> <i>(in pixels)</i><br />Set the maximal image width in pixels, eg. <b>768</b>.<br />Leave empty if you do not want to scale the images down after upload."
"<b>Maximal image width</b> <i>(in pixels)</i><br />Set the maximal image width in pixels, eg. <b>1024</b>.<br />Leave empty if you do not want to scale the images down after upload.","<b>Maximal image width</b> <i>(in pixels)</i><br />Set the maximal image width in pixels, eg. <b>1024</b>.<br />Leave empty if you do not want to scale the images down after upload."
"<b>Quality of resized JPG images</b> <i>(in percents)</i><br />Set the quality of resized images in percents, eg. <b>80</b>.<br />Leave empty if you do not want to scale the images down after upload.","<b>Quality of resized JPG images</b> <i>(in percents)</i><br />Set the quality of resized images in percents, eg. <b>80</b>.<br />Leave empty if you do not want to scale the images down after upload."
"<b>Show image gallery description</b><br />When enabled the image gallery description will be displayed on AW Blog posts.","<b>Show image gallery description</b><br />When enabled the image gallery description will be displayed on AW Blog posts."
"<b>Show image gallery description</b><br />When enabled the image gallery description will be displayed on CMS page.","<b>Show image gallery description</b><br />When enabled the image gallery description will be displayed on CMS page."
"<b>Show image gallery description</b><br />When enabled the image gallery description will be displayed on category page.","<b>Show image gallery description</b><br />When enabled the image gallery description will be displayed on category page."
"<b>Show image gallery description</b><br />When enabled the image gallery description will be displayed on product detail page.","<b>Show image gallery description</b><br />When enabled the image gallery description will be displayed on product detail page."
"<b>Show image gallery title</b><br />When enabled the image gallery title will be displayed on AW Blog posts.","<b>Show image gallery title</b><br />When enabled the image gallery title will be displayed on AW Blog posts."
"<b>Show image gallery title</b><br />When enabled the image gallery title will be displayed on CMS page.","<b>Show image gallery title</b><br />When enabled the image gallery title will be displayed on CMS page."
"<b>Show image gallery title</b><br />When enabled the image gallery title will be displayed on category page.","<b>Show image gallery title</b><br />When enabled the image gallery title will be displayed on category page."
"<b>Show image gallery title</b><br />When enabled the image gallery title will be displayed on product detail page.","<b>Show image gallery title</b><br />When enabled the image gallery title will be displayed on product detail page."
"<b>Thumbnail resize coefficient</b><br />Reduces image preview size by given number.<br />Recommended value is: <b><i>1.5</i></b>","<b>Thumbnail resize coefficient</b><br />Reduces image preview size by given number.<br />Recommended value is: <b><i>1.5</i></b>"
"<b>Time before next slideshow image transition</b><br />Duration of how long will one picture be shown on the page (value is in seconds).<br />Recommended value is: <b><i>5</i></b>","<b>Time before next slideshow image transition</b><br />Duration of how long will one picture be shown on the page (value is in seconds).<br />Recommended value is: <b><i>5</i></b>"
"<span class=""hint"">(Choose placement of image description text in ajax gallery)</span>","<span class=""hint"">(Choose placement of image description text in ajax gallery)</span>"
"<span class=""hint"">(Leave blank to use default gallery presentation from Gallery settings)</span>","<span class=""hint"">(Leave blank to use default gallery presentation from Gallery settings)</span>"
"<span class=""hint"">(eg: YYYY-MM-DD HH:MM:SS Leave blank to use current date)</span>","<span class=""hint"">(eg: YYYY-MM-DD HH:MM:SS Leave blank to use current date)</span>"
"<span class=""hint"">Enable or disable this image gallery.</span>","<span class=""hint"">Enable or disable this image gallery.</span>"
"<span class=""hint"">Enables loading base CSS style for this image gallery.</span>","<span class=""hint"">Enables loading base CSS style for this image gallery.</span>"
"<span style=""color:#000;"">%s images and their thumbnails</span> in <span style=""color:#000;"">%s image galleries</span> were successfully updated.","<span style=""color:#000;"">%s images and their thumbnails</span> in <span style=""color:#000;"">%s image galleries</span> were successfully updated."
"<span style=""color:#000;"">%s images</span> in <span style=""color:#000;"">%s image galleries</span> were successfully updated.","<span style=""color:#000;"">%s images</span> in <span style=""color:#000;"">%s image galleries</span> were successfully updated."
"<span style=""color:#000;"">%s thumbnails</span> in <span style=""color:#000;"">%s image galleries</span> were successfully updated.","<span style=""color:#000;"">%s thumbnails</span> in <span style=""color:#000;"">%s image galleries</span> were successfully updated."
"AW Blog posts integration","AW Blog posts integration"
"About This Extension","About This Extension"
"Action","Actie"
"Active","Actief"
"Add New Images","Nieuwe afbeeldingen toevoegen"
"Add gallery album","Gallerij album toevoegen"
"Add new gallery album","Gallerij album toevoegen"
"Add new image gallery","Afbeeldingen gallerij toevoegen"
"Add new images","Nieuwe afbeeldingen toevoegen"
"Add no javascript to galleries","Geen javascript toevoegen aan gallerijen."
"Ajax galleries","Ajax gallerijen"
"Ajax gallery settings","Ajax gallerijinstellingen"
"Album Status","Album status"
"Album URL key","Album URL key"
"Album date","Album datum"
"Album description","Album omschrijving"
"Album identifier","Album identifier"
"Album information","Album informatie"
"Album manager","Album beheerder"
"Album name","Album naam"
"Album order","Album sorteervolgorde"
"Album presentation","Album presentatie"
"Album thumbnail","Album thumbnail"
"All records were successfully reset.","All records zijn succesvol gereset.."
"Allowed file types (jpeg, gif, png).","Allowed file types (jpeg, gif, png)."
"An error occurred while assigning image gallery to the product(s).","An error occurred while assigning image gallery to the product(s)."
"Apply this presentation now!","Apply this presentation now!"
"Are you sure?","Are you sure?"
"Assign gallery to categories","Assign gallery to categories"
"Assign gallery to products","Assign gallery to products"
"Assign image gallery","Assign image gallery"
"Automatic images resize settings","Automatic images resize settings"
"Back","Back"
"Back to %s album","Back to %s album"
"Back to galleries","Back to galleries"
"Base gallery albums settings","Base gallery albums settings"
"Base gallery list settings","Base gallery list settings"
"Browse Files...","Browse Files..."
"CMS pages integration","CMS pages integration"
"Can not save gallery thumbnail image","Can not save gallery thumbnail image"
"Carousel slideshow","Carousel slideshow"
"Catalog integration","Catalog integration"
"Categories integration settings","Categories integration settings"
"CeeBox overlay","CeeBox overlay"
"Change presentation","Change presentation"
"Change status","Change status"
"Choose any existing gallery for insertion into page content.","Choose any existing gallery for insertion into page content."
"Clear active dates","Clear active dates"
"Click here for updates","Click here for updates"
"Click to bring to front","Click to bring to front"
"Click to cancel","Click to cancel"
"Click to close image, click and drag to move. Use arrow keys for next and previous.","Click to close image, click and drag to move. Use arrow keys for next and previous."
"Close","Close"
"Close (esc)","Close (esc)"
"Colorbox overlay","Colorbox overlay"
"Constrain Only","Constrain Only"
"Created","Created"
"Default META description","Default META description"
"Default META keywords","Default META keywords"
"Default gallery presentation","Default gallery presentation"
"Default image description placement","Default image description placement"
"Delete","Delete"
"Delete album","Delete album"
"Delete gallery","Delete gallery"
"Disabled","Disabled"
"Display image gallery description","Display image gallery description"
"Display image gallery title","Display image gallery title"
"Edit","Edit"
"Edit gallery album '%s'","Edit gallery album '%s'"
"Edit image gallery '%s'","Edit image gallery '%s'"
"Enable AJAX image upload","Enable AJAX image upload"
"Enable AW Blog integration","Enable AW Blog integration"
"Enable Album Menu in the left block","Enable Album Menu in the left block"
"Enable Album Menu in the right block","Enable Album Menu in the right block"
"Enable Album Menu on Image Gallery pages only","Enable Album Menu on Image Gallery pages only"
"Enable Footer Link","Enable Footer Link"
"Enable Top Link","Enable Top Link"
"Enable base CSS style","Enable base CSS style"
"Enable categories integration","Enable categories integration"
"Enable image galleries","Enable image galleries"
"Enable integration of image galleries with AW Blog posts.<br /><i>When enabled, you'll be able to use gallery widgets and include image galleries to AW Blog posts.</i>","Enable integration of image galleries with AW Blog posts.<br /><i>When enabled, you'll be able to use gallery widgets and include image galleries to AW Blog posts.</i>"
