"Layered Navigation","Layered Navigation"
"Layered Navigation Filters","Layered Navigation Filters"
"Add","Add"
"Save","Save"
"Close","Close"
"Apply","Apply"
"%s - Layered Navigation Filter","%s - Layered Navigation Filter"
"%s - Filter","%s - Filter"
"Display Settings","Display Settings"
"Show All Other Filters As","Show All Other Filters As"
"Show Filters of Type 'Price' As","Show Filters of Type 'Price' As"
"Show Category Filter As","Show Category Filter As"
"In Category","In Category"
"In Search","In Search"
"Display As","Display As"
"Session Settings","Session Settings"
"Remember Applied Category Filters","Remember Applied Category Filters"
"If set, system remembers filters applied to each category so when customer navigates to a category to which he/she had applied filters earlier, those filtered are still applied.","If set, system remembers filters applied to each category so when customer navigates to a category to which he/she had applied filters earlier, those filtered are still applied."
"Price Filter As","Price Filter As"
"Applied to system attribute 'price'","Applied to system attribute 'price'"
"Applied to all other attributes of price type","Applied to all other attributes of price type"
"Sort Items By","Sort Items By"
"Not applicable to category and price filters","Not applicable to category and price filters"
"Combine Multiple Selections Using","Combine Multiple Selections Using"
"Show Price Filter As","Show Price Filter As"
"MANAdev Layered Navigation","MANAdev Layered Navigation"
"Remember Applied Search Filters","Remember Applied Search Filters"
"If set, system remembers filters applied on search page so when customer uses search, those filtered are still applied.","If set, system remembers filters applied on search page so when customer uses search, those filtered are still applied."
"Remember Applied CMS Page Filters","Remember Applied CMS Page Filters"
"If set, system remembers filters applied to each CMS page containing layered navigation, so when customer navigates to a CMS page to which he/she had applied filters earlier, those filtered are still applied.","If set, system remembers filters applied to each CMS page containing layered navigation, so when customer navigates to a CMS page to which he/she had applied filters earlier, those filtered are still applied."
"Globally Applied Filters","Globally Applied Filters"
"One or more attribute codes separated by comma (','). If not empty, specified filters are remembered globally across different categories, CMS pages and search.","One or more attribute codes separated by comma (','). If not empty, specified filters are remembered globally across different categories, CMS pages and search."
