"Show Filters","Show Filters"
"In Left Column","In Left Column"
"In Right Column","In Right Column"
"Above Product List","Above Product List"
"Show","Show"
"Filter Positioning","Filter Positioning"
"Show 'Above Products' Filters As","Show 'Above Products' Filters As"
"Minimum Height of Horizontally Displayed Filter","Minimum Height of Horizontally Displayed Filter"
"Value in pixels (only number). Use it if your filters will wrap into two or more rows, so the second and other rows flow nicely. Leave blank if filters always fit into one row.","Value in pixels (only number). Use it if your filters will wrap into two or more rows, so the second and other rows flow nicely. Leave blank if filters always fit into one row."
"Drop Down Menu Width","Drop Down Menu Width"
"Value in pixels (only number). Applied to a part with options which drops down.","Value in pixels (only number). Applied to a part with options which drops down."
"Defined in Current Theme","Defined in Current Theme"
"Horizontally Laid Filters","Horizontally Laid Filters"
"Drop Down Menu","Drop Down Menu"
"Show Applied Filters in Left Column","Show Applied Filters in Left Column"
"Show Applied Filters in Right Column","Show Applied Filters in Right Column"
"Show Applied Filters Above Products","Show Applied Filters Above Products"
"No","No"
"Yes, Show All Filters Applied On Whole Page","Yes, Show All Filters Applied On Whole Page"
"Yes, But Only Filters Applied In This Block","Yes, But Only Filters Applied In This Block"
"Menu Width","Menu Width"
"Minimum Filter Height","Minimum Filter Height"
"'Above Products' Filters As Drop Down Menu Options","'Above Products' Filters As Drop Down Menu Options"
"'Above Products' Filters As Horizontally Laid Filter Options","'Above Products' Filters As Horizontally Laid Filter Options"
"Show 'Shop By' Text","Show 'Shop By' Text"
"Applicable Only to Layered Navigation 'Above Products'","Applicable Only to Layered Navigation 'Above Products'"
"Show 'Currently Shopping By' Text","Show 'Currently Shopping By' Text"
"Categories Block Position","Categories Block Position"
"Hide","Hide"
"Applicable Only to Category Pages","Applicable Only to Category Pages"
