"Show More","Show More"
"Show Less","Show Less"
"Search Engine Optimization","Search Engine Optimization"
"'Show More' URL suffix","'Show More' URL suffix"
"Injected into SEO friendly layered navigation URLs to indicate that filter shows all items.","Injected into SEO friendly layered navigation URLs to indicate that filter shows all items."
"In case filter has more than specified number of items, only first items are displayed, as well as 'Show More' and 'Show Less' actions.","In case filter has more than specified number of items, only first items are displayed, as well as 'Show More' and 'Show Less' actions."
"Item Limit","Item Limit"
"Preload All Items","Preload All Items"
"If enabled, all filter items are preloaded, 'Show More' and 'Show Less' actions do not reload the page and are very fast.","If enabled, all filter items are preloaded, 'Show More' and 'Show Less' actions do not reload the page and are very fast."
"Expand/Collapse Time in Milliseconds","Expand/Collapse Time in Milliseconds"
"Applied to 'Show More' and 'Show Less' actions when 'Preload All Items' parameter is enabled.","Applied to 'Show More' and 'Show Less' actions when 'Preload All Items' parameter is enabled."
"Method of Showing All Items","Method of Showing All Items"
"'Show More' and 'Show Less' actions","'Show More' and 'Show Less' actions"
"Scroll bar","Scroll bar"
"'Show More' popup","'Show More' popup"
"Show More Popup","Show More Popup"
"Number of Rows in Popup","Number of Rows in Popup"
"Number of Columns in Popup","Number of Columns in Popup"
"Show 'Please Wait'","Show 'Please Wait'"
"Show Network Errors in Frontend","Show Network Errors in Frontend"
"Show Popup On","Show Popup On"
"Mouse Click","Mouse Click"
"Mouse Over","Mouse Over"
"Apply","Apply"
"Close","Close"
