"Configure Mana Extensions","Configure Mana Extensions"
"Loader ""%s"" argument ""%s"" not provided.","Loader ""%s"" argument ""%s"" not provided."
"General","General"
"General Information","General Information"
"Same As For All Stores","Same As For All Stores"
"Your changes are successfully saved.","Your changes are successfully saved."
"Please fill in %s field","Please fill in %s field"
"%s is not a number","%s is not a number"
"%s is not non-negative number","%s is not non-negative number"
"%s is not positive number","%s is not positive number"
"Please select at least one grid row first.","Please select at least one grid row first."
