"Use System Configuration","Use System Configuration"
"nothing","nothing"
"CDATA section (<![CDATA[ ]]>)","CDATA section (<![CDATA[ ]]>)"
"comment (<!-- -->)","comment (<!-- -->)"
"raw text","raw text"
"element or attribute name","element or attribute name"
"attribute value","attribute value"
"HTML parser error %s: %s expected%s","HTML parser error %s: %s expected%s"
"HTML parser error %s: closing tag for %s expected%s","HTML parser error %s: closing tag for %s expected%s"
"HTML parser error %s: %s or %s expected%s","HTML parser error %s: %s or %s expected%s"
"HTML parser error %s: unexpected %s%s","HTML parser error %s: unexpected %s%s"
"HTML read error %s: whitespace not expected%s","HTML read error %s: whitespace not expected%s"
"HTML read error %s: unexpected character%s","HTML read error %s: unexpected character%s"
"HTML read error %s: unexpected end of text%s","HTML read error %s: unexpected end of text%s"
"This Magento installation contains pending database installation/upgrade scripts. Please turn off Magento compilation feature while installing/upgrading new modules in Admin Panel menu System->Tools->Compilation.","This Magento installation contains pending database installation/upgrade scripts. Please turn off Magento compilation feature while installing/upgrading new modules in Admin Panel menu System->Tools->Compilation."
"Same For All Stores","Same For All Stores"
"Configure Mana Extensions","Configure Mana Extensions"
"Please wait...","Please wait..."
"Loading...","Loading..."
