"Filters of type ""%s"" can not be displayed - no template installed.","Filters of type ""%s"" can not be displayed - no template installed."
"Text (Multiple Select Enabled)","Text (Multiple Select Enabled)"
"Text (One Item Can Be Selected At A Time)","Text (One Item Can Be Selected At A Time)"
"Category","Category"
"Fields With Non-Default Values (Bit Mask)","Fields With Non-Default Values (Bit Mask)"
"Is Visible In Category","Is Visible In Category"
"Is Visible In Search","Is Visible In Search"
"Position","Position"
"All filters are shown in layered navigation ordered by position","All filters are shown in layered navigation ordered by position"
"Can Store Customer Select Multiple Values","Can Store Customer Select Multiple Values"
"Code","Code"
"Name","Name"
"Use Product Attribute","Use Product Attribute"
"Display Filter Items As","Display Filter Items As"
"Position (selected at the top)","Position (selected at the top)"
"Name","Name"
"Name (selected at the top)","Name (selected at the top)"
"Count","Count"
"Count (selected at the top)","Count (selected at the top)"
"Logical OR","Logical OR"
"Logical AND","Logical AND"
