"--Select--","--Seleccionar--"
"Add New Option","Añadir nueva opción"
"Add Selection","Añadir selección"
"User Defined Qty","Cantidad definida por el usuario"
"Default Qty","Cantidad por defecto"
"Qty:","Cantidad:"
"Checkbox","Casilla de verificación"
"Close","Cerrar"
"Buy %1$s with %2$s discount each","Comprar %1$ s con %2$s de descuento cada uno"
"To","De"
"To:","De:"
"From","Desde"
"From:","Desde:"
"Dynamic","Dinámico"
"Drop-down","Drop-down"
"Choose a selection...","Elija una selección ..."
"Shipment","Envío"
"Ship Bundle Items","Envio de paquete de artículos"
"This product is also part of bundle(s)","Este producto también es parte del paquete(s)"
"Excl. Tax","Excluir impuestos"
"Fixed","Fijo"
"Incl. Tax","Impuestos incluidos"
"Together","Juntos"
"Message:","Mensage:"
"Gift Message","Mensaje de regalo"
"N/A","N/A"
"No options of this product are available.","Ningunas opciones de este producto están disponibles."
"None","Ninguno"
"There is no defined renderer for ""%s"" option type","No se ha definido la renderización para el tipo de opción ""% s"""
"Required options not selected.","Opciones requeridas no seleccionadas."
"Selected required options not available.","Opciones seleccionadas requeridas no disponibles."
"Bundle Items","Paquete de artículos"
"Bundle Product","Paquete de productos"
"Percent","Por ciento"
"Default","Por defecto"
"Please specify product option(s)","Por favor, especifique las opciones del producto"
"Please enter search conditions to view products.","Por favor, introduzca condiciones de búsqueda para ver los productos."
"Please select options for product.","Por favor, seleccione las opciones para el producto."
"Please select products to add","Por favor, seleccione los productos para añadir"
"Separately","Por separado"
"Percent Discount","Porcentage de descuento"
"Position","Posición"
"Price as configured","Precio configurado como"
"Radio Buttons","Radio Buttons"
"Price Range","Rango de precios"
"Is Required","Se requiere"
"Multiple Select","Selección múltiple"
"As low as","Tan bajo como"
"Default Title","Título por defecto"
"Store View Title","Título Store View"
"Input Type","Tipo de entrada"
"Price Type","Tipo de precio"
