"Success history lifetime","Éxito en el historial del ciclo de vida"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","Diariamente"
"Failure history lifetime","Falló el historial del ciclo de vida"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Generate schedules every"
"History cleanup every","History cleanup every"
"Unable to save Cron expression","Imposible guardar la expresión de Cron"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Monthly","Mensualmente"
"No callbacks found","No callbacks found"
"Schedule ahead for","Programar para"
"Missed if not run within","Se perderá si no es ejecutado en"
"Weekly","Semanalmente"
"Too late for the schedule","Too late for the schedule"
"Unknown error","Unknown error"
