"* Required Fields","* Campos requeridos"
"Year","Año"
"You have placed no products yet.","Aún no ha colocado ningún producto."
"You have placed no orders yet.","Aún no ha realizado ningún pedido."
"Customer Login","Acceso del cliente"
"Action","Acción"
"Update","Actualizar"
"Update customer data","Actualizar datos del cliente"
"Update customer address data","Actualizar dirección del cliente"
"You are currently subscribed to 'General Subscription'.","Actualmente está subscrito a la 'Suscripción General'."
"You are currently subscribed to our newsletter","Actualmente está subscrito a nuestro boletín de noticias"
"You are currently subscribed to our newsletter.","Actualmente está subscrito a nuestro boletín de noticias"
"You are currently not subscribed to any newsletter.","Actualmente no está subscrito a ningún boletín  de noticias."
"You are currently not subscribed to our newsletter","Actualmente no está subscrito a nuestro boletín  de noticias."
"Admin","Administración"
"Added From","Agregado desde"
"Add New Customer","Agregar un nuevo cliente"
"Add New Customer Group","Agregar un nuevo grupo de clientes"
"Add New Address","Agregar una nueva dirección"
"To Cart","Al carrito"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, podrá realizar el proceso de compra más rápidamente, indicar un envío a múltiples direcciones, ver y hacer un seguimiento de sus Pedidos y mucho más. "
"Last Name","Apellido"
"Missing lastname, skipping the record","Apellido perdido, se omite el registro"
"Customer Api","API cliente"
"Approved","Aprobado"
"Sign up for our newsletter","Apuntarse a nuestro boletín de noticias"
"Sign Up for Newsletter","Apuntarse al boletín de noticias"
"Assign a customer group","Asignar un grupo de clientes"
"Subject","Asunto"
"Newsletter","Boletín de noticias"
"Newsletter Received","Boletín de noticias recibido"
"Newsletters","Boletines de noticias"
"Delete","Borrar"
"Delete Customer","Borrar el cliente"
"Delete Customer Group","Borrar el grupo de clientes"
"Delete Address","Borrar la dirección"
"Street Address","Calle"
"Change Password","Cambiar la contraseña de la cuenta"
"Change Account Password","Cambiar la contraseña de la cuenta"
"Change Shipping Address","Cambiar la dirección de envío"
"Change Billing Address","Cambiar la dirección de facturación"
"Cancel","Cancelar"
"Unsubscribe from newsletter","Cancelar la suscripción al Boletín de noticias"
"Qty","Cant."
"Shopping Cart","Carrito de compras"
"Shopping Cart - %d item(s)","Carrito de compras - %d artículo(s)"
"SKU","Código"
"ZIP","Código postal"
"ZIP/Post Code","Código postal"
"ZIP/Postal Code","Código postal"
"Zip/Postal Code","Código postal"
"Log Out","Cerrar sesión"
"Lifetime Sales","Ciclo de ventas"
"City","Ciudad"
"Tax class","Clase de impuesto"
"Tax Class","Clase de Impuesto"
"Customer","Cliente"
"Customer Since","Cliente Desde"
"Customers","Clientes"
"Online Customers","Clientes Conectados"
"Registered Customers","Clientes Registrados"
"Product Reviews","Comentarios del producto"
"Company","Compañía"
"Share Customer Accounts","Compartir las cuentas de clientes"
"Bought From","Comprado desde"
"Purchased at","Comprado el"
"Purchase On","Comprado en "
"Online","Conectado"
"Config","Configuración"
"Customer Configuration","Configuración del cliente"
