"Add New Row","Añadir nueva fila"
"Open Links in New Window","Abrir un vínculo en una ventana nueva"
"File","Archivo"
"attachment","Archivo adjunto"
"Canceled","Cancelado"
"Shareable","Compartible"
"To:","De:"
"download","Descargar"
"Remaining Downloads","Descargas restantes"
"From:","Desde:"
"Availability: In stock.","Disponibilidad: En existencia."
"Availability: Out of stock.","Disponibilidad: Fuera de existencia"
"File does not exists","El archivo no existe"
"Link is not available.","El enlace no está disponible."
"Order Item Status to enable Downloads","El estado del pedido permite descargas"
"Requested link doesn't exist.","El vínculo solicitado no existe"
"Remove item","Eliminar registro"
"inline","en linea"
"Default Link Title","Enlace al título por defecto"
"Shipped","Enviado"
"Status","Estatus"
"Invoiced","Facturado"
"Date","Fecha"
"Unlimited","Ilimitado"
"Excl. Tax","Impuestos excluidos"
"Incl. Tax","Impuestos incluidos"
"Disable Guest Checkout if cart contains downloadable items","Incapacite la comprobación del invitado si la cesta contiene artículos descargables"
"Downloadable Information","Información descargable"
"Start Download","Inicio descargar"
"Invalid download URL scheme","Invalid download URL scheme"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir a <a href=""%s"">mis productos descargables</a>"
"Guest checkout will only work with shareable","La comprobación de invitado sólo trabajará con compartible"
"Sorry, there was an error getting requested content","Lo sentimos, se ha producido un error al obtener el contenido solicitado."
"Sorry, there was an error getting requested content. Please contact store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Póngase en contacto con la tienda."
"Sorry, the was an error getting requested content. Please contact store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Póngase en contacto con la tienda."
"Links can be purchased separately","Los enlaces pueden ser comprados por separado"
"Max. Downloads","Máximas descargas"
"Message:","Mensage:"
"Gift Message","Mensaje de regalo"
"My Downloadable Products","Mis productos descargable"
"Sample","Muestra"
"sample","Muestra"
"Default Sample Title","Muestra el título por defecto"
"Default Maximum Number of Downloads","Número máximo por defecto de descargas"
"Can't connect to remote host, error: %s","No se puede conectar al servidor remoto, el error: % s"
"Invalid download URL host","No se puede descargar la URL"
"Downloadable Product Options","Opciones del producto descargable"
"Ordered","Pedido"
"Order #","Pedido #"
"Sort Order","Pedido pequeño"
"Pending","Pendiente"
"Please log in to download your product.","Por favor inicie la sesión para descargar su producto."
"Please set resource file and link type","Por favor introduzca los recursos de archivo y tipo de vínculo"
"Please specify product link(s).","Por favor, especifique los vínculo(s) del producto"
"Price","Precio"
"Downloadable Product","Producto descargable"
"Refunded","Reembolsado"
"An error occurred while saving the file(s).","Se ha producido un error al guardar el archivo(s)."
"Downloadable product Section","Sección de productos descargables"
"Title","Título"
"Invalid download link type","Tipo de enlace de descarga no válido"
"U","U"
"You have not purchased any downloadable products yet.","Usted no ha comprado ningún producto descargable todavía."
"Link has expired.","Vínculo ha caducado."
"View Order","Vista del pedido"
"Back","Volver"
